N	2gram	Voloshinov_2	BTomashe
1	у нас	3	3
2	и не	19	2
3	все это	1	2
4	в ней	3	2
5	крайней мере	2	1
6	же не	1	1
7	за пределы	3	1
8	тем более	5	1
9	также что	1	1
10	говорить о	1	1
11	и в	19	1
12	и о	2	1
13	в речи	2	1
14	со всем	1	1
15	что все	1	1
16	с другой	3	1
17	в своей	3	1
18	теоретической и	1	1
19	на самом	7	1
20	на которой	1	1
21	не следует	2	1
22	из ее	1	1
23	и нет	1	1
24	было бы	4	1
25	от значения	1	1
26	все же	5	1
27	всяком случае	2	1
28	кроме того	1	1
29	установка на	2	1
30	между ними	2	1
31	еще не	3	1
32	имеющихся в	1	1
33	и на	5	1
34	в пределах	10	1
35	представляется нам	1	1
36	по нашему	1	1
37	одной из	3	1
38	включать в	1	1
39	еще лучше	1	1
40	должна быть	4	1
41	то нельзя	1	1
42	в значительной	2	1
43	забывать что	1	1
44	прежде всего	7	1
45	в данном	5	1
46	так и	10	1
47	не было	3	1
48	его не	1	1
49	является только	2	1
50	совершенно не	5	1
51	далеко не	2	1
52	не о	1	1
53	до конца	2	1
54	а не	9	1
55	что в	2	1
56	этим вопросам	1	1
57	другой стороны	1	1
58	также не	1	1
59	говорить об	1	1
60	и ее	4	1
61	не все	1	1
62	по крайней	2	1
63	отнюдь не	8	1
64	таким образом	14	1
65	вопрос о	2	1
66	и более	7	1
67	оно сплошь	1	1
68	и потому	2	1
69	не только	13	1
70	значительной степени	2	1
71	во всяком	3	1
