N	2gram	Nazirov_Tr_1	Myslijsy
1	то есть	3	34
2	потому что	2	33
3	то что	4	29
4	может быть	7	26
5	таким образом	1	24
6	в этом	9	23
7	в том	2	23
8	и в	18	23
9	и не	7	18
10	что в	4	17
11	при этом	3	15
12	только в	1	15
13	то же	5	14
14	в себе	4	14
15	как и	5	14
16	того что	1	14
17	для нас	1	14
18	не было	1	12
19	а не	1	12
20	том что	4	12
21	что я	4	11
22	не в	2	11
23	по себе	1	11
24	но и	4	11
25	не может	5	11
26	не только	8	10
27	тем что	2	10
28	и потому	1	10
29	между тем	1	9
30	не есть	1	9
31	в своем	3	8
32	но в	6	8
33	стало быть	1	8
34	о том	2	8
35	и т	1	7
36	как в	3	7
37	что это	5	7
38	в нем	4	7
39	когда я	1	7
40	это не	5	7
41	и что	4	7
42	что и	2	7
43	с тем	2	7
44	могут быть	1	7
45	этого слова	1	7
46	в которой	1	6
47	известно что	1	6
48	того как	1	6
49	мысль о	1	6
50	так и	5	6
51	что не	1	6
52	вместе с	1	6
53	тем и	1	6
54	и то	2	5
55	бы и	2	5
56	как бы	7	5
57	имеет для	1	5
58	так сказать	1	5
59	должно быть	3	5
60	не менее	1	5
61	с ним	3	5
62	не имеет	2	5
63	к нему	3	5
64	так что	2	5
65	есть в	1	5
66	уже в	3	5
67	в его	3	5
68	для него	3	5
69	не из	1	5
70	этом случае	1	5
71	все это	4	5
72	во всяком	1	5
73	а между	1	4
74	если б	2	4
75	сам по	1	4
76	и о	1	4
77	в истории	1	4
78	что все	2	4
79	и с	7	4
80	его в	2	4
81	в котором	1	4
82	тем не	1	4
83	на мысль	1	4
84	т п	1	4
85	в то	5	4
86	на котором	1	4
87	того чтобы	1	4
88	быть может	1	4
89	на вопрос	1	4
90	что он	6	4
91	хотя бы	1	4
92	то и	2	4
93	в одном	2	4
94	тогда как	1	4
95	только на	1	4
96	как же	2	4
97	так же	4	4
98	в данном	2	4
99	в той	1	4
100	и все	4	4
101	по поводу	2	4
102	тем самым	3	4
103	в таком	2	4
104	например в	1	3
105	человека и	1	3
106	самом деле	1	3
107	и есть	1	3
108	в первом	2	3
109	и до	2	3
110	что эти	2	3
111	слова в	1	3
112	той же	1	3
113	еще не	4	3
114	и на	7	3
115	или от	1	3
