N	4gram	Bakhtin_Pr_5	TeoriaLi
1	в то же время	10	6
2	одно и то же	3	2
3	одного и того же	1	2
4	по отношению к герою	1	2
5	чего бы то ни	2	1
6	бы то ни было	3	1
7	в том что он	1	1
8	но в то же	4	1
9	в отношении к нему	1	1
10	по отношению к самому	1	1
11	в этом смысле можно	1	1
12	а в то же	1	1
13	однако в отличие от	1	1
14	дело в том что	1	1
15	кто бы они ни	1	1
16	в той или иной	4	1
17	с самим собою в	1	1
18	и в то же	2	1
19	бы они ни были	1	1
20	и по отношению к	1	1
21	и в слове о	2	1
22	во всей своей полноте	1	1
