N	3gram	Ircho_Kome_2	Poddanst
1	в то же	3	7
2	то же время	3	7
3	не только в	1	4
4	в том что	5	4
5	с точки зрения	1	3
6	с одной стороны	2	3
7	в том числе	3	2
8	и в то	1	2
9	но и в	1	2
10	в полной мере	1	2
11	быта если в	1	1
12	в этом стремлении	1	1
13	чуть ли не	2	1
14	более или менее	1	1
15	в этом смысле	2	1
16	и вслед за	1	1
17	есть для нас	1	1
18	в отличие от	2	1
19	не было бы	1	1
20	за то что	4	1
21	тех пор пока	1	1
22	а в качестве	1	1
23	мы можем представить	1	1
24	вместе с тем	4	1
25	можем представить себе	1	1
26	потому что по	1	1
27	по сравнению с	1	1
28	со столь же	1	1
29	во всяком случае	2	1
30	с другой стороны	1	1
31	не может быть	1	1
32	до тех пор	3	1
33	само по себе	1	1
34	в частности в	2	1
35	тем более что	1	1
36	в большинстве случаев	1	1
37	и не менее	1	1
38	на пути к	2	1
39	друг с другом	2	1
40	для того чтобы	4	1
41	но в этом	1	1
42	том числе и	1	1
