N	3gram	Berdyaev_N_1	Hudozhes
1	в том что	1	11
2	о том что	1	7
3	подобно тому как	3	4
4	не может быть	4	3
5	как и в	1	3
6	с одной стороны	2	3
7	что она не	1	2
8	а не в	1	2
9	до сих пор	1	2
10	можно было бы	1	2
11	так же как	2	2
12	как будто бы	1	2
13	не в духе	1	2
14	не только в	1	2
15	же как и	1	1
16	о том чтобы	1	1
17	в том случае	1	1
18	том числе и	1	1
19	в то что	1	1
20	в этих категориях	1	1
21	нет у него	1	1
22	к жизни и	1	1
23	том случае если	1	1
24	в значительной степени	1	1
25	жизни как в	1	1
26	и от нее	1	1
27	то время как	1	1
28	во внешних формах	1	1
29	и в жизни	1	1
30	лишь в том	1	1
31	я не могу	1	1
32	с другой стороны	2	1
33	в то время	1	1
34	та или иная	1	1
35	и для чего	1	1
36	в духовной глубине	1	1
37	в том числе	1	1
