1	и в	15	29
2	то есть	18	21
3	таким образом	3	20
4	и не	16	16
5	в этой	2	13
6	и т.п	5	12
7	но в	7	12
8	на части	1	12
9	как и	3	12
10	в этом	11	11
11	и на	2	11
12	так и	10	11
13	то же	10	10
14	как мы	1	10
15	в романе	2	10
16	в то	7	10
17	не только	15	10
18	но и	10	9
19	в конце	1	9
20	вовсе не	2	9
21	его в	3	9
22	все эти	2	9
23	и его	12	8
24	как бы	10	8
25	же время	6	8
26	в его	9	8
27	прежде всего	4	8
28	в том	15	7
29	еще и	1	7
30	так же	2	7
31	в них	2	7
32	так как	1	7
33	из них	1	6
34	но он	3	6
35	в сущности	1	6
36	системе образов	1	6
37	своего рода	8	6
38	всего эпизода	1	5
39	все они	1	5
40	он и	1	5
41	что это	1	5
42	в нем	5	5
43	и по	2	5
44	весь мир	1	5
45	того же	3	5
46	сказать что	4	5
47	рядом с	1	5
48	в своей	4	5
49	и о	2	5
50	у него	2	5
51	далеко не	3	5
52	это и	2	5
53	это не	3	5
54	и одновременно	5	4
55	точки зрения	9	4
56	в которой	3	4
57	перед нами	1	4
58	все это	1	4
59	и есть	1	4
60	мира и	2	4
61	один из	1	4
62	в литературе	2	4
63	также и	1	4
64	жизни и	1	4
65	и др	2	4
66	по своему	3	4
67	с другой	7	4
68	что он	3	4
69	только для	1	4
70	с его	6	4
71	то что	5	4
72	в результате	1	4
73	еще не	4	4
74	в нашем	2	4
75	здесь и	1	3
76	в ее	6	3
77	к нему	3	3
78	образом и	2	3
79	в чем	2	3
80	того чтобы	2	3
81	свою речь	1	3
82	в частности	13	3
83	в пределе	1	3
84	здесь не	2	3
85	превращается в	2	3
86	том что	6	3
87	и даже	1	3
88	и здесь	1	3
89	как к	4	3
90	том числе	2	3
91	в качестве	19	3
92	с ее	5	3
93	тот же	1	3
94	ведь это	1	3
95	а затем	1	3
96	одновременно и	1	3
97	по преимуществу	2	3
98	той же	1	3
99	в себе	11	3
100	на языке	1	3
101	роль в	2	3
102	же и	1	3
103	и вполне	1	3
104	мы видим	1	3
105	в узком	1	3
106	более или	5	3
107	и как	4	3
108	тому как	1	3
109	и сам	2	3
110	в году	2	3
111	он не	4	3
112	того что	5	3
113	для того	2	3
114	не случайно	3	3
115	то в	1	3
116	или менее	5	3
117	другой стороны	5	3
118	все же	1	3
119	при этом	12	3
120	но как	2	3
121	в своем	2	3
122	по своей	6	3
123	подобно тому	1	3
124	в различных	1	2
125	связи с	1	2
126	на его	1	2
127	в одной	1	2
128	эта система	1	2
129	в их	5	2
130	в своих	1	2
131	так называемые	1	2
132	как будто	1	2
133	хотя и	4	2
134	с точки	3	2
135	только в	5	2
136	а как	1	2
137	о его	2	2
138	одной стороны	2	2
139	к которому	4	2
140	одному из	1	2
141	связаны с	1	2
142	уже не	5	2
143	перед лицом	3	2
144	между прочим	1	2
145	они не	1	2
146	и для	3	2
147	с ним	2	2
148	в виду	3	2
149	и к	3	2
150	образов и	1	2
151	себя в	8	2
152	до нас	1	2
153	стороны в	1	2
154	с одной	2	2
155	традиции как	1	2
156	в основе	6	2
157	и весело	1	2
158	место в	4	2
159	нового времени	2	2
160	что из	1	2
161	ни в	5	2
162	никогда не	1	2
163	на их	1	2
164	к тому	4	2
165	их в	3	2
166	принадлежат к	1	2
167	это своего	1	2
168	но только	1	2
169	раскрывает нам	1	2
170	и другие	1	2
171	и со	1	2
172	от всех	2	2
173	или в	2	2
174	в эпизоде	1	2
175	в слове	4	2
176	жизни в	2	2
177	и то	4	2
178	о своем	1	2
179	со стороны	4	2
180	и это	2	2
181	соответствии с	1	2
182	всего романа	1	2
183	в котором	1	2
184	на них	1	2
185	именно в	2	2
186	но не	11	2
187	одной из	2	2
188	как раз	3	2
189	когда же	1	2
190	бы не	2	2
191	и дает	1	2
192	в себя	2	2
193	есть в	2	2
194	в той	3	2
195	на этом	2	2
196	на котором	1	2
197	раз в	1	2
198	а также	5	2
199	о мире	1	2
200	это ни	1	2
201	в особенности	1	2
202	не может	6	2
203	существенный момент	1	2
204	как в	2	2
205	между ними	5	2
206	то время	1	2
207	время и	1	2
208	не на	3	2
209	не столько	4	2
210	здесь только	1	2
211	из этого	2	2
212	в жизни	1	2
213	да и	1	2
214	в другой	1	2
215	о чем	3	2
216	может быть	13	2
217	о том	2	2
218	но мы	1	2
219	числе и	2	2
220	для своей	1	2
221	времени и	2	2
222	но она	2	2
223	в этих	4	2
224	представлений о	1	2
225	что они	1	2
226	том же	1	2
227	идет не	1	1
228	становится возможной	1	1
229	которого он	1	1
230	момент в	1	1
231	для него	4	1
232	и существенно	1	1
233	узком и	1	1
234	свою очередь	2	1
235	и того	3	1
236	мира в	2	1
237	над этим	1	1
238	от него	1	1
239	типа как	1	1
240	отрешиться от	1	1
241	если бы	3	1
242	значений и	1	1
243	литературе в	1	1
244	основу этого	1	1
245	входит в	4	1
246	к одному	1	1
247	всего к	1	1
248	границ и	1	1
249	все что	1	1
250	характерное для	1	1
251	каждый из	1	1
252	с этими	1	1
253	приводят к	1	1
254	к самому	1	1
255	тех или	1	1
256	тому же	1	1
257	в свою	3	1
258	своей цели	1	1
259	папы и	1	1
260	которое в	1	1
261	дело с	1	1
262	делает его	1	1
263	всякий раз	1	1
264	всех людей	1	1
265	в каждой	1	1
266	о трагическом	1	1
267	жизнью но	1	1
268	жизни как	4	1
269	поэтому речевая	1	1
270	для нас	1	1
271	мира это	1	1
272	здесь также	1	1
273	даже при	1	1
274	они существенно	1	1
275	значение для	1	1
276	не вполне	2	1
277	смыслом в	1	1
278	его смысла	1	1
279	же об	1	1
280	но с	1	1
281	том случае	1	1
282	и внутренней	1	1
283	например не	1	1
284	значение в	1	1
285	между этими	1	1
286	полной мере	1	1
287	или иных	1	1
288	так в	3	1
289	себя свою	1	1
290	что по	1	1
291	он мог	1	1
292	это игра	1	1
293	со смертью	1	1
294	отличие от	7	1
295	в самой	1	1
296	в системе	1	1
297	и слово	1	1
298	же типа	1	1
299	друг другу	1	1
300	в конечном	3	1
301	граница между	1	1
302	что в	6	1
303	при всем	1	1
304	что ж	1	1
305	у нее	1	1
306	все прочие	3	1
307	нимало не	1	1
308	говорит о	1	1
309	что она	1	1
310	и книги	1	1
311	в отдельности	1	1
312	здесь выступает	1	1
313	на новую	1	1
314	или даже	2	1
315	рассказ о	2	1
316	на земле	1	1
317	смыслу и	1	1
318	проявляет себя	2	1
319	и становится	1	1
320	одного и	3	1
321	на нее	1	1
322	не случайна	1	1
323	для всех	1	1
324	те же	1	1
325	с некоторыми	1	1
326	и что	3	1
327	собой в	1	1
328	в одном	2	1
329	или же	1	1
330	на отдельные	1	1
331	не бывает	1	1
332	не все	2	1
333	художественное сознание	1	1
334	в форме	4	1
335	остановимся на	1	1
336	об этом	2	1
337	художественной формы	1	1
338	не по	1	1
339	только о	2	1
