N	2gram	Tiupa_Lite_3	Myshleni
1	в этом	14	29
2	точки зрения	7	28
3	и в	16	26
4	для себя	2	24
5	то что	12	24
6	не только	14	24
7	с точки	3	21
8	того чтобы	2	19
9	представляет собой	2	19
10	в том	12	18
11	и не	22	18
12	для того	2	18
13	том что	8	17
14	потому что	3	16
15	как и	5	15
16	так же	2	14
17	того что	9	14
18	как мы	2	14
19	так как	1	14
20	и его	6	12
21	что в	2	12
22	вместе с	5	12
23	в ходе	1	12
24	не может	8	11
25	мысли и	1	11
26	но и	14	11
27	в слове	3	11
28	только не	1	11
29	что они	1	10
30	по своей	3	10
31	слова и	1	10
32	в себе	6	9
33	мышления и	1	9
34	мысли в	1	9
35	тем что	2	9
36	в самом	3	9
37	тому что	1	9
38	тем самым	7	8
39	то же	9	8
40	ее в	2	8
41	сказать что	1	8
42	той же	3	8
43	что он	5	8
44	только в	7	8
45	в ситуации	2	7
46	по мере	1	7
47	и то	1	7
48	прежде всего	3	7
49	и к	3	7
50	к тому	6	7
51	может быть	12	7
52	о природе	2	7
53	все же	2	6
54	вопрос о	2	6
55	как на	3	6
56	самом деле	3	6
57	именно в	5	6
58	было бы	2	6
59	нас к	2	6
60	во всех	2	6
61	и тем	3	6
62	в ее	5	6
63	а не	12	6
64	по отношению	4	6
65	как бы	8	6
66	и с	2	5
67	бы в	1	5
68	данном случае	4	5
69	можно сказать	2	5
70	в качестве	5	5
71	и для	4	5
72	отношению к	4	5
73	и их	1	5
74	как это	3	5
75	с тем	1	5
76	одно из	4	5
77	в начале	4	5
78	на вопрос	1	5
79	в целом	5	5
80	тогда когда	1	5
81	с этой	2	5
82	в силу	1	5
83	во второй	2	5
84	если бы	2	5
85	одной стороны	4	5
86	речь не	1	5
87	же самое	2	5
88	с одной	4	5
89	могли бы	2	5
90	в процессе	1	5
91	она не	1	5
92	до конца	4	5
93	слова как	1	5
94	в виду	1	5
95	в данном	4	5
96	друг друга	1	4
97	еще не	6	4
98	и наконец	3	4
99	связи с	2	4
100	не менее	2	4
101	на то	2	4
102	не по	1	4
103	нужно было	1	4
104	не в	10	4
105	этой точки	1	4
106	в конце	2	4
107	так что	1	4
108	в нашем	1	4
109	стороны и	2	4
110	в свете	1	4
111	и только	2	4
112	одной из	1	4
113	в эгоцентрической	1	4
114	в той	1	4
115	говорится в	1	4
116	в его	6	4
117	речь в	1	4
118	как в	5	4
119	то и	1	4
120	это и	1	4
121	если в	1	4
122	что у	2	4
123	и от	1	4
124	никогда не	4	4
125	о чем	3	4
126	едва ли	3	4
127	ситуации в	1	4
128	в котором	1	4
129	но в	3	4
130	с другой	6	4
131	слова с	1	4
132	о том	6	4
133	чем в	1	4
134	в области	3	4
135	не есть	1	4
136	не означает	2	3
137	момент в	1	3
138	есть в	1	3
139	его с	1	3
140	этом отношении	5	3
141	с собой	1	3
142	и является	1	3
143	так и	9	3
144	только на	1	3
145	друг другу	1	3
146	только по	1	3
147	к нему	1	3
148	из двух	1	3
149	как раз	2	3
150	но мы	1	3
151	с другими	1	3
152	в своей	7	3
153	для него	2	3
154	в первой	2	3
155	нуждается в	1	3
156	но не	4	3
157	самом начале	1	3
158	деятельности и	1	3
159	есть не	1	3
160	было сказано	1	3
161	чем дело	1	3
162	на самом	1	3
163	нет и	1	3
164	это не	5	3
165	что и	2	3
166	и о	1	3
167	в живом	2	3
168	совпадает с	1	3
169	между двумя	1	3
170	но это	1	3
171	в то	9	3
172	в чем	1	3
173	по себе	2	3
174	во всем	1	3
175	содержит в	1	3
176	очевидно что	1	3
177	в первом	2	3
178	хотел сказать	1	3
179	тем не	1	3
180	в основе	5	3
181	что эти	1	3
182	содержат в	1	3
183	для этого	1	3
184	мы уже	1	3
185	в этой	8	3
186	он не	1	3
187	в года	1	3
188	в этот	1	3
189	я не	2	3
190	и потому	2	3
191	и состоит	1	3
192	все это	1	3
193	в ней	1	3
194	из того	2	3
195	что ему	2	3
196	состоит в	6	3
197	втором случае	1	3
198	совершается в	1	3
199	во втором	2	3
200	что по	1	2
201	одним из	4	2
202	с ее	3	2
203	о которых	1	2
204	вовсе не	1	2
205	может и	1	2
206	прежде чем	1	2
207	на ее	1	2
208	но с	2	2
209	на его	3	2
210	поэзии и	2	2
211	для нас	1	2
212	все те	1	2
213	мы и	2	2
214	за счет	1	2
215	случае не	1	2
216	котором мы	1	2
217	и ее	2	2
218	здесь как	2	2
219	что не	2	2
220	и вместе	2	2
221	в период	1	2
222	с ней	2	2
223	наконец в	3	2
224	в нем	2	2
225	даже в	4	2
226	друг от	1	2
227	в случае	2	2
228	и наиболее	1	2
229	от друга	1	2
230	в их	1	2
231	в уме	1	2
232	совершенно не	3	2
233	ли не	1	2
234	и он	1	2
235	деятельности в	1	2
236	то в	3	2
237	со всеми	2	2
238	его в	2	2
239	будущее в	1	2
240	время в	2	2
241	раз в	2	2
242	в психологии	1	2
243	никем не	2	2
244	свою очередь	1	2
245	отношение к	2	2
246	которого не	1	2
247	отношения к	3	2
248	а затем	3	2
249	входит в	4	2
250	что для	1	2
251	в середине	1	2
252	этом и	1	2
253	и других	1	2
254	в этих	1	2
255	ко всем	1	2
256	но он	1	2
257	и при	2	2
258	из этого	1	2
259	не удивительно	2	2
260	у нас	2	2
261	только одно	1	2
262	к его	1	2
263	конечном счете	1	2
264	лишь в	5	2
265	которой она	2	2
266	что было	1	2
267	в отношении	1	2
268	действительности в	2	2
269	в определенном	1	2
270	нельзя не	1	2
271	с этим	1	2
272	к этой	1	2
273	один из	2	2
274	отличие от	5	2
275	должно быть	4	2
276	самим собой	3	2
277	приводят к	1	2
278	но напротив	1	2
279	во время	1	2
280	в конечном	1	2
281	и она	1	2
282	внимание на	2	2
283	значение в	1	2
284	во всей	2	2
285	а по	2	2
286	в отличие	5	2
287	подобного рода	1	2
288	себя и	2	2
289	как известно	1	2
290	а в	5	2
291	несмотря на	2	2
292	в действительности	1	2
293	в своих	2	2
294	по своим	1	2
295	нас в	1	2
296	и мысль	1	2
297	столь же	1	2
298	не имеет	1	2
299	ему нужно	1	2
300	процесса и	1	2
301	и до	1	2
302	и есть	1	2
303	к этому	2	2
304	одного из	2	2
305	идет о	1	2
306	есть только	1	2
307	уже в	1	2
308	перед нами	1	2
309	именно поэтому	1	2
310	и другого	2	2
311	и делает	1	2
312	в свою	2	2
313	за его	2	1
314	оказывается не	2	1
315	ней в	1	1
316	и там	1	1
317	в первую	1	1
318	жизни а	2	1
319	и понятным	1	1
320	из своей	1	1
321	в словах	3	1
322	как правило	1	1
323	это наблюдение	1	1
324	первую очередь	1	1
325	начале своего	2	1
326	принадлежности к	1	1
327	это значит	1	1
328	исходя из	1	1
329	самого себя	1	1
330	всем своим	1	1
331	своей сущности	1	1
332	к той	1	1
333	чтобы в	1	1
334	по выражению	1	1
335	к их	1	1
336	в другом	6	1
337	в связи	1	1
338	говорить о	1	1
339	аналогии с	1	1
340	два момента	1	1
341	того самого	1	1
342	о котором	1	1
343	в литературе	1	1
344	но так	1	1
345	слово есть	1	1
346	в каждый	1	1
347	поскольку оба	1	1
348	собой если	1	1
349	рода и	1	1
350	таинственный и	1	1
351	начинается с	1	1
352	чертог теней	1	1
353	к ее	1	1
354	эти два	1	1
355	нас не	1	1
356	не к	1	1
357	у меня	1	1
358	для всего	1	1
359	здесь не	2	1
360	но при	1	1
361	в среду	1	1
362	все равно	1	1
363	и самой	1	1
364	не было	1	1
365	слову а	1	1
366	не оставляет	1	1
367	и все	1	1
368	числе и	2	1
369	где мы	1	1
370	в стороне	1	1
371	и привести	1	1
372	она становится	1	1
373	была бы	1	1
374	как ни	1	1
375	раньше не	1	1
376	в образах	1	1
377	силу своей	1	1
378	на два	1	1
379	рода благодаря	1	1
380	ключ к	1	1
381	линий в	1	1
382	я слово	1	1
383	своей мысли	1	1
384	при этом	15	1
385	что развитие	1	1
386	иное как	1	1
387	там где	3	1
388	если это	2	1
389	ним и	1	1
390	бы не	1	1
391	не были	1	1
392	этом оказывается	1	1
393	что я	5	1
394	и объективной	1	1
395	вследствие этого	2	1
396	и как	3	1
397	так сказать	1	1
398	и внешней	1	1
399	и вне	1	1
400	объективной стороны	1	1
401	и переходит	1	1
402	собой не	1	1
403	в одном	4	1
404	с и	1	1
405	выражение и	1	1
406	если не	2	1
407	я хотел	1	1
408	по сути	1	1
409	воззрений на	1	1
410	удивительно что	2	1
411	из первых	1	1
412	означает не	1	1
413	ее как	1	1
414	общественной жизни	1	1
415	известные нам	2	1
416	ничем не	1	1
417	этого не	1	1
418	в акте	1	1
419	двух основных	1	1
420	а именно	5	1
421	коммуникативной функции	1	1
422	и сама	1	1
423	например в	3	1
424	возникает и	1	1
425	деятельность так	1	1
426	еще на	2	1
427	и т	1	1
428	на этой	1	1
429	этот как	1	1
430	в таком	1	1
431	быть не	2	1
432	ряду других	1	1
433	человека не	1	1
434	каждый данный	1	1
435	отталкиваясь от	1	1
436	о которой	2	1
437	как без	1	1
438	само слово	1	1
439	между тем	3	1
440	для каждой	1	1
441	еще более	1	1
442	хотя и	4	1
443	времени и	1	1
444	с музыкой	1	1
445	но между	1	1
446	в коллективе	1	1
447	на все	1	1
448	на месте	1	1
449	за пределы	1	1
450	сама по	1	1
451	этой мысли	1	1
452	из тупика	1	1
453	в понимании	1	1
454	место в	4	1
455	в совершенно	2	1
456	для меня	2	1
457	в значении	1	1
458	в самое	1	1
459	языка и	1	1
460	между людьми	2	1
461	мы с	2	1
462	все время	3	1
463	в центре	1	1
464	и одно	1	1
465	до ее	1	1
466	при виде	1	1
467	сказать и	2	1
468	за собой	1	1
469	отнюдь не	3	1
470	что такое	1	1
471	из тех	1	1
472	если как	1	1
473	что к	1	1
474	и представляет	1	1
475	в самых	1	1
476	вещей в	2	1
477	следовало ожидать	1	1
478	двух ее	1	1
479	в двух	1	1
480	полагает что	1	1
481	того же	2	1
482	состоит как	1	1
483	связано с	1	1
