N	3gram	Nazirov_Tv_2	Problemy
1	и т п	2	9
2	до сих пор	3	7
3	по отношению к	3	5
4	то же время	7	5
5	в то же	7	5
6	и не может	2	4
7	в отличие от	2	4
8	не может быть	3	4
9	в самом деле	2	4
10	и т д	11	4
11	можно было бы	1	3
12	в произведениях достоевского	2	3
13	мы уже говорили	1	3
14	к тому же	1	3
15	с другой стороны	2	3
16	но в то	1	3
17	той или иной	1	3
18	как и в	1	3
19	хотя и не	1	2
20	в творчестве достоевского	4	2
21	в письме к	1	2
22	на этот вопрос	2	2
23	но при этом	1	2
24	в то время	1	2
25	другой стороны и	1	2
26	в романах достоевского	12	2
27	о том как	1	1
28	он живет в	1	1
29	но прежде всего	2	1
30	достоевского не может	1	1
31	в виду что	1	1
32	дело в том	1	1
33	более глубокой и	1	1
34	в том числе	1	1
35	в том же	2	1
36	же как и	1	1
37	по крайней мере	2	1
38	в таком случае	2	1
39	сами по себе	1	1
40	мы как бы	1	1
41	и ту же	1	1
42	является одним из	1	1
43	а может быть	1	1
44	творчестве достоевского но	1	1
45	что в нем	1	1
46	том числе и	1	1
47	униженных и оскорбленных	1	1
48	романа достоевского как	1	1
49	так сказать в	1	1
50	на него в	1	1
51	но в таком	1	1
52	оно никогда не	1	1
53	не о том	1	1
54	в связи с	1	1
55	в романе достоевского	5	1
56	таком случае это	1	1
57	творчестве достоевского в	1	1
58	ивана карамазова с	1	1
59	все же не	2	1
60	сюжет у достоевского	1	1
61	что у достоевского	2	1
62	таким-то образом и	1	1
63	во всяком случае	2	1
64	не знал чем	1	1
65	и в том	1	1
66	же время достоевский	1	1
67	о том что	2	1
68	это еще не	1	1
69	достоевского прежде всего	1	1
70	не лежит в	1	1
71	так и в	2	1
72	то что не	1	1
73	в одном из	2	1
74	прежде всего возникает	1	1
75	у достоевского нет	2	1
76	с полным правом	2	1
77	в каждом из	1	1
78	друг за другом	1	1
79	одну и ту	1	1
80	в том что	2	1
81	совершенно не учитывает	1	1
82	не приходит в	1	1
83	в душу героя	1	1
84	и в другом	1	1
