N	2gram	Medvedev_I_1	Dialekti
1	и не	2	30
2	и в	1	18
3	ничего не	2	17
4	что в	2	13
5	в этом	2	12
6	если бы	1	12
7	все это	1	11
8	стало быть	1	9
9	так и	1	9
10	никогда не	1	9
11	с другой	1	6
12	говорить о	1	5
13	я не	1	5
14	и с	3	5
15	есть только	1	5
16	а в	1	5
17	нисколько не	1	4
18	другой стороны	1	4
19	от этого	1	3
20	он не	2	3
21	и еще	1	3
22	в них	1	3
23	вплоть до	1	3
24	в основе	1	3
25	и о	1	3
26	и та	1	3
27	же это	1	3
28	что для	1	3
29	бы в	1	3
30	только что	1	3
31	жизни и	1	3
32	все эти	1	2
33	в первую	1	2
34	это было	1	2
35	как о	1	2
36	бы все	1	2
37	как только	1	2
38	для того	1	2
39	того что	1	2
40	то и	1	2
41	для него	1	2
42	а с	1	2
43	не остается	1	1
44	и без	1	1
45	она ничего	1	1
46	стали бы	1	1
47	бы что	2	1
48	ничего в	1	1
49	гипотеза и	1	1
50	мы стали	1	1
51	следующим образом	1	1
52	странное и	1	1
53	нее и	1	1
54	понятий и	1	1
55	них не	1	1
56	а по	1	1
57	первую очередь	1	1
58	с жизнью	1	1
59	этим и	1	1
60	творчества пушкина	1	1
61	и ничего	1	1
62	и очень	1	1
63	того чтобы	1	1
64	он с	1	1
65	так то	1	1
66	должен быть	2	1
67	и сам	1	1
68	не так	1	1
69	со всеми	1	1
70	себя в	1	1
71	не дает	1	1
72	и др	1	1
73	а если	1	1
74	по существу	1	1
75	другое дело	1	1
76	пушкина и	1	1
77	а также	1	1
