N	3gram	Ircho_Kome_1	VrazhdaK
1	то же время	4	4
2	в то же	4	4
3	в эти годы	2	2
4	в том что	9	2
5	он был очень	1	1
6	вскоре после этого	1	1
7	а между тем	1	1
8	да и в	1	1
9	следить за тем	1	1
10	в ответ на	1	1
11	в соответствии с	1	1
12	в том же	1	1
13	до сих пор	2	1
14	в той же	1	1
15	автору этих строк	1	1
16	в этом отношении	3	1
17	независимо от того	1	1
18	гораздо хуже чем	1	1
19	в этот период	1	1
20	героя нашего времени	1	1
21	с тех пор	1	1
22	о которой упоминает	1	1
23	в это время	1	1
24	едва ли не	3	1
25	так же как	1	1
26	в высшей степени	1	1
27	в конце концов	4	1
28	но при этом	1	1
29	в свою пользу	1	1
30	каждый из них	2	1
31	во всяком случае	2	1
32	что у него	1	1
33	мы знаем о	1	1
34	с другой стороны	5	1
35	не последнее место	1	1
36	тем не менее	1	1
37	в то время	5	1
38	о том что	3	1
39	на этот раз	1	1
40	к нему с	1	1
41	на то что	2	1
42	что уже в	1	1
43	мы бы назвали	1	1
44	речь идет о	3	1
