N	3gram	Losev_Prob_1	Russkaja
1	в то же	4	10
2	с точки зрения	3	9
3	в том что	5	7
4	на самом деле	4	6
5	во всяком случае	3	6
6	для того чтобы	8	6
7	а между тем	1	5
8	до сих пор	3	5
9	более или менее	3	4
10	на то что	8	4
11	бы то ни	1	4
12	не может быть	2	4
13	то ни стало	1	3
14	во что бы	1	3
15	в этом случае	2	3
16	вместе с тем	1	3
17	можно было бы	2	3
18	и то что	2	3
19	что бы то	1	3
20	в данном случае	8	3
21	в конце концов	4	3
22	той или иной	4	3
23	а следовательно и	1	2
24	точно так же	4	2
25	в настоящее время	3	2
26	в том и	1	2
27	чтобы понять что	1	2
28	том и в	1	2
29	и в том	1	2
30	того или иного	2	2
31	о том что	5	2
32	и тем самым	3	2
33	ни одна из	1	2
34	однако отнюдь не	1	2
35	в другом случае	1	2
36	к тому что	1	2
37	сама по себе	4	2
38	и в другом	1	2
39	и того же	2	1
40	в себе всегда	1	1
41	отнюдь не всякий	1	1
42	что в последние	1	1
43	всегда помнить что	1	1
44	указывает на ее	1	1
45	дело в том	3	1
46	так же и	3	1
47	в самом деле	2	1
48	но даже и	1	1
49	то же самое	9	1
50	в том же	1	1
51	которых мы говорили	1	1
52	та или другая	1	1
53	и в других	3	1
54	до известной степени	1	1
55	только то что	4	1
56	в этом отношении	1	1
57	то естественно что	1	1
58	но для этого	1	1
59	от того чтобы	1	1
60	может и должно	1	1
61	перед нами не	1	1
62	чтобы она стала	1	1
63	тот или иной	1	1
64	не просто в	1	1
65	по крайней мере	2	1
66	то и другое	2	1
67	то в этой	1	1
68	он всегда будет	1	1
69	не есть только	1	1
70	сводится к тому	1	1
71	и что в	2	1
72	можно сказать только	2	1
73	в том чтобы	1	1
74	но в то	1	1
75	тем что он	1	1
76	и с точки	1	1
77	при ближайшем рассмотрении	1	1
78	но и этот	1	1
79	только в виде	1	1
80	и должно быть	1	1
81	и в этом	2	1
82	во всех этих	2	1
83	и как бы	2	1
84	указывает на то	3	1
85	жизни и тем	1	1
86	в связи с	4	1
87	и на то	1	1
88	внутренней и внешней	1	1
89	сказать только то	1	1
90	также и то	2	1
91	мы говорили выше	2	1
92	решения вопроса о	1	1
93	идет речь не	1	1
94	тем что они	1	1
95	сих пор мы	2	1
96	в его целом	1	1
97	так же как	2	1
98	о которых мы	2	1
99	не существуют в	1	1
100	хотя в то	1	1
101	само собой разумеется	1	1
102	того и другого	1	1
103	что оно есть	1	1
104	то что для	1	1
105	заключается в том	1	1
106	есть по существу	1	1
107	даже и в	1	1
108	тех или иных	2	1
109	этой цели мы	1	1
110	и для чего	1	1
111	так как это	1	1
112	от нас и	1	1
113	в результате этого	1	1
114	одного и того	2	1
115	мы не знаем	1	1
116	только в этом	1	1
117	тем не менее	18	1
118	необходимо иметь в	1	1
119	всех этих случаях	1	1
120	на первый взгляд	1	1
121	к тому же	1	1
122	не только от	1	1
123	и только в	1	1
