N	3gram	Nazirov_Vr_1	Myshleni
1	с точки зрения	2	21
2	в том что	2	13
3	не только не	1	9
4	так же как	1	7
5	не может быть	2	4
6	заключается в том	1	4
7	о том что	1	4
8	на то что	1	4
9	до сих пор	1	3
10	в этом отношении	1	3
11	одно и то	1	3
12	и то что	1	3
13	и то же	1	3
14	тем не менее	1	3
15	в известном смысле	1	2
16	ему нужно было	1	2
17	в той же	1	2
18	в этот период	1	2
19	точно так же	1	2
20	как раз в	2	2
21	едва ли не	1	2
22	в то время	1	2
23	в свою очередь	1	2
24	а следовательно и	1	1
25	в соответствии с	1	1
26	в этом смысле	1	1
27	что я хотел	1	1
28	в том же	1	1
29	и не может	1	1
30	в каком направлении	1	1
31	все же в	1	1
32	не переставал любить	1	1
33	и что в	2	1
34	его отношения к	1	1
35	в момент его	1	1
36	в высшей степени	1	1
37	в ней благодаря	1	1
38	но при этом	1	1
39	и в этом	1	1
40	с другой стороны	1	1
41	во всяком случае	1	1
42	что у него	1	1
43	шаг за шагом	1	1
44	это и есть	1	1
45	по нашему мнению	1	1
46	в то же	4	1
47	тем что он	1	1
48	в конце концов	1	1
