N	2gram	Losev_Dial_1	Literetu
1	не только	13	24
2	при этом	1	19
3	в качестве	2	17
4	но и	7	17
5	в том	9	16
6	а не	14	16
7	в частности	2	15
8	том что	9	14
9	может быть	17	13
10	сознания в	1	12
11	и не	30	12
12	в этом	12	12
13	в своем	5	11
14	прежде всего	10	11
15	то что	13	10
16	или иначе	1	9
17	так или	1	8
18	не в	6	8
19	и в	18	8
20	только в	3	8
21	как это	4	8
22	я и	1	7
23	я не	5	7
24	как бы	11	7
25	в себе	11	7
26	не менее	2	7
27	в его	3	7
28	уже не	2	7
29	и я	1	6
30	то есть	1	6
31	как и	2	6
32	точки зрения	17	6
33	и сам	1	6
34	того что	2	6
35	связи с	1	6
36	в жизни	1	6
37	себя в	1	6
38	то же	10	5
39	как в	2	5
40	в то	6	5
41	а также	1	5
42	же время	4	5
43	что он	11	5
44	уже в	1	5
45	не может	12	5
46	в данном	3	5
47	с этой	2	5
48	я в	2	5
49	тем самым	1	5
50	в своей	2	4
51	еще не	2	4
52	столь же	1	4
53	но не	4	4
54	в этой	1	4
55	все же	5	4
56	по преимуществу	1	4
57	не как	2	4
58	в силу	1	4
59	для этого	2	4
60	и его	1	4
61	никогда не	9	4
62	так и	9	4
63	еще в	1	4
64	и тем	1	4
65	из них	2	4
66	мир в	1	4
67	в конце	4	4
68	как раз	4	4
69	о себе	1	4
70	в связи	1	4
71	со стороны	2	4
72	это не	9	4
73	например в	1	3
74	и есть	16	3
75	тем же	1	3
76	также и	7	3
77	в самом	3	3
78	бы не	1	3
79	с их	1	3
80	таким образом	1	3
81	той же	1	3
82	его в	1	3
83	в душе	1	3
84	далеко не	1	3
85	он и	2	3
86	несмотря на	10	3
87	у тютчева	4	3
88	в их	3	3
89	но в	6	3
90	дело в	1	3
91	в основе	3	3
92	не должен	1	3
93	всего в	1	3
94	в виду	5	3
95	нуждается в	3	3
96	по своей	1	3
97	один из	3	3
98	потому что	14	3
99	у него	1	3
100	и даже	13	3
101	с другой	6	3
102	еще и	3	3
103	и др	1	3
104	не было	6	3
105	да и	6	3
106	этой точки	2	3
107	жизни и	3	3
108	что в	13	3
109	а в	5	3
110	же и	2	3
111	во всяком	4	3
112	чтобы не	2	2
113	и весьма	1	2
114	не остается	1	2
115	и то	9	2
116	самом деле	3	2
117	к своей	1	2
118	от самого	3	2
119	должна быть	3	2
120	от всякой	2	2
121	для своего	2	2
122	и само	1	2
123	та же	3	2
124	на себя	1	2
125	из того	2	2
126	то это	4	2
127	во мне	1	2
128	и самого	1	2
129	то он	2	2
130	а только	3	2
131	относится к	2	2
132	отнюдь не	9	2
133	общего с	5	2
134	следующим образом	1	2
135	говорится в	1	2
136	только то	4	2
137	все эти	2	2
138	из этих	2	2
139	тому же	2	2
140	как он	4	2
141	с чем	1	2
142	в нем	16	2
143	же это	3	2
144	не к	1	2
145	это надо	1	2
146	на этом	2	2
147	здесь как	1	2
148	для нее	2	2
149	было бы	12	2
150	на почве	1	2
151	для них	1	2
152	в москве	1	2
153	от своего	1	2
154	что такое	10	2
155	как все	1	2
156	а как	1	2
157	всяком случае	2	2
158	с точки	12	2
159	от себя	1	2
160	что я	3	2
161	тем не	1	2
162	даже в	3	2
163	именно так	1	2
164	раз и	2	2
165	нас самих	1	2
166	вплоть до	3	2
167	xviii века	1	2
168	дело не	2	2
169	было у	1	2
170	жизни не	1	2
171	и является	2	2
172	в сознании	3	2
173	как будто	1	2
