N	2gram	Losev_Vesc_1	Literetu
1	и не	29	22
2	тогда как	1	17
3	и в	21	16
4	при этом	1	15
5	в этом	4	14
6	не только	36	14
7	но и	18	14
8	в том	8	12
9	может быть	16	12
10	а не	19	12
11	то что	27	12
12	в частности	1	11
13	я и	6	10
14	не в	5	10
15	то же	6	9
16	так и	3	9
17	в то	3	9
18	того что	8	9
19	в этой	3	8
20	в жизни	3	8
21	том что	8	8
22	не может	17	8
23	к себе	4	8
24	как бы	12	8
25	в своей	5	7
26	тем самым	1	7
27	только в	14	7
28	себя в	10	7
29	со стороны	5	7
30	точки зрения	5	7
31	я в	2	7
32	еще не	8	6
33	с его	1	6
34	в себе	14	6
35	в другом	2	6
36	о том	6	6
37	и его	2	6
38	в его	2	6
39	с другой	6	6
40	к тому	3	6
41	в отличие	1	5
42	отличие от	1	5
43	тому же	1	5
44	это не	5	5
45	как и	8	5
46	что я	24	5
47	в основе	3	5
48	этом отношении	1	5
49	в ее	7	5
50	что он	1	5
51	в качестве	1	5
52	именно в	1	5
53	а именно	1	5
54	вместе с	1	5
55	а в	4	5
56	но не	5	4
57	хотя и	4	4
58	и если	2	4
59	должно быть	6	4
60	однако в	1	4
61	никогда не	2	4
62	данном случае	2	4
63	а также	1	4
64	с одной	3	4
65	из них	4	4
66	одно из	1	4
67	в одном	2	4
68	как будто	1	4
69	одной стороны	3	4
70	в данном	5	4
71	по существу	2	4
72	и для	9	4
73	жизни в	1	4
74	самом деле	4	3
75	едва ли	1	3
76	той же	2	3
77	с ее	6	3
78	но уже	3	3
79	отнюдь не	5	3
80	однако не	2	3
81	и как	8	3
82	и наконец	1	3
83	и к	1	3
84	но в	5	3
85	то в	4	3
86	бы и	5	3
87	а затем	2	3
88	и тем	3	3
89	в слове	2	3
90	с точки	3	3
91	однако если	1	3
92	по своей	2	3
93	потому что	16	3
94	личности в	1	3
95	для его	1	3
96	все еще	3	3
97	не случайно	2	3
98	искусства и	1	3
99	прежде всего	9	3
100	все время	1	3
101	живой жизни	1	3
102	совершенно не	5	3
103	уже не	9	3
104	в самом	9	3
105	те кто	1	3
106	о чем	1	3
107	и а	2	3
108	как это	2	3
109	тому как	4	3
110	в третьем	1	3
111	жизни и	2	3
112	а я	1	3
113	того же	5	2
114	в первом	2	2
115	для своего	1	2
116	как мы	4	2
