1	в то же время	3	5
2	не что иное как	3	4
3	вопрос о том что	1	3
4	и т д однако	1	3
5	в том отношении что	1	3
6	с одной стороны и	1	3
7	и т д в	1	2
8	есть не что иное	2	2
9	заключается в том что	1	2
10	и т д все	1	2
11	по самой своей природе	1	2
12	сама по себе не	2	1
13	на тему о том	1	1
14	в том что обе	1	1
15	вовсе не в том	1	1
16	и говорить о том	1	1
17	одно и то же	4	1
18	до тех пор пока	1	1
19	т д все это	1	1
20	и т д и	2	1
21	каждой из них и	1	1
22	в связи с этим	1	1
23	говорить о том что	1	1
24	уже само по себе	1	1
25	теснейшим образом связана с	1	1
26	но дело не в	1	1
27	и т д мы	1	1
28	и от того что	1	1
29	нечего и говорить о	1	1
30	не говоря уже о	2	1
31	точно так же как	1	1
32	по крайней мере не	1	1
33	если принять во внимание	2	1
34	по себе не есть	1	1
35	том что в одном	1	1
