N	3gram	Savitsky_E_1	Myslijsy
1	в том что	6	13
2	не может быть	2	9
3	только в том	2	6
4	и в этом	4	6
5	с другой стороны	2	5
6	но и в	1	4
7	в свою очередь	2	4
8	само по себе	4	4
9	в этом смысле	3	4
10	в том смысле	1	4
11	только тогда когда	1	4
12	и т д	1	4
13	с точки зрения	16	3
14	с тем что	1	3
15	в противном случае	1	3
16	с одной стороны	8	3
17	то же время	14	3
18	так и в	2	3
19	не только в	4	3
20	не более как	1	3
21	в то же	15	3
22	мы увидим что	1	3
23	дело в том	1	2
24	бы то ни	4	2
25	заключает в себе	3	2
26	на этот вопрос	1	2
27	но и для	1	2
28	то и другое	1	2
29	к тому что	1	2
30	в применении к	3	2
31	во внимание что	1	2
32	не могут быть	1	2
33	что в таком	1	2
34	для того чтобы	5	2
35	в некотором смысле	3	2
36	и того же	1	2
37	как бы ни	3	2
38	при известных условиях	1	2
39	одного и того	1	2
40	друг от друга	2	2
41	тех и других	1	2
42	и связанное с	1	1
43	из всего этого	1	1
44	на различия в	1	1
45	того что в	2	1
46	не менее ее	1	1
47	но так как	1	1
48	не говоря уже	2	1
49	во многих случаях	1	1
50	одной стороны и	6	1
51	то есть чем	1	1
52	мы не можем	1	1
53	и не только	1	1
54	что как бы	1	1
55	говоря уже о	1	1
56	и то и	1	1
57	как же будет	1	1
58	же время не	1	1
59	в этом отношении	3	1
60	то что в	2	1
61	из того что	2	1
62	не заключает в	1	1
63	можно было бы	3	1
64	с этой точки	5	1
65	и в этих	1	1
66	бы в одном	1	1
67	можно думать что	3	1
68	более или менее	1	1
69	то ни было	4	1
70	так же как	5	1
71	вовлекает в свой	1	1
72	заключается в том	2	1
73	смысле этого слова	1	1
74	в связи с	1	1
75	и в отношении	1	1
76	между тем в	3	1
77	значение только в	1	1
78	независимо от этого	1	1
79	во всяком случае	3	1
80	том что создание	1	1
81	как одно из	1	1
82	то окажется что	2	1
83	что во многих	1	1
84	вслед за тем	2	1
85	мы видели что	1	1
86	по себе не	2	1
87	это потому что	1	1
88	это должно быть	1	1
89	как и всякая	1	1
90	том смысле что	1	1
91	в то время	1	1
92	это значит что	1	1
93	нельзя сказать чтобы	1	1
94	и тем самым	1	1
95	в одном из	2	1
96	этой точки зрения	5	1
97	и тем более	1	1
98	на то что	2	1
99	но не в	1	1
100	даже при самом	1	1
101	для нас в	1	1
102	помнить что в	1	1
103	в психологии и	1	1
104	на такой вопрос	1	1
105	не может в	1	1
106	как мы видели	2	1
