N	3gram	Trubetskoy_1	Problema
1	в настоящее время	2	16
2	о том что	2	14
3	тем не менее	1	12
4	во всяком случае	6	10
5	в конце концов	3	7
6	и то что	3	7
7	в этом случае	3	7
8	по крайней мере	1	6
9	в данном случае	3	5
10	в связи с	1	5
11	того или иного	2	5
12	то же самое	1	5
13	более или менее	4	4
14	только в том	2	4
15	до сих пор	5	4
16	тот или иной	1	4
17	не есть только	1	4
18	те или другие	1	4
19	на то что	4	4
20	в то же	10	4
21	сама по себе	2	4
22	в том что	7	4
23	то есть не	1	3
24	в значительной мере	2	3
25	только то что	1	3
26	точно так же	2	3
27	и в частности	1	3
28	было говорить о	1	3
29	и в этом	1	3
30	не может быть	4	3
31	даже и в	1	3
32	должны были бы	1	2
33	или хотя бы	1	2
34	так же и	1	2
35	на самом деле	6	2
36	всяком случае не	1	2
37	в самом деле	1	2
38	в том числе	1	2
39	с самого начала	1	2
40	также и то	1	2
41	бы то ни	4	2
42	можно было говорить	1	2
43	но можно ли	1	2
44	том числе и	1	2
45	можно было бы	3	2
46	по самому своему	2	2
47	есть то что	1	2
48	в том случае	4	2
49	для того чтобы	6	2
50	друг к другу	1	2
51	между собой и	1	2
52	заключается в том	1	2
53	это и есть	1	2
54	вопрос о том	1	2
55	и прежде всего	1	2
56	друг от друга	2	2
57	собой и не	1	2
58	для нас важно	1	1
59	не может не	3	1
60	отражением того или	1	1
61	то ни стало	3	1
62	но как бы	1	1
63	но даже и	1	1
64	речь не будет	1	1
65	является не только	1	1
66	а в том	1	1
67	важно то что	1	1
68	несмотря на то	1	1
69	он не может	1	1
70	во что бы	3	1
71	и не только	1	1
72	и не может	3	1
73	мы говорили в	2	1
74	том случае если	3	1
75	но для нас	1	1
76	котором мы говорили	1	1
77	потому что и	1	1
78	в этом отношении	1	1
79	что не только	1	1
80	с тем чтобы	3	1
81	и не будет	2	1
82	совершенно ясно что	1	1
83	к тому чтобы	4	1
84	нем самом и	1	1
85	что все это	1	1
86	но не о	1	1
87	то и другое	1	1
88	вместе с тем	3	1
89	отказаться от того	1	1
90	говорить не о	1	1
91	всяком случае при	1	1
92	и в своем	1	1
93	что бы то	3	1
94	так же как	1	1
95	в противоречие с	2	1
96	сих пор мы	1	1
97	между собой все	1	1
98	тем что он	1	1
99	то ни было	1	1
100	мы не знаем	1	1
101	на первый взгляд	1	1
102	только один из	1	1
103	не могут не	2	1
104	самое большее что	1	1
105	к которой они	1	1
106	в себе те	1	1
107	идет речь не	1	1
108	ее в качестве	1	1
109	тем что они	1	1
110	случае не будет	1	1
111	и если эта	1	1
112	не существуют в	1	1
113	потому что они	1	1
114	что же это	1	1
115	иначе и не	1	1
116	что на этой	1	1
117	близких друг к	1	1
118	от того что	1	1
119	говорить о том	1	1
120	и тем самым	2	1
121	ни одна из	2	1
122	но это же	1	1
123	той или иной	3	1
124	но все же	1	1
125	о котором мы	1	1
126	самого себя и	3	1
127	в другом случае	2	1
128	только в этом	1	1
129	том случае когда	1	1
130	которую можно назвать	1	1
131	и только в	1	1
132	со стороны их	1	1
