N	2gram	Propp_Isto_6	StatiiOP
1	и в	26	25
2	в этом	12	24
3	в том	12	20
4	что он	9	19
5	может быть	11	19
6	тем что	5	19
7	что в	12	19
8	что это	2	16
9	том что	10	15
10	в этой	2	14
11	и пр	1	13
12	не только	10	12
13	в его	5	12
14	то что	6	12
15	в этих	2	11
16	так что	3	11
17	таким образом	12	10
18	прежде всего	4	10
19	и не	10	10
20	у него	7	9
21	но и	9	9
22	и т	10	8
23	все это	1	8
24	о том	7	8
25	т е	22	8
26	в своих	3	8
27	из его	2	7
28	с этим	2	7
29	это не	4	7
30	было бы	2	7
31	в то	5	7
32	не может	6	7
33	что касается	2	7
34	точки зрения	1	7
35	и на	12	6
36	как в	6	6
37	из этих	4	6
38	интересно что	2	6
39	не в	3	6
40	в русской	6	6
41	между тем	1	6
42	только в	5	6
43	в области	1	6
44	как бы	4	6
45	а в	3	6
46	как на	3	6
47	то же	5	5
48	независимо от	3	5
49	но в	7	5
50	по форме	1	5
51	на то	2	5
52	он не	2	5
53	об этом	1	5
54	ни в	2	5
55	мы имеем	14	5
56	в котором	1	5
57	потому что	13	5
58	и это	8	5
59	так и	5	5
60	в них	3	5
61	отметить что	2	5
62	с другой	10	5
63	связано с	4	5
64	а не	2	5
65	того что	2	5
66	другой стороны	8	5
67	например в	7	4
68	что эти	2	4
69	время как	3	4
70	из которых	3	4
71	относится к	2	4
72	все же	8	4
73	не было	3	4
74	и к	1	4
75	в целом	1	4
76	на его	4	4
77	и тем	4	4
78	в жизни	1	4
79	с тем	4	4
80	как и	5	4
81	в эту	2	4
82	а как	1	4
83	у нас	5	4
84	ничего не	2	4
85	к ней	1	4
86	связана с	3	4
87	отличается от	2	4
88	в ней	5	4
89	и с	6	4
90	если бы	3	4
91	можно сказать	2	4
92	а также	4	4
93	к нему	1	4
94	мы видим	5	4
95	в качестве	3	4
96	и др	2	4
97	всяком случае	2	4
98	отношение к	1	4
99	то время	3	4
100	в особенности	1	4
101	связь с	11	4
102	он говорит	1	4
103	это есть	1	4
104	что здесь	3	4
105	и для	1	4
106	но это	4	4
107	сказать что	3	4
108	в своей	3	4
109	из этого	3	4
110	это в	1	4
111	во всяком	2	4
112	он был	2	3
113	с его	4	3
114	своего рода	2	3
115	кроме того	3	3
116	и наконец	3	3
117	все эти	8	3
118	и если	1	3
119	на этом	1	3
120	от нее	2	3
121	что этот	2	3
122	в другом	1	3
123	нет в	3	3
124	о которых	1	3
125	показывает что	3	3
126	попадает в	3	3
127	несмотря на	1	3
128	и народ	1	3
129	что я	1	3
130	но он	2	3
131	и более	1	3
132	на эти	2	3
133	тому что	1	3
134	и далее	2	3
135	и здесь	1	3
136	что все	1	3
137	со стороны	3	3
138	на вопрос	1	3
139	и что	5	3
140	по этому	1	3
141	и его	7	3
142	уже не	7	3
143	уже в	1	3
144	не так	2	3
145	для него	1	3
146	так как	18	3
147	в некоторых	2	3
148	не является	1	3
149	связан с	6	3
150	одной стороны	7	3
151	что мы	2	3
152	его как	1	3
153	в связи	1	3
154	с этой	2	3
155	между прочим	1	3
156	тем более	1	3
157	обращается к	2	3
158	находит свое	1	3
159	к этому	3	3
160	в виде	6	3
161	речь идет	1	2
162	такое же	1	2
163	выходит из	1	2
164	того же	2	2
165	не имел	1	2
166	во всех	1	2
167	важно отметить	1	2
168	то он	2	2
169	но как	4	2
170	только тогда	1	2
171	с которыми	1	2
172	вступают в	1	2
173	не просто	1	2
