N	2gram	Bakhtin_fo_1	Otkroven
1	у него	6	22
2	и в	50	19
3	но и	8	13
4	и не	14	13
5	в этом	25	12
6	человека в	17	11
7	не в	5	11
8	не только	9	11
9	может быть	11	11
10	а не	3	11
11	человека и	11	10
12	вопрос о	2	10
13	в нем	24	10
14	и все	6	10
15	в самой	2	9
16	прежде всего	15	9
17	к человеку	1	9
18	не было	7	9
19	никогда не	2	9
20	потому что	4	9
21	он был	1	8
22	и он	1	8
23	он всегда	1	7
24	в его	13	7
25	человек не	1	7
26	он не	5	7
27	лишь в	6	7
28	до конца	4	7
29	ни с	2	7
30	нет ничего	4	7
31	но он	2	7
32	от него	1	7
33	как и	8	6
34	все это	4	6
35	отношение к	2	5
36	в том	9	5
37	в самом	8	5
38	в этой	1	5
39	человеке и	1	5
40	для него	2	5
41	а в	3	5
42	то что	6	5
43	он сам	1	4
44	с его	9	4
45	все в	1	4
46	все эти	9	4
47	в самую	1	4
48	что не	3	4
49	не может	6	4
50	в романах	2	4
51	того чтобы	5	4
52	человек и	2	4
53	и его	16	4
54	всегда есть	1	4
55	что в	5	4
56	только и	5	4
57	нем нет	2	3
58	и есть	1	3
59	о том	1	3
60	еще не	5	3
61	человек был	3	3
62	было бы	2	3
63	того что	2	3
64	что он	1	3
65	и ее	3	3
66	в себе	3	3
67	и вот	1	3
68	не могут	3	3
69	для того	5	3
70	это было	1	3
71	что человек	1	3
72	это не	6	3
73	никто не	2	3
74	могут быть	5	3
75	как бы	2	3
76	с ним	2	3
77	и от	1	3
78	до самой	1	3
79	в этих	3	3
80	хотя бы	2	3
81	в своих	1	3
82	он лишь	1	3
83	и с	4	2
84	из всего	1	2
85	и то	4	2
86	в ее	6	2
87	этого мира	4	2
88	так и	12	2
89	него всегда	1	2
90	по себе	2	2
91	их не	1	2
92	и на	8	2
93	и много	1	2
94	природы и	2	2
95	совсем не	2	2
96	что и	3	2
97	в истории	2	2
98	в своем	4	2
99	и нет	2	2
100	все же	6	2
101	вопросом о	1	2
102	и к	2	2
103	в этот	2	2
104	и потому	3	2
105	и этим	1	2
106	в которой	2	2
107	так что	1	2
108	уже в	2	2
109	с чем	1	2
110	о которой	1	2
111	одно из	3	2
112	ведь это	1	2
113	его судьбе	1	2
114	он весь	2	2
115	человеческую природу	1	2
116	так как	6	2
117	этом мире	2	2
118	тем что	2	2
119	в других	9	2
120	момент в	2	2
121	образ человека	6	2
122	в другом	1	2
123	его в	3	2
124	сказать что	3	2
125	с тем	3	2
126	и очень	1	2
127	чем в	2	2
128	личности и	2	2
129	должно быть	1	2
130	том что	4	2
131	черту и	1	2
132	к этому	3	2
133	человек всегда	1	2
134	в человеческом	1	2
135	своей жизни	4	2
136	человека есть	1	2
137	с которой	1	2
138	не имеет	4	2
139	человека о	2	2
140	и для	4	2
141	ничего не	9	2
142	и ни	1	2
143	к ней	2	2
144	жизни в	8	2
145	в своей	2	2
146	что все	2	2
147	всего в	1	2
148	к этой	1	2
149	хотя и	3	2
150	ее в	2	2
151	но в	10	2
152	о судьбе	1	1
153	человеческий мир	1	1
154	смысле слова	2	1
155	и это	4	1
156	женщины и	1	1
157	и самое	1	1
158	отношения к	3	1
159	также и	2	1
160	например в	6	1
161	не делает	1	1
162	и через	1	1
163	связана с	1	1
164	в виду	3	1
165	характер и	7	1
166	тем же	1	1
167	между двумя	6	1
168	нет никакой	1	1
169	уже с	1	1
170	из самых	1	1
171	к другому	2	1
172	и до	5	1
173	темы о	1	1
174	жизни ее	1	1
175	уже указывали	4	1
176	не имеют	3	1
177	природе своей	2	1
178	человека он	1	1
179	из всех	1	1
180	всей ее	1	1
181	есть не	3	1
182	по природе	2	1
183	собой в	1	1
184	из которой	1	1
185	которая была	1	1
186	и каждый	1	1
187	не умирает	1	1
188	мы не	3	1
189	ту же	2	1
190	по сравнению	2	1
191	связан с	1	1
192	в первый	1	1
193	человек по	2	1
194	если бы	5	1
195	в эпоху	1	1
196	для раскрытия	2	1
197	в сущности	3	1
198	находится в	1	1
199	достоевского преступление	1	1
200	не вполне	1	1
201	жизни как	1	1
202	другом месте	1	1
203	но к	1	1
204	и был	1	1
205	в ней	4	1
206	нем все	2	1
207	него совершенно	1	1
208	в глаза	2	1
209	его жизни	8	1
210	дороги и	3	1
211	все его	3	1
212	реальных людей	1	1
213	судьбы человека	1	1
214	самом деле	1	1
215	что люди	1	1
216	но ничего	1	1
217	но не	5	1
218	то он	1	1
219	лишь путем	1	1
220	в противоречии	1	1
221	сравнению с	2	1
222	в новом	1	1
223	но нет	1	1
224	себе и	3	1
225	в форме	3	1
226	человек человек	2	1
227	преступление и	1	1
228	человек может	1	1
229	и я	1	1
230	человека как	1	1
231	в центре	2	1
232	что во	1	1
233	человеке так	1	1
234	как в	6	1
235	и мир	1	1
236	человек для	1	1
237	друг к	2	1
238	бросается в	1	1
239	этой отрицательной	1	1
240	в частности	6	1
241	один из	3	1
242	и как	10	1
243	имеет ни	1	1
244	с ними	1	1
245	природой и	1	1
246	него также	1	1
247	самом начале	1	1
248	проникнуть в	1	1
249	от этого	2	1
250	психологии и	1	1
251	жизни есть	1	1
252	и после	1	1
253	их жизни	1	1
254	из жизни	1	1
255	бы и	1	1
256	что это	1	1
257	между этими	4	1
258	вопрос об	1	1
259	есть для	1	1
260	не оставляет	6	1
261	со всеми	3	1
262	в эти	1	1
263	человека с	1	1
264	же и	2	1
265	с их	2	1
266	уже не	2	1
267	и человеческие	1	1
268	на то	1	1
269	образа человека	11	1
270	его существование	1	1
271	а вовсе	1	1
272	свободу и	1	1
273	бытовой жизни	4	1
274	сказать в	1	1
275	и других	3	1
276	да и	3	1
277	как мыслитель	1	1
278	из них	1	1
279	его и	2	1
280	мир в	2	1
281	был бы	3	1
282	путей развития	1	1
283	он должен	2	1
284	цели и	1	1
285	начале романа	2	1
286	человека не	1	1
287	в корне	1	1
288	в одном	3	1
289	месте и	1	1
290	вовсе не	13	1
291	и сам	1	1
292	противоречии с	1	1
293	лишь с	1	1
