N	3gram	Voloshinov_1	Otkroven
1	в нем нет	2	3
2	для того чтобы	3	3
3	а не в	1	2
4	не может быть	13	2
5	как и все	2	2
6	но и в	1	2
7	не могут быть	2	2
8	с тем что	1	2
9	смысле этого слова	2	1
10	она и не	1	1
11	по природе своей	1	1
12	подойти к этой	1	1
13	он сам и	1	1
14	прежде всего в	1	1
15	ни к каким	1	1
16	того чтобы сделать	1	1
17	в самом деле	9	1
18	и есть та	1	1
19	нем нет ничего	1	1
20	между этими двумя	2	1
21	и не может	9	1
22	во всяком случае	2	1
23	этой речи и	1	1
24	само по себе	1	1
25	в этом отношении	3	1
26	и в самом	1	1
27	и там и	1	1
28	и прежде всего	2	1
29	каждом из них	1	1
30	в том что	3	1
31	он ни был	1	1
32	которым можно было	1	1
33	друг с другом	1	1
34	раскрывается до конца	1	1
35	вместо того чтобы	1	1
36	а не только	1	1
37	там и здесь	1	1
38	от того что	2	1
39	и вопрос о	1	1
