N	3gram	Tiupa_Vved_1	Problemy
1	в этом смысле	1	10
2	в то же	4	9
3	то же время	3	9
4	по отношению к	7	8
5	в том что	3	6
6	и в этом	1	5
7	в зависимости от	1	5
8	на самом деле	3	4
9	не может быть	3	4
10	а не как	1	4
11	подобно тому как	2	3
12	с другой стороны	1	3
13	само по себе	1	3
14	все то что	1	3
15	в этом отношении	4	3
16	не входит в	1	3
17	сами по себе	1	3
18	потому что она	1	3
19	во всяком случае	1	3
20	во всей его	1	2
21	в данном случае	6	2
22	но и не	1	2
23	и в то	1	2
24	но это не	1	2
25	как бы в	1	2
26	можно было бы	2	2
27	не только в	2	2
28	все же не	1	2
29	так и к	1	1
30	а в том	1	1
31	это не так	1	1
32	о том что	4	1
33	что это не	1	1
34	своем собственном мире	1	1
35	до известной степени	1	1
36	можно сказать что	1	1
37	взаимодействия сознаний и	1	1
38	как более или	1	1
39	в противном случае	1	1
40	как и у	1	1
41	не в духе	1	1
42	но не в	1	1
43	но на самом	1	1
44	ни одна из	1	1
45	как если бы	1	1
46	в этом случае	1	1
47	то же самое	1	1
48	в первом случае	1	1
49	оно и не	1	1
50	но только в	1	1
51	мы должны были	1	1
52	в настоящее время	1	1
53	не могло бы	1	1
54	не было бы	1	1
55	более или менее	2	1
56	как будто бы	3	1
57	большей или меньшей	1	1
58	становится одним из	2	1
59	точка зрения как	1	1
60	может быть только	1	1
61	вследствие этого оно	1	1
62	в полной мере	1	1
63	своего и чужого	2	1
64	как мы видели	2	1
65	при условии что	1	1
66	не столько в	1	1
67	вовсе еще не	1	1
68	в высшей степени	2	1
69	а не только	1	1
70	в своем собственном	1	1
71	не в том	1	1
72	на первый взгляд	1	1
73	в свою очередь	4	1
74	отношению к слову	1	1
75	хотя и не	1	1
76	по крайней мере	1	1
77	и в пределах	1	1
