N	2gram	Berdyaev_M_2	VLabPisa
1	в этом	20	26
2	и в	46	25
3	не только	18	22
4	может быть	21	21
5	хотя бы	7	20
6	и не	18	19
7	не может	15	17
8	т е	4	17
9	в его	5	15
10	в письме	1	14
11	прежде всего	12	13
12	в том	3	13
13	этом отношении	1	13
14	все это	1	12
15	с другой	1	11
16	письме к	1	10
17	не могут	1	10
18	о том	3	10
19	об этом	1	9
20	что в	4	9
21	для него	18	9
22	но и	15	9
23	то же	5	9
24	к этому	1	9
25	все эти	1	8
26	ни один	1	8
27	в своем	8	8
28	как и	13	7
29	отношению к	2	7
30	не было	11	7
31	вот например	1	7
32	во всех	2	7
33	вместе с	2	7
34	по отношению	2	7
35	а не	13	7
36	было бы	1	7
37	том что	4	7
38	в себе	10	6
39	и его	5	6
40	так и	4	6
41	в нем	22	6
42	у него	22	6
43	идеи и	3	6
44	бы и	5	6
45	между тем	2	6
46	это не	5	6
47	то что	5	6
48	это и	3	6
49	их в	1	6
50	приводит к	1	5
51	в плане	1	5
52	не в	9	5
53	сказать что	3	5
54	один из	5	5
55	тому что	4	5
56	только в	3	5
57	он же	3	5
58	и есть	8	5
59	в пределах	1	5
60	связи с	2	5
61	как бы	8	5
62	в своей	5	4
63	вот почему	2	4
64	в ее	1	4
65	никогда не	18	4
66	в целом	1	4
67	что все	5	4
68	в них	3	4
69	в этой	7	4
70	когда он	1	4
71	в самом	5	4
72	к тому	5	4
73	их и	1	4
74	с его	4	4
75	должен быть	4	4
76	что он	7	4
77	всего лишь	1	3
78	момент в	3	3
79	со своим	2	3
80	рассудок и	1	3
81	в значительной	1	3
82	жизни и	6	3
83	в дневнике	2	3
84	что они	3	3
85	так же	6	3
86	как на	1	3
87	в котором	1	3
88	и ее	1	3
89	своем творчестве	1	3
90	точки зрения	2	3
91	вслед за	1	3
92	в конце	5	3
93	и он	11	3
94	с тем	1	3
95	его в	3	3
96	того что	6	3
97	нет и	1	3
98	только что	1	3
99	и мир	2	3
100	и к	7	3
101	ее в	2	3
102	у нас	11	3
103	человека и	7	3
104	что не	2	3
105	удивительно что	1	3
106	и от	3	3
107	с этим	1	3
108	анной карениной	1	3
109	моментов в	1	3
110	бы в	2	3
111	что и	4	3
112	в творчестве	3	3
113	она не	8	3
114	одном из	1	3
115	его не	2	3
116	толстого в	1	3
117	в которых	1	3
118	в явлении	1	3
119	по поводу	1	3
120	и как	1	3
121	как о	1	3
122	бы не	2	2
123	может не	1	2
124	идеи в	1	2
125	в которой	2	2
126	показывает как	1	2
127	ни одного	2	2
128	им как	1	2
129	но с	2	2
130	а о	1	2
131	же как	3	2
132	в другом	1	2
133	должны быть	4	2
134	конце концов	1	2
135	достоевского и	2	2
136	говорить о	1	2
137	из себя	1	2
138	что нет	3	2
139	отличается от	1	2
140	и для	7	2
141	к этим	1	2
142	в жизни	4	2
143	многие из	1	2
144	анны карениной	2	2
145	не по	1	2
146	говорил что	1	2
147	в сознании	1	2
148	сих пор	3	2
149	органической связи	1	2
150	было в	3	2
151	у пушкина	1	2
152	он в	3	2
153	до сих	3	2
154	которая не	1	2
155	если в	1	2
156	того чтобы	4	2
157	по себе	2	2
158	можно было	2	2
159	а в	2	2
160	что действие	1	2
161	между ними	1	2
162	этот процесс	2	2
163	самого себя	4	2
164	он сам	6	2
165	в образе	3	2
166	ее как	1	2
167	как он	3	2
168	они должны	1	2
169	говорит об	1	2
170	роль в	1	2
171	а для	2	2
172	необходимо и	1	2
173	что ни	1	2
174	у них	4	2
175	хотя и	2	2
176	и весь	1	2
177	на вопрос	1	2
178	которые в	2	2
179	для того	5	2
180	но в	10	2
181	они и	4	2
182	не интересует	1	2
183	тогда когда	2	2
184	что такое	1	2
185	лишь в	2	2
186	в самых	1	2
187	смысле слова	3	2
188	в чем	3	2
189	мира и	1	2
190	но к	1	2
191	образами и	1	2
192	и достоевский	8	2
193	и потому	7	2
194	не быть	1	2
195	можно ли	3	2
196	и быть	1	2
197	о чем	1	2
198	ума и	4	2
199	не о	2	2
200	в каждом	3	2
201	тому как	2	2
202	если бы	3	2
203	не всегда	2	2
204	нет ни	2	2
205	от того	3	2
206	чтобы не	3	2
207	он не	10	2
208	как у	2	2
209	вот это	1	2
210	русских писателей	1	2
211	в своих	3	2
212	также и	4	2
213	подобно тому	2	2
214	всех его	1	2
215	все они	1	2
216	после этого	1	2
217	его художественного	1	2
218	в ней	11	2
219	что она	5	2
220	формы и	1	2
221	он может	1	2
222	от его	2	2
223	они не	4	2
224	или иной	2	2
225	огромную роль	1	2
226	человека в	14	2
227	но для	2	2
228	мысль о	2	2
229	связана с	7	2
230	за его	1	1
231	не означает	2	1
232	лишь те	1	1
233	ни к	1	1
234	с целью	1	1
235	и чисто	1	1
236	на его	2	1
237	по сравнению	1	1
238	процесс может	1	1
239	но она	2	1
240	еще до	1	1
241	можно и	1	1
242	сравнению с	1	1
243	в свои	1	1
244	помыслах и	1	1
245	свобода есть	1	1
246	которой мы	1	1
247	все те	1	1
248	вопрос о	6	1
249	друга каждый	1	1
250	а процесс	1	1
251	входит в	1	1
252	от всех	1	1
253	быть никакого	1	1
254	был готов	1	1
255	во имя	16	1
256	но он	11	1
257	говорит что	2	1
258	человеческой личности	7	1
259	в стороне	1	1
260	достоевского в	2	1
261	этого не	1	1
262	значение и	1	1
263	уже как	1	1
264	в братьях	2	1
265	в более	2	1
266	себе в	2	1
267	значение для	1	1
268	но у	1	1
269	учения о	1	1
270	из сферы	1	1
271	на своем	1	1
272	личности в	2	1
273	для них	1	1
274	этими двумя	1	1
275	представляется не	1	1
276	за жизнь	1	1
277	после того	2	1
278	должна быть	1	1
279	поэтому у	1	1
280	на этом	2	1
281	и все	5	1
282	бы он	1	1
283	есть в	3	1
284	это одна	1	1
285	на то	1	1
286	не раскрывается	1	1
287	на эту	1	1
288	как можно	1	1
289	наконец в	1	1
290	и борьба	1	1
