N	3gram	Berdyaev_M_1	Myshleni
1	в том что	1	31
2	в самом деле	1	6
3	что в основе	1	6
4	можно было бы	1	5
5	для того чтобы	2	5
6	по своему значению	2	3
7	вместе с тем	5	3
8	между тем как	1	3
9	в себе и	1	3
10	с тем что	3	3
11	по сравнению с	1	3
12	во всяком случае	1	3
13	о том что	1	3
14	ключ к пониманию	1	2
15	не может не	2	2
16	в отличие от	1	2
17	но и в	4	2
18	не знает что	1	2
19	в высшей степени	2	2
20	должно привести к	2	2
21	не могут быть	2	2
22	все более и	1	2
23	между этими двумя	1	2
24	это значит что	3	2
25	более и более	1	2
26	в вопросе о	1	2
27	в том смысле	2	2
28	на том что	1	1
29	что иное как	1	1
30	потому что в	3	1
31	прежде всего в	2	1
32	как бы не	1	1
33	по прямой линии	1	1
34	есть прежде всего	1	1
35	сплошь и рядом	1	1
36	том случае если	1	1
37	в зависимости от	1	1
38	что он не	2	1
39	и та же	1	1
40	в момент когда	1	1
41	до сих пор	2	1
42	заключает в себе	3	1
43	по сравнению со	1	1
44	начинает с того	1	1
45	в том случае	1	1
46	его личности и	1	1
47	то время как	2	1
48	в мышлении и	1	1
49	имел в виду	1	1
50	не только те	1	1
51	не только в	2	1
52	в конце концов	2	1
53	обычной точки зрения	1	1
54	его не только	1	1
55	так как они	1	1
56	друг к другу	1	1
57	одна и та	1	1
58	как бы в	1	1
59	когда мы говорим	1	1
60	не может быть	17	1
61	что они не	1	1
62	в то время	2	1
63	нельзя было бы	1	1
64	по отношению к	2	1
65	тем что в	1	1
66	том смысле что	1	1
67	к которому он	1	1
68	и ту же	1	1
69	может быть так	1	1
70	не что иное	1	1
71	одну и ту	1	1
72	или лучше сказать	1	1
73	что и в	1	1
74	но и с	1	1
75	мы увидим что	3	1
