N	2gram	Vygotskiy__7	Retstnzi
1	не может	11	4
2	и в	26	3
3	в центре	1	2
4	один из	2	2
5	если в	4	2
6	нет и	3	1
7	деятельности в	2	1
8	лежащие в	1	1
9	и не	18	1
10	тому что	9	1
11	вещей и	1	1
12	не только	24	1
13	связи с	4	1
14	от связи	1	1
15	себя от	2	1
16	точки зрения	28	1
17	во второй	5	1
18	языка как	1	1
19	но и	11	1
20	и должно	1	1
21	не менее	4	1
22	с другими	3	1
23	по своим	2	1
24	в лингвистике	1	1
25	в ней	3	1
26	может и	2	1
27	с теми	1	1
28	на месте	1	1
29	в то	3	1
30	с точки	21	1
31	от общей	1	1
32	истории но	1	1
33	это направление	1	1
34	для него	3	1
35	мы видим	3	1
36	и больше	2	1
37	в анализе	1	1
38	ситуации и	2	1
39	в выборе	1	1
40	к тому	7	1
41	речь и	5	1
42	а не	6	1
43	его от	2	1
44	может быть	7	1
45	при анализе	1	1
46	несмотря на	2	1
47	в его	4	1
48	то же	8	1
49	и все	1	1
50	из этих	3	1
51	если бы	5	1
52	исходя из	1	1
53	бы в	5	1
