N	3gram	Tiupa_Anal_1	slovoVRo
1	и т п	3	23
2	то же время	6	12
3	в то же	8	12
4	в той или	3	9
5	той или иной	6	9
6	с точки зрения	4	8
7	во всяком случае	1	5
8	с одной стороны	3	4
9	с другой стороны	2	4
10	большей или меньшей	4	4
11	но в то	2	4
12	в зависимости от	1	3
13	в данном случае	2	3
14	в большей или	1	3
15	или меньшей степени	1	3
16	более или менее	1	3
17	выходит за пределы	1	3
18	и в сущности	1	2
19	в широком смысле	2	2
20	а вовсе не	1	2
21	в том и	2	2
22	до сих пор	1	2
23	и не может	4	2
24	своего предмета и	1	2
25	одно и то	1	2
26	в первом случае	2	2
27	дело не с	1	2
28	не только в	1	2
29	и то же	1	2
30	в известном смысле	1	2
31	не могут быть	2	2
32	того или иного	3	2
33	в свою очередь	1	2
34	или во всяком	1	2
35	к тому что	1	2
36	друг с другом	1	2
37	не исключают друг	1	1
38	а не к	1	1
39	да и в	1	1
40	в виду не	1	1
41	одной и той	1	1
42	исключают друг друга	1	1
43	прежде всего в	1	1
44	бы ни был	1	1
45	и той же	1	1
46	как бы не	1	1
47	имеем в виду	1	1
48	он может быть	1	1
49	же время он	1	1
50	и не в	4	1
51	то или иное	1	1
52	в отличие от	6	1
53	может иметь место	1	1
54	бы то ни	3	1
55	лишь одним из	1	1
56	но и в	2	1
57	с ним в	1	1
58	на самом же	1	1
59	в этом отношении	2	1
60	по аналогии с	1	1
61	в последние десятилетия	1	1
62	во всех своих	1	1
63	нет ничего что	1	1
64	в противном случае	1	1
65	с этой точки	1	1
66	по крайней мере	1	1
67	то есть без	1	1
68	и в частности	1	1
69	в новом свете	1	1
70	то есть его	1	1
71	то ни было	3	1
72	мы имеем в	1	1
73	не столько в	1	1
74	всего произведения как	1	1
75	одни и те	1	1
76	бы оно ни	1	1
77	могла бы быть	1	1
78	не может быть	16	1
79	в свое время	2	1
80	о том что	3	1
81	оно ни было	1	1
82	на фоне которых	1	1
83	равно как и	1	1
84	этой точки зрения	1	1
85	никогда не бывает	1	1
86	от автора и	1	1
87	и те же	1	1
88	включает в себя	1	1
89	и не могут	1	1
90	и вследствие этого	1	1
91	себя в них	1	1
92	автором и его	1	1
93	тех или иных	2	1
94	самом же деле	1	1
95	для того чтобы	3	1
96	в том что	9	1
97	как и в	1	1
98	таким образом с	1	1
