N	3gram	Vinokur_St_1	Sovremen
1	с точки зрения	8	5
2	каждом отдельном случае	1	5
3	в каждом отдельном	1	5
4	в зависимости от	1	4
5	не может быть	5	4
6	не может не	1	3
7	что же это	1	3
8	тем не менее	2	2
9	во всяком случае	6	2
10	каждого из них	2	2
11	же это за	1	2
12	может быть и	2	2
13	в настоящее время	1	2
14	из них это	1	1
15	же мере в	1	1
16	в том как	3	1
17	быть и речи	1	1
18	и в этом	3	1
19	и не было	1	1
20	по крайней мере	2	1
21	как видит читатель	1	1
22	всяком случае не	1	1
23	в которой он	1	1
24	во многом не	1	1
25	не в том	2	1
26	наук может быть	1	1
27	дело в том	4	1
28	по отношению к	3	1
29	на самом деле	6	1
30	как и во	1	1
31	но ведь это	1	1
32	в этом смысле	1	1
33	так же как	3	1
34	в свое время	2	1
35	в этом случае	2	1
36	до сих пор	7	1
37	то же время	4	1
38	и в то	1	1
39	представление о том	1	1
40	сами по себе	1	1
41	бы то ни	1	1
42	а может быть	1	1
43	не давая себе	1	1
44	ведь это не	1	1
45	и по его	1	1
46	прежде всего необходимо	1	1
47	ни о каком	1	1
48	но все эти	1	1
49	можно было бы	8	1
50	и не может	1	1
51	в самом деле	5	1
52	той или иной	1	1
53	но все же	3	1
54	мы говорим о	1	1
55	только и могут	1	1
56	в том случае	1	1
57	в то же	4	1
58	и могут быть	1	1
59	из этих двух	2	1
60	те или иные	1	1
61	со всеми его	1	1
62	в том что	17	1
63	и во всей	1	1
64	в этой области	5	1
65	в данном случае	6	1
66	на этот вопрос	1	1
67	может не быть	1	1
68	в обоих случаях	1	1
69	ясно что при	1	1
70	с одной стороны	2	1
71	именно в том	1	1
72	на этот раз	2	1
73	тот факт что	1	1
