N	3gram	Tiupa_Disk_2	NovoeSre
1	не может быть	3	4
2	подобно тому как	2	3
3	в наше время	2	3
4	лицом к лицу	1	3
5	равно как и	1	2
6	с одной стороны	4	2
7	с другой стороны	1	2
8	по своей природе	1	1
9	и того же	2	1
10	такой же мере	1	1
11	для этого она	1	1
12	мира то что	1	1
13	одного и того	2	1
14	в том числе	1	1
15	не имеют никакого	1	1
16	и не может	2	1
17	в отличие от	12	1
18	тому как в	1	1
19	том числе и	1	1
20	заключает в себе	2	1
21	обращение к богу	1	1
22	и в большинстве	1	1
23	как будто бы	1	1
24	не могут быть	1	1
25	по природе своей	2	1
26	к одному из	1	1
27	в такой же	1	1
28	не в том	1	1
29	во всяком случае	1	1
30	не должно быть	1	1
31	о том что	3	1
32	ни в чем	1	1
33	то что в	1	1
34	в значительной степени	1	1
35	но для этого	1	1
36	в переходе от	1	1
37	та или иная	1	1
38	жизни с его	1	1
39	в большинстве случаев	1	1
40	в том что	6	1
41	как и в	5	1
