N	3gram	Bakhtin_Fr_1	Problema
1	для того чтобы	1	8
2	как раз и	2	7
3	то что мы	1	6
4	в том что	6	5
5	на самом деле	2	4
6	литературы и искусства	3	4
7	и вовсе не	2	4
8	в связи с	1	4
9	в литературе и	1	4
10	то есть в	4	4
11	той или иной	5	4
12	в то же	1	4
13	дело в том	2	3
14	с точки зрения	3	3
15	до сих пор	4	3
16	и в других	2	3
17	сами по себе	1	3
18	во всяком случае	1	3
19	можно сказать что	1	3
20	в настоящее время	1	3
21	с другой стороны	1	3
22	вовсе не является	2	3
23	в нем только	3	2
24	то есть по	1	2
25	в самом деле	1	2
26	мы вовсе не	1	2
27	это вовсе не	1	2
28	так как он	1	2
29	тех или иных	1	2
30	во всех этих	2	2
31	никогда не может	1	2
32	не может быть	1	2
33	есть еще и	1	2
34	не потому что	1	2
35	и в искусстве	1	2
36	и может быть	1	1
37	а между тем	1	1
38	но как раз	1	1
39	чтобы они стали	1	1
40	сводится к тому	1	1
41	в чем же	1	1
42	и пр но	1	1
43	нет в его	1	1
44	мы уже сказали	3	1
45	и даже больше	1	1
46	на первый план	1	1
47	в дальнейшем мы	1	1
48	во всей своей	1	1
49	до известной степени	1	1
50	на самом же	3	1
51	в этом отношении	3	1
52	и не подозревает	1	1
53	в основе своей	2	1
54	от нас и	1	1
55	до наших дней	1	1
56	только в самом	1	1
57	то или иное	1	1
58	из них не	1	1
59	то что было	1	1
60	в это время	2	1
61	как раз в	1	1
62	все это в	1	1
63	в самом начале	1	1
64	можно даже сказать	1	1
65	и в них	1	1
66	один из них	1	1
67	но в то	1	1
68	не только в	1	1
69	так и в	2	1
70	в известном смысле	1	1
71	о которой мы	1	1
72	и ничего не	1	1
73	при этом что	1	1
74	литературе и в	2	1
75	в нем всегда	1	1
76	ни на что	1	1
77	говорили выше в	1	1
78	не могут быть	1	1
79	мы говорили уже	1	1
80	до настоящего времени	1	1
81	в его целом	1	1
82	все подобного рода	1	1
83	и в том	2	1
84	обеднена и в	1	1
85	не чем иным	1	1
86	в известной мере	3	1
87	имеет огромное значение	1	1
88	в какой-то мере	1	1
89	чем иным как	1	1
90	моменты его жизни	1	1
91	его от всех	1	1
92	даже и в	3	1
93	и отказывается от	1	1
94	искусства и литературы	4	1
95	между тем и	1	1
96	выходит за пределы	3	1
97	но еще и	1	1
98	и в литературе	2	1
99	о чем мы	1	1
100	как мы уже	5	1
101	это не просто	1	1
102	мы встречаемся с	1	1
103	и ни на	2	1
104	мы уже указывали	1	1
105	кроме того он	1	1
106	ни для кого	1	1
107	самом же деле	3	1
108	уже вовсе не	1	1
109	к тому же	1	1
110	между прочим в	1	1
111	во время этого	1	1
