N	3gram	Bakhtin_Pr_1	Komedia
1	в том что	3	5
2	для того чтобы	2	4
3	по отношению к	19	3
4	в связи с	1	3
5	то же время	3	3
6	в то время	1	3
7	в то же	3	3
8	не говоря уже	1	2
9	в этом смысле	3	2
10	до сих пор	1	2
11	говоря уже о	1	2
12	в отличие от	5	2
13	бы то ни	3	2
14	то время как	1	2
15	то ни было	2	2
16	с одной стороны	3	2
17	в нем не	1	2
18	и т п	13	2
19	к тому что	1	2
20	можно было бы	3	2
21	имеется в виду	1	1
22	в какой мере	2	1
23	ни в один	1	1
24	мы имеем дело	2	1
25	в самом деле	3	1
26	в том же	2	1
27	с точки зрения	6	1
28	на первый план	2	1
29	и во всех	2	1
30	и в то	2	1
31	большинстве случаев не	2	1
32	и в современной	1	1
33	но и в	2	1
34	то что в	1	1
35	и не менее	1	1
36	его помощью и	1	1
37	той или иной	2	1
38	не в его	1	1
39	в первом случае	1	1
40	и определяет все	1	1
41	по сравнению с	1	1
42	имеем дело с	1	1
43	с другой стороны	4	1
44	таким образом и	1	1
45	и в том	1	1
46	не может быть	11	1
47	в своем роде	1	1
48	не было бы	1	1
49	того или иного	2	1
50	его жизненную позицию	1	1
51	и в свою	1	1
52	на фоне которых	1	1
53	в тех же	1	1
54	так и в	2	1
55	в свою очередь	1	1
56	на протяжении всего	1	1
57	то что не	1	1
58	не обходится без	1	1
59	мы можем сказать	2	1
60	хотя бы в	1	1
61	и в самом	1	1
62	не только в	2	1
63	в большинстве случаев	5	1
64	тем не менее	3	1
65	и не столь	1	1
66	к выводу что	1	1
67	можем сказать что	1	1
