N	3gram	Tiupa_Anal_1	Tragedij
1	то же время	6	5
2	в то же	8	5
3	в отличие от	6	2
4	и в частности	1	2
5	в данном случае	2	2
6	но в то	2	2
7	и как бы	1	2
8	о том что	3	2
9	и в самом	1	2
10	в том что	9	2
11	как и его	1	1
12	и сам автор	1	1
13	том что он	2	1
14	же время он	1	1
15	и не может	4	1
16	сам по себе	1	1
17	в той же	1	1
18	и т п	3	1
19	может быть понят	1	1
20	в этой связи	1	1
21	в виду не	1	1
22	во всяком случае	1	1
23	смысле этого слова	1	1
24	в xx веке	1	1
25	и должно быть	1	1
26	и при этом	1	1
27	не могут быть	2	1
28	по природе своей	2	1
29	все же не	1	1
30	в связи с	1	1
31	не может быть	16	1
32	на вопрос о	1	1
33	и все же	2	1
34	и вместе с	1	1
35	еще в году	1	1
36	мысль о том	1	1
37	в самом деле	2	1
38	к тому что	1	1
39	ведет к тому	1	1
40	как и в	1	1
