N	2gram	Bakhtin_Fr_5	PoTuStor
1	может быть	2	17
2	и в	45	16
3	и пр	1	12
4	в этом	14	9
5	таким образом	8	9
6	и только	2	9
7	мы можем	2	9
8	прежде всего	10	9
9	и с	10	8
10	точки зрения	4	8
11	и его	13	8
12	не может	5	8
13	с его	7	7
14	не только	14	7
15	сказать что	4	7
16	самом деле	5	6
17	конечно не	2	6
18	при этом	2	6
19	с точки	2	6
20	и это	4	6
21	для него	3	6
22	и к	5	6
23	еще не	1	5
24	в чем	2	5
25	все эти	5	5
26	только для	2	5
27	ни в	3	5
28	нуждается в	3	5
29	ту сторону	1	5
30	как бы	12	5
31	на самом	5	4
32	и ее	1	4
33	и на	5	4
34	и наконец	2	4
35	но в	14	4
36	в этой	6	4
37	в нем	10	4
38	его в	5	4
39	мысли и	6	4
40	все это	7	4
41	по ту	1	4
42	как мы	8	4
43	с ее	5	4
44	так и	6	4
45	но мы	2	4
46	можно сказать	2	4
47	в его	13	4
48	а потому	1	4
49	с ними	1	4
50	только в	4	4
51	для всех	3	4
52	и их	5	4
53	так как	6	4
54	и даже	4	4
55	но и	10	4
56	и не	15	4
57	и все	7	4
58	хотя бы	2	4
59	во всех	13	3
60	в общем	4	3
61	и есть	2	3
62	и как	5	3
63	и вот	3	3
64	их в	1	3
65	на этом	5	3
66	на этой	1	3
67	том что	7	3
68	во время	12	3
69	сих пор	3	3
70	в одном	3	3
71	и притом	2	3
72	в основе	4	3
73	до сих	3	3
74	чем не	2	3
75	те же	1	3
76	мира и	8	3
77	в конечном	1	3
78	и она	2	3
79	в том	10	3
80	в большинстве	2	3
81	большинстве случаев	2	3
82	мы знаем	1	3
83	в области	1	3
84	и др	8	3
85	но оно	1	3
86	вместе с	3	3
87	и потому	1	3
88	как это	4	3
89	что в	12	3
90	а в	4	3
91	то что	2	3
92	между ними	1	3
93	жизни и	8	3
94	во всяком	1	3
95	ту же	2	2
96	же как	4	2
97	в самом	4	2
98	и этот	1	2
99	мы уже	4	2
100	мы не	4	2
101	и о	4	2
102	говорить о	2	2
103	эта первая	1	2
104	того же	3	2
105	из этих	3	2
106	но как	1	2
107	конечном счете	1	2
108	нет и	2	2
109	за пределы	1	2
110	с этим	4	2
111	в этот	2	2
112	что это	2	2
113	и через	1	2
114	последующей жизни	1	2
115	вообще не	3	2
116	он не	6	2
117	момента в	1	2
118	и по	1	2
119	то же	11	2
120	по своему	4	2
121	связанные с	3	2
122	связанных с	3	2
123	на протяжении	1	2
124	и мы	1	2
125	было бы	2	2
126	в жизни	1	2
127	по всему	1	2
128	в них	6	2
129	как и	10	2
130	между собою	4	2
131	потому и	1	2
132	в своей	3	2
133	почти не	2	2
134	находится на	1	2
135	и вся	1	2
136	не менее	3	2
137	его целом	1	2
138	не нуждается	2	2
139	всей их	1	2
140	чрезвычайно характерно	1	2
141	никогда не	1	2
142	сущность его	1	2
143	здесь же	3	2
144	что на	3	2
145	все то	1	2
146	не могут	2	2
147	не будет	1	2
148	в пределах	2	2
149	для этого	1	2
150	и вообще	2	2
151	с ним	5	2
152	находится в	1	2
153	о том	4	2
154	другими словами	1	2
155	что и	7	2
156	во всей	1	2
157	один из	2	2
158	образов и	4	2
159	мы видим	5	2
160	что он	6	2
161	поэтому и	3	2
162	со всеми	5	2
163	есть в	3	2
164	не можем	1	2
165	если мы	2	2
166	в начале	2	2
167	за счет	1	2
168	на этих	1	2
169	в душе	1	2
170	для меня	1	2
171	к ним	1	2
172	при всей	1	2
173	у него	4	2
174	и т.п	16	2
175	характерно для	3	2
176	себя и	2	2
177	что не	1	2
178	смерти но	1	2
179	в одно	2	2
180	мир для	1	2
181	с помощью	3	2
182	в частности	1	2
183	так же	8	2
184	в свое	1	2
185	с историей	1	2
186	своей жизни	2	2
187	но это	5	2
188	и таким	1	2
189	и для	3	2
190	и образы	5	2
191	не существует	1	2
192	но зато	1	2
193	все остальные	1	2
194	не знает	1	2
195	есть и	5	2
196	ее в	1	2
197	к этому	2	2
198	можно назвать	1	2
199	они не	1	2
200	с новыми	1	1
201	но вернемся	2	1
202	вырастает из	1	1
203	мы здесь	1	1
204	он может	1	1
205	это и	5	1
206	далее и	1	1
207	не имеют	1	1
208	случае нельзя	1	1
209	века в	3	1
210	собою в	1	1
211	в году	3	1
212	его не	4	1
213	всей ее	1	1
214	полагает что	1	1
215	совершенно так	2	1
216	нам в	1	1
217	всего сказанного	2	1
218	как я	1	1
219	конечно и	2	1
220	не совсем	1	1
221	целого в	1	1
222	в ней	8	1
223	от серьезности	1	1
224	он был	7	1
225	иное как	1	1
226	столь же	1	1
227	но не	4	1
228	не абстрактный	1	1
229	коем случае	1	1
230	же на	1	1
231	значение и	2	1
232	менее всего	3	1
233	вступают в	2	1
234	право на	10	1
235	что они	1	1
236	отношении оно	1	1
237	это самое	1	1
238	в течение	3	1
239	в рамках	1	1
240	в особом	1	1
241	общего с	1	1
242	некоторое время	1	1
243	все же	2	1
244	находящиеся в	1	1
245	последующую жизнь	1	1
246	хотя и	5	1
247	когда он	2	1
248	что по	1	1
249	этой цели	1	1
250	от этого	2	1
251	та же	1	1
252	точку зрения	2	1
253	как он	3	1
254	самым существенным	1	1
255	человек не	1	1
256	на его	1	1
257	и положительный	1	1
258	что она	3	1
259	время и	1	1
260	освобождение от	4	1
261	но именно	2	1
262	врача и	2	1
263	и связанные	2	1
264	но вместе	1	1
265	из него	1	1
266	мы говорили	2	1
267	находит себе	1	1
268	последнее слово	1	1
269	человека в	1	1
270	по его	1	1
271	для всей	1	1
272	как они	3	1
273	этом нет	1	1
274	в мире	1	1
275	конечно в	2	1
276	той же	4	1
277	момент и	1	1
278	на все	2	1
279	всех областях	1	1
280	лишь в	2	1
281	это было	4	1
282	сказанного нами	2	1
283	форму и	1	1
284	мы сказали	1	1
285	весь мир	6	1
286	которая была	1	1
287	для них	2	1
288	были в	1	1
289	он действительно	1	1
290	с тем	2	1
291	одна и	1	1
292	несмотря на	2	1
293	все моменты	1	1
294	жизни но	1	1
295	и разложения	1	1
296	мир в	1	1
297	значение как	1	1
298	и того	1	1
299	смысл и	1	1
300	их на	1	1
301	одного и	1	1
302	и еще	1	1
303	с подобными	1	1
304	и материальным	1	1
305	никакому сомнению	1	1
306	ним может	1	1
307	что я	1	1
308	страх и	1	1
309	но эта	2	1
310	не будем	2	1
311	которые в	1	1
312	страха и	5	1
313	есть еще	1	1
314	на всю	1	1
315	любовь к	1	1
316	вернемся к	4	1
317	в атмосфере	6	1
318	а иногда	1	1
319	в эпоху	7	1
320	тогда когда	1	1
321	дело в	3	1
322	одна из	1	1
323	в сущности	4	1
324	смерти которая	1	1
325	мы отметили	1	1
326	насквозь и	1	1
327	что иное	1	1
328	того чтобы	6	1
329	для всего	1	1
330	разобранный нами	1	1
331	не имеет	3	1
332	вообще нет	1	1
333	и всегда	1	1
334	в коем	1	1
335	ничего не	4	1
336	золотого века	1	1
337	этих двух	1	1
338	очень мало	1	1
339	мире и	1	1
340	к этим	1	1
341	связи с	6	1
342	уже и	2	1
343	тела и	3	1
344	и социального	1	1
345	с другом	2	1
346	и со	1	1
347	от того	3	1
348	в духе	2	1
349	их лежит	1	1
350	и такие	1	1
351	же самое	2	1
352	к тому	2	1
353	бы он	1	1
354	той или	1	1
355	для его	1	1
356	социальные и	1	1
357	что при	1	1
358	ничего общего	1	1
359	году в	1	1
360	мы отвлечемся	1	1
361	ни одно	1	1
362	говорит и	2	1
363	без всякого	1	1
364	на другой	1	1
365	данном случае	2	1
366	характер и	1	1
367	он определяет	1	1
368	в себя	5	1
369	говорили что	2	1
370	так было	1	1
371	приводит к	1	1
372	роль в	2	1
373	и что	2	1
374	ее жизнь	1	1
375	превратить в	1	1
376	и сам	1	1
377	в другом	3	1
378	можно было	4	1
379	времени и	1	1
380	отсюда и	1	1
381	еще в	2	1
382	это только	1	1
383	если бы	1	1
384	его времени	1	1
385	остановимся на	1	1
386	связанная с	2	1
387	о нем	1	1
388	раз того	1	1
389	часто и	1	1
390	и здесь	4	1
391	году и	1	1
392	и т.д	2	1
393	но к	1	1
394	характер этого	1	1
395	на вопрос	1	1
396	и та	2	1
397	вражда к	1	1
398	говорит об	1	1
399	как ее	2	1
400	не позволяет	1	1
401	значение имеют	1	1
402	нас в	2	1
403	теле и	1	1
404	аналогичны по	1	1
405	этого своеобразного	1	1
406	этот момент	3	1
407	борьба с	2	1
408	с нами	1	1
409	никаких сомнений	1	1
410	которые сделали	1	1
411	и содержания	1	1
412	нельзя сказать	1	1
413	и можно	1	1
414	наконец в	1	1
415	в свете	2	1
416	и были	1	1
417	хорошо известны	1	1
418	к нему	2	1
419	и история	1	1
420	этом моменте	1	1
421	конечно никакому	1	1
422	охарактеризованной нами	1	1
423	тот же	1	1
424	на своей	1	1
425	и жизни	2	1
426	делает его	2	1
427	в качестве	2	1
428	себя в	1	1
429	образов в	10	1
430	разыгрывается в	2	1
431	оказывается в	1	1
432	утверждают что	2	1
433	и они	1	1
434	не дает	1	1
435	его и	1	1
436	ведь это	2	1
437	в известной	2	1
438	в конце	7	1
439	вовсе не	8	1
440	таковы основные	3	1
441	с этими	1	1
442	не случайно	1	1
443	случае не	1	1
444	заметить что	2	1
445	как раз	5	1
446	время говорит	1	1
447	этом отношении	5	1
448	для того	6	1
449	до мельчайших	1	1
450	во власти	1	1
451	со всем	1	1
452	без всякой	1	1
453	или иной	1	1
454	и тех	1	1
455	здесь в	4	1
456	являются только	1	1
457	и прежде	3	1
458	в свою	1	1
459	и быть	1	1
460	мы еще	2	1
461	что для	1	1
462	говорит о	1	1
463	связано с	1	1
464	нужно искать	1	1
465	у нас	1	1
466	на этот	3	1
467	а не	4	1
468	власти и	1	1
469	в комнате	1	1
470	чем на	2	1
471	для человека	1	1
472	все последующие	1	1
473	у порога	1	1
474	в связи	5	1
475	и законы	1	1
476	как живое	1	1
477	связь с	3	1
478	этой же	1	1
479	утверждение что	1	1
480	подлежит конечно	1	1
481	но особенно	1	1
482	этот мотив	1	1
483	в данном	2	1
484	и оценок	1	1
485	наконец и	1	1
486	нового мира	1	1
487	друг с	2	1
488	в человеческом	1	1
489	и органически	1	1
490	дальше ее	1	1
491	сейчас же	1	1
492	несколько слов	2	1
493	о его	1	1
494	точно и	1	1
495	находится во	1	1
496	которые были	1	1
497	отец этот	1	1
498	под названием	2	1
499	в более	1	1
500	и враждебно	1	1
501	это уже	1	1
502	известной степени	4	1
503	пор еще	2	1
504	формы и	1	1
505	не подлежит	2	1
506	и другими	1	1
507	которой можно	2	1
508	которая в	1	1
509	в эту	2	1
510	еще более	1	1
511	и ни	3	1
512	на других	1	1
513	на языке	1	1
514	на такой	1	1
515	основе их	1	1
516	всеми его	2	1
517	по поводу	4	1
518	здесь только	2	1
519	жизни в	2	1
520	и начинается	1	1
521	в период	2	1
522	чрезвычайно характерная	1	1
523	он владеет	1	1
524	образы не	1	1
525	от всех	5	1
526	все люди	1	1
527	метафоры и	1	1
528	по которой	1	1
529	не что	1	1
530	ко всему	2	1
531	на своем	1	1
532	на свет	1	1
533	именно здесь	1	1
534	и эта	1	1
535	это в	2	1
536	как на	4	1
