N	4gram	Losev_Prob_2	VeschiIm
1	бы то ни было	1	9
2	не что иное как	3	8
3	есть не что иное	3	5
4	значит ли это что	1	3
5	и в то же	1	3
6	можно ли сказать что	2	3
7	заключается в том что	2	2
8	то это значит что	2	2
9	то что не есть	1	2
10	можно сказать даже больше	1	1
11	свидетельствует о том что	1	1
12	с одной стороны и	3	1
13	также и то что	2	1
14	в этом смысле и	1	1
15	с самого же начала	1	1
16	на то или другое	1	1
17	ни в каком случае	3	1
18	да и то это	1	1
19	что бы то ни	1	1
20	есть то что не	1	1
21	только один из моментов	1	1
22	по самому своему смыслу	2	1
23	или по крайней мере	3	1
24	относится к смысловой сфере	1	1
25	и с другой стороны	1	1
26	никак нельзя сказать что	1	1
27	не есть ни просто	1	1
28	это значит не только	1	1
29	не может быть никакого	1	1
30	уж тем более не	1	1
31	до сих пор мы	1	1
32	ни о чем не	1	1
33	одной стороны и с	1	1
34	взятая сама по себе	2	1
35	а тем не менее	2	1
36	содержит в себе в	1	1
37	пусть хотя бы и	1	1
38	и тем не менее	1	1
39	какой бы то ни	1	1
40	не только понятие но	1	1
41	и следовательно вообще не	1	1
42	тоже никуда не годится	1	1
43	о том о чем	1	1
44	в то время как	1	1
45	но раз уж мы	1	1
46	и уж тем более	5	1
