N	2gram	Tiupa_Vved_1	EvropaiC
1	таким образом	4	32
2	в том	10	31
3	и в	13	24
4	том что	7	20
5	все эти	1	19
6	не может	7	18
7	то что	6	17
8	может быть	18	15
9	все же	6	15
10	точки зрения	1	13
11	самом деле	3	12
12	в своем	5	12
13	в этом	21	12
14	между тем	1	11
15	все это	1	11
16	во всех	2	10
17	по отношению	7	10
18	так и	8	10
19	как бы	4	10
20	отношению к	7	10
21	культуры в	1	10
22	все что	3	10
23	того же	1	9
24	на то	1	9
25	при этом	26	9
26	как и	11	9
27	в результате	3	9
28	что в	3	9
29	в самом	2	8
30	не в	6	8
31	если бы	7	8
32	так же	1	8
33	и все	4	8
34	на самом	4	7
35	из этих	3	7
36	в силу	2	7
37	о которых	1	7
38	или менее	2	7
39	не менее	4	7
40	того чтобы	1	7
41	по своей	3	7
42	к тому	6	7
43	о том	5	7
44	и что	1	7
45	что он	1	7
46	но и	19	7
47	и не	12	7
48	более или	2	7
49	о котором	2	7
50	из этого	1	7
51	должна быть	2	6
52	в каждый	1	6
53	начало и	2	6
54	еще не	7	6
55	и на	3	6
56	тогда как	10	6
57	что касается	5	6
58	в этой	1	6
59	в мире	8	6
60	в сознании	4	6
61	несмотря на	1	6
62	от друга	1	6
63	с ним	3	6
64	что и	2	6
65	народов и	1	6
66	того что	6	6
67	только в	6	6
68	все они	2	6
69	так что	1	6
70	мы можем	2	6
71	друг от	1	6
72	с другой	5	6
73	вместе с	1	6
74	у них	1	6
75	между двумя	3	5
76	из всех	1	5
77	столь же	1	5
78	как к	1	5
79	и к	2	5
80	но в	6	5
81	что это	1	5
82	в целом	3	5
83	в себе	5	5
84	тому же	4	5
85	не только	20	5
86	и если	1	5
87	что все	1	5
88	и с	2	5
89	лишь в	2	5
90	в то	4	5
91	как будто	4	5
92	в его	4	5
93	большею частью	1	5
94	потому что	5	5
95	и их	1	5
96	у него	1	5
97	далеко не	4	5
98	другой стороны	2	5
99	по своему	2	5
100	быть и	2	5
101	и для	3	5
102	и от	2	5
103	к этому	2	5
104	одним из	5	4
105	то же	5	4
106	та же	1	4
107	из того	1	4
108	между собой	2	4
109	отношение к	2	4
110	хотя и	7	4
111	он не	3	4
112	всех этих	1	4
113	из них	1	4
114	иначе говоря	6	4
115	и конец	2	4
116	в их	1	4
117	тем не	3	4
118	том же	1	4
119	из которых	1	4
120	связи с	1	4
121	никогда не	4	4
122	и т.д	5	4
123	и у	1	4
124	если мы	1	4
125	в виде	1	4
126	не так	1	4
127	в конце	1	4
128	в области	3	4
129	а с	2	4
130	которых мы	1	4
131	его собственной	1	4
132	как сказано	1	4
133	в течение	1	4
134	этом случае	1	4
135	мы должны	1	4
136	хотя бы	1	4
137	в таком	1	4
138	как известно	1	3
139	не вполне	3	3
140	в данном	13	3
141	которые не	1	3
142	в истории	1	3
143	целый ряд	2	3
144	и наконец	2	3
145	в нашем	6	3
146	к которой	1	3
147	в нем	5	3
148	и по	3	3
149	в совершенно	1	3
150	это не	6	3
151	в жизни	4	3
152	с тем	1	3
153	и того	2	3
154	одного и	1	3
155	в этих	3	3
156	даже в	1	3
157	для нас	2	3
158	в разных	1	3
159	во всем	1	3
160	а лишь	2	3
161	у нас	1	3
162	как для	2	3
163	данном случае	6	3
164	с одной	5	3
165	то они	1	3
166	настоящее время	1	3
167	тот же	1	3
168	очень много	1	3
169	в начале	3	3
170	может служить	4	3
171	каждый из	1	3
172	отличие от	2	3
173	как у	1	3
174	или иначе	2	3
175	прежде всего	7	3
176	же не	1	3
177	в связи	1	3
178	и потому	1	3
179	не подлежит	1	3
180	в настоящее	1	3
181	бы в	3	3
182	только что	1	3
183	а в	6	3
184	что мы	2	3
185	можно назвать	1	3
186	которого в	1	2
187	тех же	1	2
188	от своей	1	2
189	в котором	8	2
190	и до	1	2
191	со своей	1	2
192	также и	4	2
193	и состоит	1	2
194	в сущности	1	2
195	с ее	1	2
196	и ее	1	2
197	мы и	2	2
198	в ней	4	2
199	свою очередь	4	2
200	двух или	3	2
201	от себя	1	2
202	во всяком	1	2
203	но как	1	2
204	в сторону	1	2
205	что они	1	2
206	из таких	1	2
207	есть в	2	2
208	усматривает в	1	2
209	то в	1	2
210	но на	2	2
211	вследствие этого	3	2
212	что она	1	2
213	не следует	3	2
214	о которой	2	2
215	том чтобы	2	2
216	из него	1	2
