N	2gram	Berdyaev_O_1	PoTuStor
1	может быть	11	17
2	и в	19	16
3	и пр	1	12
4	в этом	12	9
5	прежде всего	9	9
6	и с	2	8
7	и его	4	8
8	не может	4	8
9	совершенно не	1	8
10	с его	4	7
11	не только	11	7
12	сказать что	2	7
13	самом деле	1	6
14	и это	1	6
15	для него	5	6
16	и к	2	6
17	еще не	3	5
18	отношение к	5	5
19	все эти	4	5
20	нуждается в	1	5
21	как бы	3	5
22	на самом	1	4
23	и ее	3	4
24	и на	2	4
25	но в	2	4
26	в этой	5	4
27	в нем	10	4
28	его в	2	4
29	жизни человека	1	4
30	художественного творчества	1	4
31	мысли и	3	4
32	все это	6	4
33	так и	2	4
34	в его	7	4
35	а потому	1	4
36	с ними	1	4
37	так как	2	4
38	и даже	1	4
39	но и	13	4
40	все позволено	1	4
41	и не	13	4
42	и все	10	4
43	хотя бы	3	4
44	все что	3	4
45	отношения к	1	3
46	и есть	3	3
47	и как	1	3
48	учение о	2	3
49	с их	1	3
50	чувств и	1	3
51	и вот	3	3
52	том что	2	3
53	в одном	1	3
54	по сравнению	1	3
55	в том	5	3
56	всяком случае	1	3
57	но оно	1	3
58	и потому	2	3
59	как это	1	3
60	сравнению с	1	3
61	могут быть	3	3
62	что в	4	3
63	в этих	3	3
64	а в	5	3
65	то что	5	3
66	жизни и	1	3
67	во всяком	1	3
68	ту же	1	2
69	нем нет	3	2
70	в самом	5	2
71	мы не	1	2
72	и о	2	2
73	совсем не	2	2
74	и ницше	1	2
75	в этот	2	2
76	что это	1	2
77	и через	1	2
78	он не	7	2
79	в глубину	2	2
80	было бы	3	2
81	в жизни	1	2
82	кажется что	1	2
83	в них	1	2
84	всю жизнь	1	2
85	как и	6	2
86	в своей	2	2
87	все и	1	2
88	в науке	1	2
89	никогда не	9	2
90	только и	4	2
91	на два	1	2
92	и лишь	1	2
93	не могут	3	2
94	и всех	1	2
95	и этим	2	2
96	быть может	3	2
97	с ним	3	2
98	находится в	1	2
99	о том	3	2
100	что и	2	2
101	один из	1	2
102	что он	3	2
103	и действительно	1	2
104	со всеми	1	2
105	на этих	1	2
106	в душе	2	2
107	и других	1	2
108	цели и	1	2
109	у него	22	2
110	момент в	2	2
111	что не	4	2
112	остается и	1	2
113	в одно	1	2
114	в частности	1	2
115	в мир	1	2
116	в свое	1	2
117	своей жизни	2	2
118	но это	1	2
119	и для	2	2
120	не существует	1	2
121	в голову	1	2
122	не есть	2	2
123	влечет к	3	2
124	ее в	2	2
125	к этому	2	2
126	человека и	10	1
127	и то	2	1
128	науки о	1	1
129	когда человек	1	1
130	не имеют	1	1
131	свое так	1	1
132	его не	2	1
133	всей ее	1	1
134	вопрос о	10	1
135	в ней	1	1
136	было до	1	1
137	он был	8	1
138	одним словом	1	1
139	но не	1	1
140	с духом	1	1
141	иногда и	1	1
142	что они	2	1
143	в центре	1	1
144	все же	2	1
145	хотя и	2	1
146	когда он	3	1
147	от этого	1	1
148	чего же	1	1
149	психологии и	1	1
150	к чему	1	1
151	уже не	1	1
152	та же	1	1
153	не оставляет	1	1
154	человек не	7	1
155	что она	1	1
156	что было	1	1
157	единство в	1	1
158	есть та	1	1
159	в корне	1	1
160	из него	1	1
161	с чем	2	1
162	человека в	11	1
163	различие между	3	1
164	в мире	1	1
165	где оно	1	1
166	лишь в	7	1
167	это было	3	1
168	в свой	1	1
169	истории и	1	1
170	которая была	1	1
171	в самую	4	1
172	с тем	2	1
173	мир в	1	1
174	что есть	2	1
175	него что	1	1
176	ли так	1	1
177	ним может	1	1
178	любовь и	1	1
179	страха и	1	1
180	который всегда	1	1
181	вещей и	1	1
182	любовь к	2	1
183	можно ли	2	1
184	а иногда	1	1
185	в эпоху	1	1
186	дело в	1	1
187	одна из	1	1
188	в сущности	1	1
189	того чтобы	4	1
190	не имеет	2	1
191	в отношениях	1	1
192	ничего не	2	1
193	в форму	1	1
194	в русском	1	1
195	во всем	1	1
196	ничто не	2	1
197	в сознании	1	1
198	в виду	1	1
199	с другом	1	1
200	от того	1	1
201	среди них	1	1
202	страсть и	1	1
203	одно только	1	1
204	отличается от	1	1
205	бы он	1	1
206	для его	1	1
207	она не	1	1
208	он прежде	2	1
209	из всего	2	1
210	характер и	1	1
211	и что	1	1
212	и сам	1	1
213	в другом	2	1
214	можно было	1	1
215	его жизни	1	1
216	его мысли	4	1
217	новой науки	1	1
218	если бы	1	1
219	с чего	2	1
220	в глубине	7	1
221	в разных	1	1
222	связанная с	1	1
223	о нем	1	1
224	и здесь	1	1
225	но к	1	1
226	вражда к	1	1
