N	3gram	Bakhtin_Pr_1	Problemy
1	с точки зрения	6	13
2	в этом смысле	3	10
3	то же время	3	9
4	в то же	3	9
5	по отношению к	19	8
6	в его целом	5	6
7	в том что	3	6
8	и в этом	1	5
9	но в то	1	5
10	зрения на мир	1	4
11	на самом деле	3	4
12	между тем как	5	4
13	в творчестве достоевского	1	4
14	не может быть	11	4
15	подобно тому как	1	3
16	не входит в	4	3
17	и т п	13	3
18	сами по себе	1	3
19	дело идет о	1	3
20	все то что	3	3
21	в этом отношении	2	3
22	с другой стороны	4	3
23	оно может быть	1	2
24	в самом деле	3	2
25	только в этой	1	2
26	до сих пор	1	2
27	и не может	2	2
28	в лучшем случае	2	2
29	и в то	2	2
30	хотя бы и	1	2
31	в самом произведении	1	2
32	точка зрения на	1	2
33	бы то ни	3	2
34	в данном случае	4	2
35	не только в	2	2
36	человека из подполья	1	2
37	и в романе	1	2
38	к нему и	2	2
39	в большинстве случаев	5	2
40	лишь там где	2	2
41	можно было бы	3	2
42	себя самого как	1	1
43	а следовательно и	1	1
44	хотя и не	1	1
45	и как можно	1	1
46	к себе самому	1	1
47	ни в один	1	1
48	то ни стало	1	1
49	является таким образом	1	1
50	а вовсе не	1	1
51	дело в том	1	1
52	тем что оно	1	1
53	в свою очередь	1	1
54	в нем и	1	1
55	рядом с ним	1	1
56	и есть та	1	1
57	ведь в противном	1	1
58	в том и	1	1
59	то же самое	2	1
60	во что бы	1	1
61	момент художественного произведения	2	1
62	и в других	1	1
63	а в этом	1	1
64	за их пределы	2	1
65	дано в самом	1	1
66	что все эти	1	1
67	не было бы	1	1
68	в этом произведении	1	1
69	то что в	1	1
70	но несмотря на	1	1
71	резко отличается от	1	1
72	все же некоторую	1	1
73	с самим собою	1	1
74	может быть лишь	1	1
75	оно ощущается как	1	1
76	на этот вопрос	1	1
77	как мы уже	1	1
78	что дело идет	1	1
79	в противном случае	3	1
80	кроме того и	1	1
81	может быть только	3	1
82	на себя самого	1	1
83	раз и навсегда	1	1
84	так и в	2	1
85	мышления о мире	1	1
86	может быть и	1	1
87	и в частности	2	1
88	что бы то	1	1
89	в своем творчестве	1	1
90	то время как	1	1
91	иной чем в	1	1
92	не только его	1	1
93	в первом случае	1	1
94	то ни было	2	1
95	таким образом и	1	1
96	в высшей степени	5	1
97	жизни а как	1	1
98	отношению к нему	1	1
99	должно отметить что	5	1
100	имеют все же	1	1
101	отношения к миру	1	1
102	их и в	1	1
103	не могут быть	2	1
104	и менее всего	1	1
105	притом не только	1	1
106	не в том	1	1
107	выйти за их	1	1
108	не довлеет себе	2	1
109	тем или иным	1	1
110	могут быть поняты	2	1
111	в себе все	1	1
112	а рядом с	1	1
113	себя самого это	1	1
114	и именно в	1	1
115	именно в том	1	1
116	по себе не	1	1
117	не совпадает с	2	1
118	позиции по отношению	1	1
119	того или иного	2	1
120	а в том	1	1
121	таким образом в	1	1
122	по сравнению с	1	1
123	в то время	1	1
124	она не может	1	1
125	чтобы войти в	1	1
126	и нисколько не	1	1
127	это и есть	1	1
128	та или иная	1	1
129	и независимо от	1	1
130	нам важно лишь	1	1
131	вовсе не как	1	1
132	становится в нем	1	1
133	ни одной из	1	1
134	своих последних пределов	1	1
135	к своему предмету	1	1
136	выходит за пределы	1	1
137	в художественном произведении	4	1
138	в своем стремлении	1	1
139	можно сказать что	2	1
140	в настоящее время	1	1
141	они ни были	1	1
142	большинстве случаев они	1	1
143	ибо только она	1	1
144	и быть не	1	1
145	как одна из	1	1
146	что в плане	1	1
147	то чем является	1	1
148	к тому что	1	1
149	конечно не в	1	1
150	до известной степени	1	1
151	и в нем	3	1
152	до своих последних	1	1
153	быть не может	1	1
154	для того чтобы	2	1
155	который был бы	1	1
156	их он может	1	1
157	и т д	1	1
