N	3gram	Losev_Dial_1	FransuaR
1	в то же	4	9
2	то же время	4	9
3	для того чтобы	1	6
4	в том что	7	6
5	но в то	1	5
6	в этом отношении	2	5
7	в связи с	1	5
8	до известной степени	1	4
9	на самом деле	2	4
10	связи с этим	1	3
11	до сих пор	2	3
12	потому что он	3	3
13	можно говорить о	1	2
14	в чем же	1	2
15	мы находим в	2	2
16	и не в	1	2
17	к тому же	1	2
18	то же самое	1	2
19	можно сказать что	3	2
20	в то время	1	2
21	можно было бы	4	2
22	друг с другом	1	2
23	дело в том	1	2
24	они вовсе не	1	2
25	не нуждается в	3	2
26	с точки зрения	12	2
27	хотя бы в	1	2
28	не может быть	3	2
29	о том что	2	1
30	одной и той	1	1
31	и в своей	1	1
32	поэтому если в	1	1
33	и в частности	2	1
34	в полной мере	1	1
35	и в то	2	1
36	но уже и	2	1
37	а именно в	1	1
38	может быть и	3	1
39	это конечно не	2	1
40	что иное как	1	1
41	не было ни	1	1
42	что он не	2	1
43	ничего общего с	3	1
44	если она и	1	1
45	так как он	2	1
46	ни о чем	2	1
47	ровно ничего не	3	1
48	имеет никакого отношения	1	1
49	как раз и	1	1
50	не что иное	1	1
51	и той же	1	1
52	на самом же	1	1
53	и даже в	1	1
54	той или иной	3	1
55	сих пор не	1	1
56	в нем есть	6	1
57	что и с	1	1
58	самом же деле	1	1
59	и та же	2	1
60	в самом деле	1	1
61	есть не что	1	1
62	ни в коем	1	1
63	одна и та	2	1
64	заметить что в	1	1
65	но это не	1	1
66	друг от друга	1	1
67	строй и порядок	1	1
68	в той или	1	1
69	во всех этих	1	1
70	не имеет никакого	3	1
71	тем не менее	1	1
72	еще и сейчас	1	1
73	что в основе	1	1
74	хотя и не	1	1
75	в коем случае	1	1
76	убежден в том	1	1
