N	2gram	Medvedev_V_1	UchenyiS
1	и в	26	14
2	а не	7	10
3	не только	25	10
4	прежде всего	13	8
5	и не	19	8
6	не может	17	7
7	вот почему	4	7
8	в этом	26	7
9	то что	6	7
10	может быть	22	6
11	в искусстве	6	6
12	то же	10	5
13	художественное произведение	5	5
14	в художественном	10	5
15	все это	10	5
16	хотя бы	19	5
17	художественного творчества	18	5
18	с другой	11	4
19	но и	10	4
20	что такое	2	4
21	в их	5	4
22	в конечном	7	4
23	конечном счете	5	4
24	в этой	4	4
25	конечно не	1	4
26	вряд ли	1	3
27	и то	1	3
28	это не	7	3
29	было бы	7	3
30	как и	7	3
31	для этого	1	3
32	в частности	11	3
33	в своей	4	3
34	или точнее	1	3
35	очевидно что	7	3
36	к сожалению	2	3
37	и формы	2	3
38	этой области	3	3
39	в то	6	3
40	все же	5	3
41	но в	2	3
42	формы в	1	3
43	не следует	8	3
44	же время	5	3
45	в области	2	3
46	у нас	2	3
47	другой стороны	8	3
48	для него	8	3
49	не как	1	3
50	не о	2	3
51	что все	3	2
52	а между	1	2
53	крайней мере	2	2
54	же не	1	2
55	одним из	5	2
56	художественного произведения	6	2
57	и через	2	2
58	художественном произведении	4	2
59	материала и	1	2
60	до сих	1	2
61	ее нельзя	1	2
62	а как	2	2
63	это было	1	2
64	самом деле	1	2
65	художественных произведений	1	2
66	искусстве нет	1	2
67	пишет он	1	2
68	в итоге	1	2
69	противном случае	2	2
70	к области	1	2
71	не приходится	2	2
72	о чем	2	2
73	является в	1	2
74	на эту	1	2
75	если бы	3	2
76	что мы	2	2
77	не столько	2	2
78	если не	1	2
79	том что	8	2
80	материал для	1	2
81	сводится к	3	2
82	но даже	3	2
83	мы и	1	2
84	меньшей степени	2	2
85	говоря иначе	3	2
86	художественном творчестве	6	2
87	в шкловский	1	2
88	с его	3	2
89	но не	2	2
90	думается что	4	2
91	не все	1	2
92	в его	14	2
93	по крайней	2	2
94	по существу	3	2
95	что и	3	2
96	по себе	2	2
97	более чем	1	2
98	конце концов	2	2
99	сих пор	1	2
100	но это	1	2
101	у р	1	2
102	этом смысле	1	2
103	в противном	2	2
104	в том	15	2
105	и для	2	2
106	что он	4	2
107	в себе	6	2
108	формы и	2	2
109	в самом	4	2
110	между тем	5	2
111	и у	2	2
112	только в	7	2
113	мы получаем	1	2
114	не в	6	2
115	все они	2	2
116	в системе	2	2
117	этом отношении	13	2
118	приходится признать	1	2
119	фактов и	1	2
120	конечно нет	1	2
121	его и	1	2
122	бы и	6	2
123	всех этих	2	2
124	их и	4	2
125	не могут	7	2
126	могут быть	5	2
127	в конце	3	2
128	а о	2	2
129	же самое	2	2
130	не случайно	1	2
131	как раз	3	2
132	тем что	1	2
133	что она	2	2
134	таким образом	31	2
135	даже и	3	2
136	и это	1	1
137	об этом	9	1
138	поэзии и	1	1
139	же как	2	1
140	связанных с	1	1
141	но по	1	1
142	человека и	3	1
143	даже не	2	1
144	без них	1	1
145	то есть	1	1
146	в виду	4	1
147	сам по	1	1
148	говорить не	3	1
149	значительной мере	3	1
150	плана он	1	1
151	и служит	1	1
152	входит в	1	1
153	л толстого	5	1
154	данном случае	1	1
155	или иначе	1	1
156	материалов и	1	1
157	наивно полагая	1	1
158	или меньшей	3	1
159	и быть	2	1
160	и теоретической	1	1
161	в пределах	5	1
162	это для	1	1
163	и др	9	1
164	художником и	1	1
165	что для	3	1
166	никогда не	4	1
167	полагаем что	1	1
168	художественное творчество	6	1
169	так и	5	1
170	по его	2	1
171	сводить к	1	1
172	одной стороны	2	1
173	достоевского и	2	1
174	в сфере	2	1
175	относится к	2	1
176	этого не	1	1
177	с тем	3	1
178	мы имеем	3	1
179	ходов и	1	1
180	обращение к	1	1
181	такое понимание	2	1
182	со своими	1	1
183	искусство как	2	1
184	в словесном	2	1
185	для обоснования	1	1
186	представлений и	2	1
187	как целого	3	1
188	именно к	1	1
189	об искусстве	1	1
190	и даже	2	1
191	должно быть	2	1
192	любопытно что	1	1
193	обычное правило	1	1
194	сводится именно	1	1
195	можно сказать	4	1
196	восприятия и	2	1
197	содержания на	1	1
198	не вполне	2	1
199	или менее	6	1
200	стороны в	2	1
201	о нем	1	1
202	к лицу	1	1
203	произведения как	5	1
204	этом плане	1	1
205	в порядке	5	1
206	искусства и	1	1
207	как особую	1	1
208	как на	3	1
209	приводит к	5	1
210	о том	10	1
211	в ней	2	1
212	и потому	2	1
213	относятся к	1	1
214	почти не	1	1
215	в котором	3	1
216	свойственна не	1	1
217	только для	1	1
218	и толстого	1	1
219	и что	1	1
220	его собственному	1	1
221	эмоциональный тон	1	1
222	он был	1	1
223	все его	2	1
224	в различных	2	1
225	быть в	1	1
226	из которых	2	1
227	в значительной	3	1
228	в пользу	2	1
229	содержания в	1	1
230	без труда	1	1
231	где же	1	1
232	под понятие	1	1
233	признать что	1	1
234	несомненно и	1	1
235	строго говоря	1	1
236	в течение	2	1
237	является только	1	1
238	искусства не	2	1
239	в той	1	1
240	своей работе	1	1
241	не самый	1	1
242	пишет в	3	1
243	он может	2	1
244	в данном	1	1
245	стихотворений и	1	1
246	бы в	3	1
247	переходит в	1	1
248	того что	3	1
249	друг другу	1	1
250	в которых	3	1
251	него она	1	1
252	более точно	1	1
253	и приемы	1	1
254	образом на	1	1
255	цельного художественного	2	1
256	их в	6	1
257	произведения в	7	1
258	на его	1	1
259	ней не	1	1
260	говорит он	1	1
261	оно является	2	1
262	это значит	1	1
263	само же	1	1
264	что этот	1	1
265	нет и	3	1
266	содержательны и	1	1
267	за пределы	1	1
268	формы как	1	1
269	на то	1	1
270	к изучению	1	1
271	ал блока	1	1
272	л толстой	10	1
273	течение многих	1	1
274	познания или	1	1
275	сфере искусства	1	1
276	отнюдь не	3	1
277	она не	3	1
278	задачи и	1	1
279	толстого и	1	1
280	еще раз	1	1
281	словесном творчестве	1	1
282	представляется не	1	1
283	полагая что	1	1
284	образы но	1	1
285	большей или	3	1
286	в своем	8	1
287	может обойтись	1	1
288	но для	2	1
289	имеет свою	3	1
