N	2gram	Bakhtin_Pr_3	ViktorSh
1	конце концов	3	2
2	и в	34	2
3	том что	3	2
4	в том	3	2
5	в конце	5	2
6	и только	2	1
7	крайней мере	3	1
8	в устах	1	1
9	и почти	2	1
10	под влиянием	3	1
11	в другом	8	1
12	хотя бы	5	1
13	и не	29	1
14	новых приемов	1	1
15	все время	5	1
16	и его	16	1
17	потому что	12	1
18	я не	7	1
19	сводится к	3	1
20	не хочу	6	1
21	и то	3	1
22	самом деле	13	1
23	все это	16	1
24	главным образом	1	1
25	и сводится	1	1
26	в их	1	1
27	так в	2	1
28	одно и	1	1
29	не одно	1	1
30	концов его	1	1
31	столь же	2	1
32	же все	1	1
33	ведь это	1	1
34	в которых	2	1
35	в значительной	1	1
36	в самом	8	1
37	только в	6	1
38	роли не	1	1
39	то же	14	1
40	слово по	1	1
41	ясно что	1	1
42	так как	4	1
43	далеко не	3	1
44	что слово	1	1
45	бы уже	3	1
46	к чему	2	1
47	с несколько	1	1
48	но это	4	1
49	в этом	16	1
50	они на	1	1
51	находится под	1	1
52	да и	4	1
53	по крайней	3	1
54	на одном	2	1
55	и заключается	1	1
56	то я	1	1
57	значительной степени	1	1
58	не хотел	1	1
59	том же	1	1
