N	3gram	Voloshinov_1	Vladivir
1	о том что	1	7
2	в том что	4	7
3	дело в том	4	4
4	в этом смысле	1	4
5	то же время	1	4
6	в то же	1	4
7	том что в	1	3
8	более или менее	1	3
9	с другой стороны	2	3
10	не может быть	7	3
11	как мы уже	1	3
12	один и тот	1	2
13	и в частности	1	2
14	в то время	1	2
15	и тот же	1	2
16	во всяком случае	1	2
17	мы уже сказали	1	2
18	можно сказать что	5	2
19	тем не менее	3	2
20	к тому же	1	2
21	с первого же	1	2
22	как это делает	1	1
23	а не к	1	1
24	в чем не	1	1
25	на протяжении всей	1	1
26	с ним на	1	1
27	мы имеем дело	1	1
28	уже не может	1	1
29	в самом деле	1	1
30	в настоящее время	2	1
31	в том же	1	1
32	нам кажется что	1	1
33	самом же деле	1	1
34	и не может	3	1
35	бы то ни	3	1
36	с ним в	1	1
37	на самом же	1	1
38	но все это	1	1
39	только то что	1	1
40	что не только	1	1
41	одно и то	2	1
42	то время как	1	1
43	то что для	1	1
44	но в то	1	1
45	то ни было	3	1
46	с одной стороны	2	1
47	и то же	2	1
48	и в этом	1	1
49	и к его	1	1
50	имеем дело с	1	1
51	ни в чем	1	1
52	не может получить	1	1
53	свою связь с	1	1
54	и что она	1	1
55	в свою очередь	1	1
56	здесь мы должны	1	1
57	так как в	1	1
58	выходят за пределы	2	1
59	но отнюдь не	2	1
60	она в самом	1	1
61	в жизни и	2	1
62	в этом отношении	1	1
