N	3gram	Losev_Prob_5	VelikijI
1	то что я	1	2
2	но и в	2	2
3	том что он	2	2
4	не в силах	1	2
5	в том что	8	2
6	как бы и	1	2
7	и т д	1	2
8	но все же	2	1
9	то ни стало	1	1
10	во что бы	1	1
11	во всем мире	1	1
12	да и то	1	1
13	в легенде о	1	1
14	людей но и	1	1
15	к людям и	1	1
16	и то и	1	1
17	о небе и	1	1
18	бы то ни	2	1
19	по крайней мере	4	1
20	то и другое	2	1
21	вместе с тем	3	1
22	что бы то	1	1
23	любви к людям	1	1
24	вслед за ним	1	1
25	в конце концов	6	1
26	потому что оно	1	1
27	и в этом	1	1
28	с другой стороны	5	1
29	для человека как	1	1
30	так и в	1	1
31	и вместе с	1	1
32	и никогда не	2	1
33	после того как	3	1
