N	3gram	Medvedev_V_1	Russkaja
1	то же время	5	10
2	в то же	5	10
3	в том что	5	7
4	во всяком случае	1	6
5	для того чтобы	3	6
6	а между тем	1	5
7	до сих пор	1	5
8	более или менее	6	4
9	в том случае	1	4
10	не может быть	8	4
11	не может не	2	3
12	том случае если	1	3
13	вместе с тем	3	3
14	можно было бы	2	3
15	и не может	2	3
16	в данном случае	1	3
17	в конце концов	2	3
18	той или иной	1	3
19	только в том	2	2
20	что он не	1	2
21	в значительной мере	3	2
22	но она не	1	2
23	не могут не	2	2
24	и вместе с	1	2
25	того или иного	1	2
26	о том что	3	2
27	ни одна из	1	2
28	к тому что	3	2
29	сама по себе	1	2
30	и в другом	2	2
31	в другом месте	2	1
32	в силу этого	4	1
33	в начале этой	1	1
34	в свою очередь	1	1
35	по отношению к	7	1
36	одной из этих	1	1
37	в самом деле	1	1
38	но даже и	1	1
39	в том числе	2	1
40	то же самое	1	1
41	в том же	1	1
42	творчества таким образом	1	1
43	не могло бы	1	1
44	только то что	2	1
45	в этом отношении	13	1
46	том числе и	2	1
47	заключает в себе	1	1
48	на этот вопрос	1	1
49	приходится признать что	1	1
50	тот или иной	1	1
51	но по существу	1	1
52	в противном случае	2	1
53	по крайней мере	2	1
54	не подлежит сомнению	1	1
55	могут не быть	1	1
56	есть то что	1	1
57	говорить не о	2	1
58	в применении к	1	1
59	в том чтобы	2	1
60	но в то	1	1
61	как видно из	1	1
62	ни к какому	1	1
63	из которых каждая	1	1
64	того что не	1	1
65	во всех этих	1	1
66	прежде всего необходимо	1	1
67	не только для	1	1
68	что ни одна	1	1
69	в связи с	3	1
70	если бы все	1	1
71	так же как	1	1
72	одну и ту	1	1
73	а в том	1	1
74	отнюдь не может	1	1
75	от того что	2	1
76	в этом и	2	1
77	даже и в	1	1
78	это и есть	3	1
79	может быть достигнуто	1	1
80	но и для	1	1
81	же время она	1	1
82	вопрос о том	1	1
83	в результате этого	1	1
84	было бы чрезвычайно	1	1
85	и ни одна	1	1
86	совершенно очевидно что	1	1
87	и ту же	1	1
88	сил и способностей	1	1
89	неизбежно приводит к	1	1
90	к тому же	1	1
91	из этих черт	1	1
92	что оно является	1	1
93	и следовало ожидать	1	1
