N	2gram	Bakhtin_Pr_1	NovoeSre
1	а не	5	17
2	и в	38	16
3	не может	27	16
4	и не	42	11
5	и есть	2	10
6	истории и	1	9
7	что в	7	9
8	как не	1	8
9	в том	8	8
10	жизни и	1	8
11	он не	3	8
12	культуры и	3	7
13	в этом	15	7
14	может быть	26	7
15	как и	7	7
16	высшей степени	5	6
17	с его	2	6
18	не в	7	6
19	ни в	11	6
20	в высшей	5	6
21	никогда не	5	6
22	лишь в	2	6
23	но это	3	6
24	не знает	3	6
25	должен быть	2	5
26	с ее	1	5
27	в ней	4	5
28	и к	3	5
29	не только	9	5
30	все это	3	5
31	в нем	15	5
32	со всех	2	4
33	не во	2	4
34	о том	4	4
35	всех сторон	2	4
36	и мы	1	4
37	перестает быть	4	4
38	в них	5	4
39	то что	8	4
40	это не	5	4
41	прежде всего	13	4
42	не было	2	4
43	должно быть	5	4
44	есть лишь	3	4
45	и потому	4	4
46	по своему	1	4
47	не менее	4	4
48	и для	11	4
49	не имеет	9	4
50	и все	3	4
51	с другой	7	3
52	смысле слова	2	3
53	в ее	4	3
54	должна быть	4	3
55	вопрос о	1	3
56	человека и	1	3
57	еще не	7	3
58	во всех	11	3
59	за пределы	12	3
60	лицом к	1	3
61	в истории	2	3
62	как в	4	3
63	конечно не	5	3
64	к ним	1	3
65	подобно тому	1	3
66	в мире	3	3
67	но и	9	3
68	это было	1	3
69	не есть	6	3
70	и пр	2	3
71	с тем	1	3
72	к лицу	1	3
73	в своей	7	3
74	тому как	1	3
75	в россии	2	3
76	она не	2	3
77	не существует	1	3
78	в основе	5	3
79	жизни в	1	3
80	к тому	1	3
81	в наши	1	3
82	сказать что	4	3
83	и это	3	2
84	нем нет	1	2
85	это и	1	2
86	время как	1	2
87	в нашу	1	2
88	не имеют	2	2
89	к созданию	1	2
90	культуры она	1	2
91	можно было	4	2
92	так и	5	2
93	мира и	1	2
94	и с	17	2
95	но она	2	2
96	я не	2	2
97	жизни как	1	2
98	и должно	3	2
99	и что	2	2
100	и на	3	2
101	на протяжении	1	2
102	но не	12	2
103	в новом	1	2
104	в свои	1	2
105	все время	1	2
106	помнить что	3	2
107	ни к	2	2
108	хотя и	3	2
109	но в	4	2
110	который в	1	2
111	все эти	5	2
112	с одной	3	2
113	себя в	2	2
114	есть в	1	2
115	в себе	4	2
116	уже не	1	2
117	не могла	1	2
118	стремиться к	1	2
119	не к	6	2
120	приобщиться к	1	2
121	в одну	1	2
122	что все	2	2
123	нет и	3	2
124	и даже	3	2
125	связаны с	2	2
126	этом смысле	3	2
127	бытия в	3	2
128	но я	1	2
129	том что	3	2
130	вместе с	1	2
131	так же	1	2
132	свои права	1	2
133	мы говорим	1	2
134	место в	8	2
135	к содержанию	17	2
136	мысли и	1	2
137	одной стороны	3	2
138	центр тяжести	2	2
139	другой стороны	4	2
140	по существу	2	2
141	не могли	2	2
142	том и	1	2
143	ни одна	2	2
144	и формы	1	2
145	как это	2	2
146	но для	1	2
147	равно как	1	2
148	в смысле	1	2
149	в то	4	2
150	одна из	2	2
151	того чтобы	2	2
152	формы и	5	2
153	и от	3	2
154	и весь	2	2
155	не ставит	1	2
156	хотя бы	4	2
157	все они	5	2
158	познания и	30	2
159	а в	6	2
160	и начинается	1	2
161	ли это	1	2
162	могут быть	5	2
163	как формальное	1	1
164	оно может	2	1
165	обращена к	1	1
166	зависимость от	1	1
167	лишь там	2	1
168	становится в	1	1
169	он может	2	1
170	характер и	1	1
171	не через	1	1
172	было то	1	1
173	приводит к	3	1
174	слишком долго	1	1
175	не их	1	1
176	явление культуры	1	1
177	на нее	1	1
178	мы уже	1	1
179	не с	4	1
180	и которые	2	1
181	личность от	1	1
182	все свои	1	1
183	способность его	1	1
184	начинается в	1	1
185	может осуществить	2	1
186	мир не	1	1
187	совершенно невозможно	3	1
188	с ним	5	1
189	можно сказать	2	1
190	смысле и	1	1
191	говорить о	3	1
192	на себя	1	1
193	суждения не	1	1
194	движения и	2	1
195	под этим	1	1
196	в виду	4	1
197	свои возможности	1	1
198	свободно и	1	1
199	на нем	1	1
200	на них	3	1
201	на их	1	1
202	в чем	2	1
203	и во	2	1
204	не могут	2	1
205	в которую	1	1
206	к нему	10	1
207	что никаких	1	1
208	нем не	1	1
209	из сторон	1	1
210	то он	1	1
211	вопросу о	1	1
212	себя все	2	1
213	значение и	1	1
214	в его	43	1
215	менее всего	3	1
216	себе и	1	1
217	отличие от	5	1
218	лишь к	1	1
219	и только	4	1
220	значение для	3	1
221	движения в	1	1
222	последних пределов	1	1
223	путем необходимо	1	1
224	которая обращена	1	1
225	в значительной	2	1
226	к которому	4	1
227	в своем	5	1
228	как например	1	1
229	у в	3	1
230	человека в	2	1
231	что он	2	1
232	только в	13	1
233	во всем	2	1
234	отнесены к	2	1
235	находит она	1	1
236	в самом	7	1
237	к чему	2	1
238	и изнутри	1	1
239	то время	1	1
240	имеет более	1	1
241	для всех	1	1
242	или ложно	1	1
243	и у	2	1
244	к единству	5	1
245	единству и	2	1
246	вопроса о	3	1
247	в большинстве	5	1
248	миром а	1	1
249	вообще не	7	1
250	большинстве случаев	5	1
251	из них	1	1
252	она становится	1	1
253	мир в	2	1
254	для того	2	1
255	должен прежде	1	1
256	нуждается в	2	1
257	к одному	1	1
258	слова в	7	1
259	сами по	1	1
260	который можно	1	1
261	последние годы	2	1
262	не для	1	1
263	но ведь	1	1
264	друг друга	1	1
265	бытия и	1	1
266	которые могут	2	1
267	есть реального	1	1
268	всех своих	2	1
269	тем что	2	1
270	существенным моментом	2	1
271	в нее	1	1
272	значительной степени	1	1
273	от нее	1	1
274	формы к	1	1
275	лишь для	2	1
276	культуры но	1	1
277	значение в	1	1
278	не должна	4	1
279	не были	1	1
280	выходит за	1	1
281	из всех	1	1
282	перестать быть	1	1
283	на ее	3	1
284	с другими	3	1
285	кончается и	2	1
286	было бы	8	1
287	в каких	2	1
288	и быть	1	1
289	себя и	3	1
290	в отличие	5	1
291	что не	4	1
292	но оно	1	1
293	обратиться к	1	1
294	для них	1	1
295	связано с	1	1
296	нет в	1	1
297	а на	1	1
298	они не	3	1
299	в этой	1	1
300	быть понят	1	1
301	не на	5	1
302	этого не	1	1
303	власти и	1	1
304	и техники	1	1
305	не всегда	6	1
306	как ни	1	1
307	ночь и	1	1
308	человеческой жизни	1	1
309	в боге	1	1
310	она неизбежно	1	1
311	что мы	1	1
312	не больше	3	1
313	и ему	1	1
314	моментом в	3	1
315	в этих	2	1
316	может иметь	5	1
317	но если	1	1
318	человек а	1	1
319	и особенно	1	1
320	до этого	1	1
321	мы конечно	1	1
322	к себе	2	1
323	в котором	2	1
324	что вся	1	1
325	ничего нет	2	1
326	одну из	1	1
327	рода и	1	1
328	установить что	1	1
329	мы в	3	1
330	пр в	1	1
331	и мир	2	1
332	не должно	1	1
333	у нас	2	1
334	другой же	2	1
335	с миром	4	1
336	для политики	1	1
337	в философском	1	1
338	но он	1	1
339	творчества и	5	1
340	быть только	5	1
341	мы должны	2	1
342	и более	2	1
343	том смысле	1	1
344	быть не	1	1
345	по себе	1	1
346	в той	1	1
347	всеми сторонами	1	1
348	борьбе за	1	1
349	и вся	2	1
350	нашего чувства	1	1
351	сих пор	1	1
352	природу и	3	1
353	быть признан	1	1
354	в познании	2	1
355	должны быть	4	1
356	к вопросу	1	1
357	в более	4	1
358	это уже	1	1
359	за его	3	1
360	и отдельных	2	1
361	до сих	1	1
362	мира так	1	1
363	того и	1	1
364	же стороны	2	1
365	образования и	1	1
366	которая в	1	1
367	а к	2	1
368	вся культура	1	1
369	это формы	1	1
370	возникают не	1	1
371	или иная	1	1
372	осуществить своих	1	1
373	понята как	1	1
374	явление в	1	1
375	к этой	1	1
376	изнутри и	1	1
377	и его	16	1
378	а также	1	1
379	есть уже	1	1
380	так называемый	2	1
381	реально не	1	1
382	быть понята	2	1
383	процессы в	1	1
384	образ человека	1	1
385	возможно лишь	1	1
386	в области	11	1
387	та или	1	1
388	ему не	1	1
389	в свою	2	1
390	для решения	1	1
391	от всех	4	1
392	но можно	2	1
393	жизни а	1	1
394	направлена на	1	1
395	есть только	2	1
396	есть и	1	1
397	ли он	1	1
398	и дух	1	1
399	в которой	1	1
400	быть признана	1	1
401	быть отнесены	1	1
402	того времени	1	1
403	а белый	1	1
404	социальные и	1	1
405	творчества не	1	1
406	оно не	3	1
407	как свободная	1	1
408	все что	3	1
409	него как	1	1
