N	2gram	Losev_Vlad_1	Problemy
1	и в	31	43
2	и не	17	29
3	может быть	6	23
4	не может	6	18
5	как и	4	14
6	но и	19	14
7	и т	2	13
8	в этом	14	13
9	точки зрения	2	13
10	что он	12	13
11	в нем	4	12
12	в одном	1	12
13	не только	24	11
14	в каждом	1	11
15	не в	5	11
16	и на	3	10
17	но в	12	10
18	как мы	9	10
19	в его	12	10
20	прежде всего	1	10
21	еще не	2	9
22	он не	10	9
23	никогда не	9	9
24	то же	6	8
25	лишь в	2	8
26	для него	7	8
27	и его	7	8
28	с самим	1	8
29	или в	1	8
30	ведь и	1	7
31	в самом	2	7
32	к себе	2	7
33	в то	8	7
34	слова с	1	7
35	и сам	6	7
36	а не	1	7
37	что же	5	7
38	то что	18	7
39	так сказать	1	6
40	при этом	2	6
41	не как	1	6
42	в этих	1	6
43	что я	2	6
44	здесь не	3	6
45	о нем	7	6
46	в том	11	6
47	в котором	6	6
48	у него	15	6
49	то перед	1	6
50	и все	4	6
51	самом деле	1	5
52	нам кажется	1	5
53	и он	3	5
54	но не	3	5
55	по отношению	1	5
56	слова на	1	5
57	хотя и	4	5
58	в себе	4	5
59	все эти	3	5
60	на то	5	5
61	да и	4	5
62	таким образом	3	5
63	и с	14	5
64	было бы	2	5
65	у меня	2	5
66	о том	11	5
67	никак не	4	5
68	и что	6	5
69	же время	4	5
70	к нему	4	5
71	мы увидим	3	5
72	так что	10	5
73	вовсе не	5	5
74	все это	5	5
75	а что	1	5
76	бы в	1	5
77	а в	9	5
78	и до	2	4
79	он ничего	1	4
80	мы не	1	4
81	я не	4	4
82	с его	11	4
83	во всех	1	4
84	себе и	1	4
85	в своем	4	4
86	знаю что	1	4
87	в произведении	1	4
88	т д	2	4
89	человека в	1	4
90	в них	2	4
91	далеко не	1	4
92	во время	3	4
93	в своей	4	4
94	но он	5	4
95	их в	1	4
96	том же	1	4
97	как его	1	4
98	или как	1	4
99	к тому	3	4
100	и это	2	4
101	только в	9	4
102	в стиле	1	4
103	ни одного	1	4
104	так как	8	4
105	как раз	7	4
106	с другой	3	4
107	на этот	6	4
108	до конца	1	4
109	то есть	3	4
110	не могут	1	4
111	другого человека	1	4
112	но это	3	4
113	это он	1	4
114	в результате	2	4
115	между ними	1	4
116	совершенно не	2	4
117	что в	14	4
118	также и	10	3
119	не хочет	1	3
120	мы уже	7	3
121	той же	2	3
122	что если	1	3
123	он был	14	3
124	он сам	2	3
125	мы будем	2	3
126	за пределы	3	3
127	в одной	1	3
128	кроме того	7	3
129	когда он	5	3
130	и к	6	3
131	более или	3	3
132	только на	3	3
133	тому же	2	3
134	чем у	1	3
135	никому не	1	3
136	это не	1	3
137	в жизни	3	3
138	кажется что	2	3
139	а за	1	3
140	или менее	3	3
141	в их	1	3
142	даже в	2	3
143	в отношении	3	3
144	она не	1	3
145	на два	1	3
146	на него	3	3
147	того и	2	3
148	ничего не	3	3
149	во всем	4	3
150	не менее	2	3
151	он с	1	3
152	так и	6	3
153	если бы	1	3
154	и даже	15	3
155	с ним	5	3
156	и здесь	3	3
157	в различных	1	3
158	что и	5	3
159	и только	1	3
160	в формах	1	3
161	тот же	3	3
162	теперь в	1	3
163	со всеми	1	3
164	себя в	4	3
165	уже не	3	3
166	в виде	3	3
167	тем что	2	3
168	по своим	3	3
169	себя и	1	3
170	он и	6	3
171	него в	2	3
172	по существу	2	3
173	все же	3	3
174	и для	2	3
175	но зато	2	3
176	это все	1	3
177	другой стороны	3	3
178	того же	6	3
179	ту же	1	2
180	отношения к	1	2
181	из его	4	2
182	почти всегда	1	2
183	не во	1	2
184	и о	2	2
185	вопрос о	1	2
186	время как	1	2
187	на себя	3	2
188	мы и	4	2
189	для наших	1	2
190	мы здесь	1	2
191	с большим	1	2
192	не нужно	1	2
193	он говорит	2	2
194	в сторону	1	2
195	отношение к	3	2
196	как в	3	2
197	и слова	1	2
198	и как	4	2
199	его к	2	2
200	в целом	3	2
201	сказать о	1	2
202	момент его	1	2
203	из этих	2	2
204	им в	1	2
205	как он	4	2
206	но на	3	2
207	и еще	2	2
208	одно и	1	2
209	но все	1	2
210	же тему	1	2
211	об этом	7	2
212	из них	2	2
213	знает что	1	2
214	которая как	2	2
215	на почве	1	2
216	известно что	2	2
217	ни в	2	2
218	для чего	1	2
219	том что	14	2
220	которую он	2	2
221	что такое	2	2
222	почти не	2	2
223	мысли и	4	2
224	значение для	2	2
225	но эта	1	2
226	же тут	1	2
227	что этот	3	2
228	и то	10	2
229	а вот	1	2
230	и очень	3	2
231	раз и	3	2
232	иной раз	6	2
233	дело в	4	2
234	одна из	1	2
235	одной плоскости	1	2
236	на себе	1	2
237	и всегда	3	2
238	и без	1	2
239	тем не	2	2
240	меня и	1	2
241	и эта	1	2
242	что на	2	2
243	с прямым	1	2
244	у нас	6	2
245	в письме	8	2
246	указывает на	2	2
247	но к	1	2
248	здесь мы	3	2
249	для себя	2	2
250	в конце	9	2
251	всего этого	1	2
252	настоящее время	1	2
253	особенно в	1	2
254	то время	2	2
255	что у	4	2
256	он так	2	2
257	что может	1	2
258	он говорил	1	2
259	произведения как	1	2
260	не был	5	2
261	его жизни	6	2
262	от них	1	2
263	того что	2	2
264	этом смысле	4	2
265	и так	3	2
266	и мысли	1	2
267	конечно не	2	2
268	уже в	7	2
269	то и	2	2
270	а то	1	2
271	мы можем	1	2
272	уже и	2	2
273	на меня	1	2
274	автора как	1	2
275	а с	5	2
276	что не	1	2
277	и пр	1	2
278	он только	1	2
279	в руках	1	2
280	него не	3	2
281	он тут	1	2
282	так же	1	2
283	и особенно	4	2
284	по своему	3	2
285	человек с	1	2
286	этого слова	1	2
287	своей жизни	2	2
288	знает только	1	2
289	письме к	10	2
290	и среди	1	2
291	в настоящее	1	2
292	человек и	1	2
293	для нас	4	2
294	конце концов	3	2
295	хотя бы	2	2
296	ни было	1	2
297	отношении к	1	2
298	не есть	1	2
299	с теми	1	2
300	с ними	2	2
301	сказать что	7	2
302	но этот	3	2
303	ее в	1	2
304	в своих	5	2
305	он пишет	3	2
306	уже после	1	2
307	в таком	1	2
308	во всяком	2	2
309	формой выражения	1	1
310	и через	3	1
311	они еще	1	1
