N	3gram	Losev_Dial_1	Tvorches
1	в то же	4	13
2	то же время	4	12
3	в том что	7	6
4	о том что	2	5
5	но в то	1	4
6	дело в том	1	3
7	что все это	1	3
8	с самого начала	1	3
9	это уже не	1	2
10	та же самая	1	2
11	на самом деле	2	2
12	и та же	2	2
13	и т п	2	2
14	точно так же	2	2
15	по крайней мере	4	2
16	во главе с	1	2
17	добра и зла	1	2
18	можно сказать что	3	2
19	и в то	2	2
20	тем не менее	1	2
21	что иное как	1	1
22	хотя и не	1	1
23	в основе всех	1	1
24	но она не	1	1
25	и неизменно как	1	1
26	он на самом	1	1
27	как один из	2	1
28	это-то и есть	1	1
29	значит что он	3	1
30	то же самое	1	1
31	что же касается	1	1
32	те и другие	1	1
33	на том или	1	1
34	до сих пор	2	1
35	всю жизнь и	1	1
36	сами по себе	1	1
37	что он не	2	1
38	все же это	1	1
39	в первую очередь	1	1
40	на самом же	1	1
41	но все это	2	1
42	только то что	3	1
43	то и другое	2	1
44	и тем не	1	1
45	я и не	1	1
46	том или другом	1	1
47	с одной стороны	2	1
48	в конце концов	3	1
49	так быстро что	1	1
50	это та же	1	1
51	я скажу что	1	1
52	в связи с	1	1
53	это не значит	1	1
54	одна и та	2	1
55	я не могу	1	1
56	мы все время	1	1
57	не может и	3	1
58	самом же деле	1	1
59	не заметить что	1	1
60	имеет место в	1	1
61	у него и	1	1
62	не был бы	1	1
63	по себе а	2	1
64	он сам является	1	1
65	лежащая в основе	2	1
66	то к чему	1	1
67	это значит что	9	1
68	с другой стороны	4	1
69	таким образом и	1	1
70	и учение о	1	1
71	но это не	1	1
72	не значит что	3	1
73	не что иное	1	1
74	к тому что	2	1
75	в отношении к	1	1
76	на первый взгляд	1	1
77	дело не в	1	1
78	к тому же	1	1
79	и т д	19	1
