N	2gram	Bakhtin_Pr_2	Russkaja
1	не может	24	22
2	и не	42	19
3	в том	8	17
4	в этом	20	17
5	и в	45	14
6	с другом	2	14
7	друг с	2	14
8	то что	5	13
9	самим собой	1	12
10	то же	5	11
11	точки зрения	19	11
12	таким образом	11	11
13	в то	5	10
14	же время	3	10
15	но и	15	10
16	в себе	5	9
17	не только	16	9
18	том что	7	9
19	с точки	9	9
20	может быть	18	9
21	церкви и	1	9
22	во всяком	1	9
23	того чтобы	1	8
24	прежде всего	11	8
25	как на	2	8
26	самом деле	4	7
27	и если	1	7
28	и с	7	7
29	в данном	1	7
30	к тому	1	7
31	о том	3	7
32	мы должны	4	7
33	в своем	5	6
34	и к	2	6
35	в своих	4	6
36	если бы	2	6
37	все это	5	6
38	и для	2	6
39	для того	1	6
40	что он	7	6
41	для него	9	6
42	на самом	1	6
43	и на	7	5
44	между собой	1	5
45	во всех	4	5
46	на то	2	5
47	в нем	20	5
48	при этом	2	5
49	он не	9	5
50	было бы	4	5
51	в своей	6	5
52	никогда не	17	5
53	потому что	8	5
54	а потому	2	5
55	и только	1	5
56	только в	9	5
57	хотя бы	5	5
58	конечно не	6	5
59	или иной	3	5
60	до сих	2	5
61	себя и	2	5
62	из которых	2	5
63	по существу	1	5
64	сих пор	2	5
65	а в	3	5
66	жизни в	2	5
67	но не	6	4
68	себя в	2	4
69	все же	4	4
70	более или	1	4
71	не в	8	4
72	в этой	1	4
73	на земле	1	4
74	его в	3	4
75	как и	14	4
76	которой он	1	4
77	или менее	1	4
78	в их	4	4
79	точку зрения	5	4
80	тогда когда	1	4
81	во всем	1	4
82	а лишь	3	4
83	от того	2	4
84	не могут	1	4
85	переворот в	1	4
86	приводит к	1	4
87	в мире	3	4
88	можно было	2	4
89	и т.д	3	4
90	в его	22	4
91	так как	5	4
92	со стороны	4	4
93	вместе с	1	4
94	что же	4	4
95	как бы	15	4
96	в другое	2	4
97	возможно лишь	1	4
98	отказаться от	1	4
99	жизни и	15	4
100	что в	6	4
101	к этой	2	4
102	все что	3	4
103	вряд ли	1	3
104	то в	1	3
105	так чтобы	2	3
106	говорить о	1	3
107	и ни	1	3
108	еще не	9	3
109	он сам	6	3
110	из этих	1	3
111	что они	3	3
112	в самом	13	3
113	ни одна	1	3
114	на том	1	3
115	и по	2	3
116	в другом	1	3
117	лишь в	2	3
118	для них	3	3
119	несмотря на	1	3
120	должно быть	4	3
121	всех этих	1	3
122	но если	1	3
123	таким же	2	3
124	мы говорили	1	3
125	одна из	3	3
126	связи с	1	3
127	в сознании	2	3
128	точке зрения	3	3
129	что оно	1	3
130	той или	3	3
131	что все	3	3
132	данном случае	1	3
133	может только	1	3
134	что может	1	3
135	для этого	3	3
136	что и	5	3
137	в лучшем	1	3
138	того что	3	3
139	одной из	2	3
140	с нею	1	3
141	в большинстве	2	3
142	в виде	1	3
143	из них	9	3
144	в конце	4	3
145	друг друга	7	3
146	тем что	2	3
147	именно в	3	3
148	что для	2	3
149	не было	2	3
150	ко всем	2	3
151	и потому	6	3
152	да и	1	3
153	этом случае	1	3
154	лучшем случае	1	3
155	она может	1	3
156	или в	2	3
157	о котором	1	3
158	конце концов	3	3
159	и как	2	3
160	ибо в	1	3
161	все они	4	3
162	не есть	2	3
163	случае если	1	3
164	бы для	1	2
165	и есть	1	2
166	от своей	1	2
167	должна быть	3	2
168	в ней	7	2
169	в таком	3	2
170	по отношению	8	2
171	друг от	2	2
172	сама по	5	2
173	всю эту	1	2
174	с этим	1	2
175	по соображениям	1	2
176	и наконец	1	2
177	но в	6	2
178	все эти	4	2
179	и тот	1	2
180	другом случае	1	2
181	по самому	1	2
182	раз навсегда	1	2
183	говорили в	2	2
184	и вот	2	2
185	на совершенно	1	2
186	чтобы в	1	2
187	мы уже	3	2
188	на почве	4	2
189	по себе	8	2
190	стремления к	1	2
191	одному из	1	2
192	в этих	4	2
193	в котором	7	2
194	место в	1	2
195	ее он	1	2
196	друг другу	1	2
197	и более	2	2
198	лежит не	1	2
199	их в	7	2
200	том и	1	2
201	тому что	1	2
202	она не	5	2
203	только для	2	2
204	что с	1	2
205	у него	6	2
206	людей и	2	2
207	на которой	1	2
208	как будто	1	2
209	в области	2	2
210	всю свою	1	2
211	отличается от	1	2
212	если же	1	2
213	для себя	3	2
214	и о	2	2
215	от друга	2	2
216	и человек	1	2
217	или нескольких	1	2
218	ясно что	1	2
219	с самим	2	2
220	и должно	1	2
221	некоторых из	1	2
222	и что	2	2
223	были бы	2	2
224	при полном	2	2
225	от него	3	2
226	к нему	11	2
227	это в	1	2
228	вся эта	1	2
229	отметить что	2	2
230	что только	1	2
231	согласиться с	1	2
232	этот вопрос	4	2
233	совершенно не	1	2
234	проявляется в	2	2
235	бы ни	1	2
236	так что	2	2
237	уже не	6	2
238	только на	1	2
239	в начале	2	2
240	его и	3	2
241	не так	2	2
242	ни в	2	2
243	чтобы она	1	2
244	не о	2	2
245	мы можем	4	2
246	только с	1	2
247	в других	1	2
248	даже и	2	2
249	и даже	3	2
250	будет ли	1	2
251	а с	3	2
252	считает себя	1	2
253	в некоторых	2	2
254	зависит от	1	2
255	а не	10	2
256	большинстве случаев	2	2
257	на эту	1	2
258	себя на	2	2
259	в частности	1	2
260	так же	5	2
261	отношения к	2	2
262	есть и	3	2
263	но это	2	2
264	но для	1	2
265	если не	2	2
266	и от	3	2
267	всем этим	2	2
268	в результате	3	2
269	за нее	1	2
270	с ним	8	2
271	отношении к	1	2
272	бы его	1	2
273	на это	1	2
274	ее в	2	2
275	тем самым	2	2
276	не должны	1	1
277	в сфере	2	1
