N	2gram	Medvedev_S_1	TeoriaLi
1	в мире	1	24
2	не только	3	18
3	и не	1	16
4	а в	1	14
5	и в	3	13
6	в частности	2	13
7	так и	1	12
8	может быть	2	12
9	в этом	5	11
10	в том	5	11
11	но не	1	10
12	и его	1	10
13	то же	2	9
14	в его	3	9
15	отношению к	2	8
16	что в	2	8
17	но и	2	8
18	по отношению	2	8
19	в то	1	7
20	только в	2	7
21	том что	2	7
22	в данном	1	7
23	еще не	2	6
24	же время	1	6
25	место в	1	6
26	как бы	2	6
27	как и	1	5
28	не в	3	5
29	между ними	1	5
30	между тем	1	5
31	с другой	1	5
32	в своей	1	4
33	то что	2	4
34	конечном счете	1	4
35	не может	1	4
36	в конечном	1	4
37	все эти	1	3
38	к которому	2	3
39	прежде всего	1	3
40	таким образом	2	3
41	в этой	1	3
42	объекта и	1	3
43	его в	1	3
44	в этих	1	3
45	и потому	1	3
46	а с	1	3
47	именно в	1	3
48	и что	2	3
49	никогда не	1	3
50	перед нами	1	3
51	и по	1	3
52	но она	1	2
53	вовсе не	1	2
54	я и	1	2
55	право на	1	2
56	даже в	1	2
57	в конце	2	2
58	дело не	2	2
59	по себе	1	2
60	иначе говоря	1	2
61	между собой	1	2
62	но как	1	2
63	это не	1	2
64	и о	1	2
65	за пределы	2	2
66	сама по	1	2
67	противном случае	1	2
68	это и	2	2
69	в целом	1	2
70	в чем	1	2
71	могут оказаться	1	2
72	литературы как	1	2
73	одной стороны	1	2
74	у него	1	2
75	с одной	1	2
76	в противном	1	2
77	о том	1	2
78	в области	1	2
79	говоря иначе	1	2
80	как будто	2	2
81	и как	1	2
82	что он	1	2
83	о литературе	3	1
84	может не	1	1
85	жизни он	1	1
86	бы они	1	1
87	когда мы	1	1
88	бы в	1	1
89	в связи	1	1
90	границы и	1	1
91	эти два	1	1
92	ни были	1	1
93	может служить	1	1
94	от окружающих	1	1
95	связи с	1	1
96	крайней мере	1	1
97	не было	1	1
98	зависит от	1	1
99	наконец в	1	1
100	настоящее время	1	1
101	в каждом	1	1
102	отнюдь не	1	1
103	с ним	1	1
104	с помощью	1	1
105	что это	1	1
106	исторической поэтики	1	1
107	только то	1	1
108	не дает	1	1
109	на отдельные	1	1
110	те же	1	1
111	или даже	2	1
112	без этого	1	1
113	том и	1	1
114	и только	3	1
115	время в	1	1
116	в таких	1	1
117	он ни	1	1
118	истории литературы	10	1
119	художественных произведений	1	1
120	вступает в	1	1
121	более чем	3	1
122	к субъекту	1	1
123	что автор	1	1
124	но одно	1	1
125	ведь это	2	1
126	в силу	1	1
127	в сущности	1	1
128	а между	1	1
129	один из	1	1
130	же по	1	1
131	ли не	1	1
132	это по	1	1
133	себе чтобы	1	1
134	все это	7	1
135	представить себе	1	1
136	что все	1	1
137	именно такого	1	1
138	литература как	1	1
139	и заключается	2	1
140	они ни	1	1
141	в них	1	1
142	для этого	1	1
143	в котором	1	1
144	в настоящее	1	1
145	есть процесс	1	1
146	но именно	1	1
147	остается в	1	1
148	не от	1	1
149	по крайней	1	1
150	в результате	2	1
151	к изучению	1	1
152	еще и	1	1
153	столь же	1	1
154	по существу	2	1
155	и есть	1	1
156	что она	1	1
157	тем же	1	1
158	было бы	2	1
159	никак не	1	1
160	и более	1	1
