N	2gram	Medvedev_S_1	SlovoVZh
1	не может	1	16
2	может быть	2	14
3	как бы	2	13
4	и его	1	13
5	таким образом	2	12
6	и в	3	12
7	по отношению	2	11
8	отношению к	2	11
9	и не	1	10
10	прежде всего	1	8
11	для нас	3	7
12	в том	5	6
13	только в	2	6
14	с помощью	1	6
15	в процессе	1	6
16	должна быть	2	5
17	то же	2	5
18	отнюдь не	1	5
19	как и	1	5
20	том что	2	5
21	никогда не	1	5
22	хотя бы	1	5
23	то что	2	5
24	литературы и	2	4
25	за пределы	2	4
26	в этом	5	4
27	все же	1	4
28	не только	3	4
29	так и	1	4
30	с другой	1	4
31	не в	3	4
32	его в	1	4
33	в котором	1	3
34	еще не	2	3
35	мы не	1	3
36	о том	1	3
37	но и	2	3
38	между тем	1	3
39	и наконец	1	3
40	все эти	1	3
41	конечно не	1	3
42	и по	1	3
43	в них	1	3
44	в своей	1	3
45	и более	1	3
46	не должна	1	3
47	по себе	1	3
48	все это	7	3
49	это как	1	3
50	с ним	1	3
51	или не	1	3
52	опираясь на	1	2
53	они ни	1	2
54	те же	1	2
55	по природе	2	2
56	истории литературы	10	2
57	не способен	1	2
58	социологическому методу	1	2
59	настоящее время	1	2
60	и что	2	2
61	между собой	1	2
62	в чем	1	2
63	в данном	1	2
64	в его	3	2
65	метод в	4	2
66	и потому	1	2
67	в настоящее	1	2
68	с одной	1	2
69	социологический метод	4	2
70	на все	1	2
71	это не	1	2
72	как же	3	2
73	одной стороны	1	2
74	зависит от	1	2
75	ни на	1	2
76	но не	1	2
77	место в	1	2
78	в то	1	2
79	слова но	1	2
80	ничего не	1	2
81	в этих	1	2
82	между ними	1	2
83	им не	2	2
84	как только	2	2
85	же самое	1	2
86	что в	2	2
87	а между	1	1
88	и о	1	1
89	это и	2	1
90	свои права	1	1
91	тем же	1	1
92	только то	1	1
93	самому существу	1	1
94	выдвигает на	1	1
95	к вопросам	1	1
96	на что	1	1
97	для этого	1	1
98	нашей работы	1	1
99	словесного творчества	1	1
100	столь же	1	1
101	мы понимаем	1	1
102	в конечном	1	1
103	жизни он	1	1
104	конечном счете	1	1
105	он различает	1	1
106	крайней мере	1	1
107	в свои	1	1
108	именно в	1	1
109	сама по	1	1
110	в лучшем	1	1
111	перед нами	1	1
112	кто не	1	1
113	стиль в	1	1
114	что это	1	1
115	в целом	1	1
116	формальный метод	1	1
117	литературе и	1	1
118	это же	1	1
119	развитие по	1	1
120	в виде	1	1
121	что она	1	1
122	противном случае	1	1
123	не из	1	1
124	или даже	2	1
125	всяком случае	1	1
126	ведь это	2	1
127	вовсе не	1	1
128	ни были	1	1
129	у него	1	1
130	это по	1	1
131	бы они	1	1
132	и только	3	1
133	что все	1	1
134	выходит за	1	1
135	и мы	2	1
136	было бы	2	1
137	к которому	2	1
138	теоретическая поэтика	1	1
139	стиля как	1	1
140	не было	1	1
141	а с	1	1
142	далеко не	2	1
143	эволюционное развитие	2	1
144	же не	1	1
145	остается в	1	1
146	вступает в	1	1
147	в частности	2	1
148	именно и	1	1
149	положения в	1	1
150	процессе живого	1	1
151	по крайней	1	1
152	том и	1	1
153	лучшем случае	1	1
154	мы еще	1	1
155	историка литературы	2	1
156	эти вопросы	1	1
157	только для	1	1
158	в смысле	2	1
159	в противном	1	1
160	она должна	1	1
161	в результате	2	1
162	же время	1	1
163	тем более	2	1
164	мы должны	1	1
165	ровно ничего	1	1
166	же этот	1	1
167	связи с	1	1
168	поэтической формы	1	1
169	как будто	2	1
170	в области	1	1
171	больше того	1	1
172	конечно только	1	1
173	только как	2	1
174	все то	1	1
175	по самому	1	1
176	о литературе	3	1
177	когда мы	1	1
178	в ведение	1	1
179	я и	1	1
180	подвести итоги	1	1
181	обходится без	1	1
182	во всяком	1	1
183	они не	1	1
184	применения социологического	1	1
