N	2gram	Nazirov_Tv_2	Marksizm
1	может быть	8	26
2	и не	9	26
3	не может	7	24
4	и в	20	19
5	и его	9	19
6	таким образом	10	17
7	в этом	8	16
8	как бы	11	15
9	в процессе	2	14
10	как мы	1	13
11	прежде всего	8	13
12	как и	6	12
13	так и	6	11
14	связи с	1	11
15	и для	1	11
16	самом деле	2	10
17	в нем	3	10
18	в самом	3	10
19	лишь в	1	9
20	только в	2	9
21	для него	3	9
22	в результате	1	9
23	все же	5	8
24	не только	13	8
25	при этом	8	8
26	друг друга	2	8
27	до сих	3	8
28	но и	8	8
29	сих пор	3	8
30	то что	3	8
31	во всех	1	7
32	в ее	2	7
33	точка зрения	2	7
34	но в	4	7
35	психологии и	1	7
36	все эти	4	7
37	то же	7	7
38	в каждом	1	7
39	а не	6	7
40	в связи	1	7
41	так же	5	7
42	отнюдь не	4	6
43	так сказать	2	6
44	мы не	4	6
45	ничего не	4	6
46	в пределах	1	6
47	и здесь	1	6
48	в его	10	6
49	в том	8	6
50	является не	1	6
51	в основном	6	6
52	другой стороны	2	6
53	связи между	1	5
54	отличие от	2	5
55	по преимуществу	2	5
56	входит в	1	5
57	рядом с	2	5
58	в отличие	2	5
59	не в	4	5
60	ничего общего	1	5
61	этот вопрос	3	5
62	ясно что	1	5
63	в начале	3	5
64	в конце	6	5
65	вовсе не	2	5
66	с другой	2	5
67	именно в	6	5
68	мы знаем	1	5
69	и потому	4	5
70	к этому	3	5
71	во всяком	2	5
72	переход от	1	4
73	и на	5	4
74	нет и	2	4
75	чем же	1	4
76	как в	4	4
77	к одному	1	4
78	было бы	1	4
79	не столько	2	4
80	мысли и	1	4
81	не менее	2	4
82	по себе	1	4
83	в идеологическом	1	4
84	самого начала	1	4
85	не является	3	4
86	с самого	1	4
87	еще не	5	4
88	и между	1	4
89	с этим	1	4
90	что же	1	4
91	тот же	1	4
92	а в	4	4
93	отношении к	1	4
94	жизни в	3	4
95	между ними	1	4
96	сказать что	1	4
97	что в	7	4
98	и есть	2	3
99	высшей степени	1	3
100	действительности и	1	3
101	в большинстве	1	3
102	по отношению	3	3
103	в истории	2	3
104	общего с	1	3
105	и как	1	3
106	и к	1	3
107	в первом	1	3
108	в которой	2	3
109	его в	3	3
110	он не	3	3
111	в высшей	1	3
112	том что	4	3
113	эта последняя	1	3
114	в своей	6	3
115	и ее	2	3
116	в котором	3	3
117	более того	2	3
118	место в	3	3
119	является в	1	3
120	в то	10	3
121	не имеет	1	3
122	действительности но	1	3
123	же время	7	3
124	в области	1	3
125	не могут	1	3
126	не есть	1	3
127	и это	3	3
128	в дальнейшем	4	3
129	и ту	1	3
130	сводится к	2	3
131	одного из	1	3
132	с другими	2	3
133	одной из	3	3
134	нуждается в	1	3
135	между тем	3	3
136	не дает	1	3
137	из них	2	3
138	в целях	1	3
139	или иной	1	3
140	не было	2	3
141	на этот	2	3
142	все это	6	3
143	к другой	1	3
