N	4gram	Vygotskiy__1	Hudozhes
1	одно и то же	1	3
2	состоит в том что	1	3
3	одного и того же	1	3
4	в том и состоит	2	2
5	в том числе и	1	2
6	в коем случае не	1	2
7	ни в коем случае	1	2
8	в той мере в	1	1
9	основу этого сцепления непосредственно	1	1
10	том и состоит что	1	1
11	посредственно словами описывая образы	1	1
12	только посредственно словами описывая	1	1
13	той мере в какой	1	1
14	описывая образы действия положения	1	1
15	в том или ином	1	1
16	не что иное как	1	1
17	в том случае если	1	1
18	с этой точки зрения	4	1
19	а чем-то другим и	1	1
20	мыслью я думаю а	1	1
21	нельзя а можно только	1	1
22	одном и том же	1	1
23	том и состоит чтобы	1	1
24	словами описывая образы действия	1	1
25	по себе а в	1	1
26	чем-то другим и выразить	1	1
27	одним и тем же	1	1
28	другим и выразить основу	1	1
29	включает в себя и	1	1
30	можно только посредственно словами	1	1
31	подход к изучению искусства	1	1
32	думаю а чем-то другим	1	1
33	точно так же как	1	1
34	так же точно и	1	1
35	но в таком случае	1	1
36	и выразить основу этого	1	1
37	выразить основу этого сцепления	1	1
38	составлено не мыслью я	1	1
39	не мыслью я думаю	1	1
40	сцепление составлено не мыслью	1	1
41	этого сцепления непосредственно словами	1	1
42	же сцепление составлено не	1	1
43	я думаю а чем-то	1	1
44	между субъективной и объективной	1	1
45	а можно только посредственно	1	1
