N	2gram	Kanaev_Sov_1	Dialekti
1	и не	6	30
2	и есть	2	19
3	а не	3	18
4	ничего не	6	17
5	может быть	12	17
6	и в	7	15
7	как бы	4	14
8	точки зрения	12	14
9	не имеет	1	14
10	так как	4	14
11	что это	2	13
12	по себе	1	13
13	это не	4	12
14	в этом	7	11
15	говорить о	2	11
16	ясно что	3	11
17	в том	4	11
18	прежде всего	5	11
19	не может	17	11
20	и все	3	11
21	том что	1	10
22	с ее	1	10
23	это и	1	9
24	то же	3	9
25	мы не	9	9
26	было бы	3	9
27	с точки	5	9
28	и что	2	9
29	уже не	2	9
30	и пр	2	9
31	значит что	1	9
32	все это	3	9
33	что иное	1	8
34	не в	3	8
35	в себе	3	8
36	не только	4	8
37	ни в	1	8
38	и это	1	8
39	иное как	1	8
40	это значит	1	8
41	не что	1	8
42	и мы	3	7
43	как и	6	7
44	теперь мы	1	7
45	по крайней	1	7
46	и вообще	1	7
47	ровно ничего	1	7
48	и его	1	7
49	только в	1	7
50	крайней мере	1	7
51	или в	1	7
52	что в	2	7
53	хотя и	1	6
54	если бы	1	6
55	в то	1	6
56	же время	1	6
57	вовсе не	1	6
58	и даже	2	6
59	в результате	6	6
60	сказать что	1	6
61	той же	2	5
62	мы имеем	1	5
63	быть в	1	5
64	с его	1	5
65	в своем	1	5
66	что она	3	5
67	в нем	3	5
68	есть не	1	5
69	что такое	2	5
70	же это	4	5
71	в ней	1	5
72	но что	1	5
73	но только	1	5
74	таким образом	11	5
75	о том	1	5
76	именно в	1	5
77	если мы	4	5
78	и чисто	1	5
79	законов природы	1	5
80	и для	1	5
81	но если	1	5
82	есть то	1	5
83	в этой	3	4
84	в течение	1	4
85	то ни	2	4
86	этом смысле	1	4
87	на другую	1	4
88	она не	1	4
89	видим что	1	4
90	той или	1	4
91	ничего общего	1	4
92	что все	2	4
93	еще не	3	4
94	только так	2	4
95	она всегда	1	4
96	в его	2	4
97	мы должны	4	4
98	мы видим	2	4
99	в одном	3	4
100	отнюдь не	3	4
101	так же	1	4
102	но это	1	4
103	один из	1	4
104	жизни и	4	4
105	мы имели	1	3
106	с этим	2	3
107	и нет	1	3
108	и наконец	5	3
109	но в	3	3
110	та же	1	3
111	все эти	5	3
112	и если	1	3
113	одной и	1	3
114	на этом	2	3
115	мы уже	1	3
116	всегда и	1	3
117	в данном	1	3
118	в один	2	3
119	она в	1	3
120	и той	1	3
121	мы можем	6	3
122	свободы и	1	3
123	могут быть	2	3
124	и та	1	3
125	и следовательно	1	3
126	быть и	2	3
127	в виде	2	3
128	в области	3	3
129	в природе	1	3
130	у нас	3	3
131	ни о	1	3
132	и потому	3	3
133	из которых	2	3
134	или другой	1	3
135	или нет	1	3
136	с ним	1	3
137	в свою	2	3
138	совершенно не	2	3
139	только о	1	3
140	будет ли	1	3
141	только не	1	3
142	к этому	1	3
143	можно назвать	2	3
144	можно говорить	1	2
145	человека и	1	2
146	мы говорим	1	2
147	и само	1	2
148	и ничего	1	2
149	что уже	1	2
150	вопрос о	4	2
151	происходит это	1	2
152	может дать	2	2
153	во всех	1	2
154	природы и	1	2
155	мы будем	1	2
156	но как	1	2
157	и будет	2	2
158	нет и	4	2
159	это или	1	2
160	чем же	1	2
161	то чем	1	2
162	все же	3	2
163	кроме того	1	2
164	в этот	1	2
165	в самом	2	2
166	в которой	2	2
167	мы получаем	3	2
168	из этих	2	2
169	и действительное	1	2
170	ни одна	2	2
171	при этом	3	2
172	тем не	2	2
173	а это	1	2
174	но все	2	2
175	не будет	1	2
176	весь мир	1	2
177	все равно	1	2
178	осуществляется в	1	2
179	должно быть	1	2
180	наука но	1	2
181	том как	1	2
182	сказать так	1	2
183	представление о	1	2
184	при условии	1	2
185	общего не	1	2
186	можем сказать	1	2
187	что с	1	2
188	не менее	2	2
189	но они	1	2
190	что эта	1	2
191	и именно	2	2
192	случае не	1	2
193	никогда не	1	2
194	и по	2	2
195	ничто не	1	2
196	не могут	2	2
197	и тогда	1	2
198	свою очередь	2	2
199	и может	1	2
200	мы всегда	1	2
201	но мы	3	2
202	и во	2	2
203	говорить об	2	2
204	во всей	1	2
205	и только	1	2
206	совершенно невозможно	1	2
207	одной из	1	2
208	конечно не	1	2
209	да еще	1	2
210	то и	2	2
211	не дает	2	2
212	из них	4	2
213	и их	1	2
214	допустим что	1	2
215	отличие от	2	2
216	не было	1	2
217	и из	1	2
218	вместе с	4	2
219	что же	5	2
220	где это	1	2
221	но для	1	2
222	при таком	3	2
223	это как	1	2
224	и ни	1	2
225	цель и	1	2
226	природы не	1	2
227	функций и	1	2
228	и при	1	2
229	равно как	1	2
230	в свое	1	2
231	самое что	1	2
232	которая не	1	2
233	во всяком	2	2
234	все что	1	2
235	же как	1	1
236	потом и	1	1
237	а из	1	1
238	на самом	1	1
239	он может	3	1
240	но тем	1	1
241	идет о	1	1
242	жизни мы	2	1
243	к другому	1	1
244	все те	2	1
245	в зависимости	4	1
246	состояния в	1	1
247	их и	1	1
248	для своего	1	1
249	путь для	1	1
250	это что	1	1
251	оно вообще	1	1
252	кто же	1	1
253	мы ее	1	1
254	очень часто	1	1
255	и иначе	1	1
256	может не	3	1
257	на них	1	1
258	он сам	1	1
259	именно эти	1	1
260	знаем что	2	1
261	видели что	3	1
262	и все-таки	1	1
263	явлений и	1	1
264	и развития	1	1
265	более как	1	1
266	стороны и	1	1
267	остановиться на	1	1
268	тот же	2	1
269	целесообразности и	3	1
270	за все	1	1
271	не можем	7	1
272	не приходится	1	1
273	в нашем	2	1
274	и тот	1	1
275	роль в	2	1
276	только один	2	1
277	но ведь	1	1
278	в наших	3	1
279	пусть это	1	1
280	как он	3	1
281	и таких	1	1
282	я мог	1	1
283	он не	1	1
284	и еще	1	1
285	свою собственную	2	1
286	другой такой	1	1
287	только такой	1	1
288	и более	1	1
289	значении а	1	1
290	механистическое объяснение	1	1
291	для науки	1	1
292	в основу	1	1
293	через все	1	1
294	если нет	1	1
295	конечно в	2	1
296	том случае	1	1
297	его в	1	1
298	обоих случаях	1	1
299	своя собственная	1	1
300	данном случае	1	1
301	только одно	1	1
302	само собою	3	1
303	метафизическое построение	1	1
304	первые два	2	1
305	одна и	1	1
306	для чего	1	1
307	мы видели	4	1
308	мы с	2	1
309	такой же	2	1
310	и становится	1	1
311	он должен	2	1
312	почти не	1	1
313	бы к	1	1
314	в отличие	2	1
315	и значит	1	1
316	всегда мы	1	1
317	которые в	1	1
318	такую же	1	1
319	их в	4	1
320	общего и	1	1
321	следующий интересный	1	1
322	зрения и	1	1
323	вообще на	1	1
324	в древней	1	1
325	с последней	1	1
326	и вся	1	1
327	она по	1	1
328	как будет	1	1
329	о значении	2	1
