N	2gram	Medvedev_V_1	Problemy
1	и в	2	43
2	и не	1	29
3	в этом	1	13
4	то же	1	8
5	и его	1	8
6	в самом	1	7
7	в другом	1	7
8	в том	2	6
9	самом деле	1	5
10	да и	1	5
11	все это	1	5
12	я не	1	4
13	далеко не	1	4
14	том же	1	4
15	только в	1	4
16	так как	1	4
17	но это	1	4
18	речи и	1	4
19	в их	1	3
20	и только	1	3
21	по своим	1	3
22	по существу	1	3
23	одно и	1	2
24	том что	2	2
25	в которых	1	2
26	и то	1	2
27	дело в	1	2
28	слово по	1	2
29	в конце	2	2
30	ведь это	1	2
31	как же	1	2
32	конце концов	2	2
33	хотя бы	1	2
34	бы уже	1	1
35	не даром	1	1
36	один пример	1	1
37	прозы в	1	1
38	к чему	1	1
39	без учета	1	1
40	и способами	1	1
41	значительной степени	1	1
42	ведь дело	1	1
43	стоит на	1	1
44	их как	1	1
45	в книге	3	1
46	по крайней	1	1
47	все то	1	1
48	не хочу	1	1
49	так в	1	1
50	все дело	1	1
51	в значительной	1	1
52	на одном	1	1
53	крайней мере	1	1
54	ли над	1	1
55	в устах	1	1
56	все время	1	1
57	тем более	1	1
58	по поводу	1	1
59	языка если	1	1
60	к этому	1	1
