N	3gram	Bakhtin_sl_1	OGranits
1	с точки зрения	8	5
2	не может быть	1	4
3	одно и то	2	3
4	в зависимости от	3	2
5	в данном случае	3	2
6	с одной стороны	4	2
7	и то же	2	2
8	с другой стороны	4	2
9	то же слово	2	2
10	того или иного	2	2
11	с самого начала	1	2
12	в том что	1	2
13	и связанных с	2	1
14	этой точки зрения	1	1
15	там где нет	1	1
16	а вовсе не	2	1
17	более или менее	3	1
18	с одним из	1	1
19	равно как и	1	1
20	и не может	2	1
21	же время в	1	1
22	в отличие от	1	1
23	одна из существеннейших	1	1
24	в этом отношении	1	1
25	можно было бы	2	1
26	может быть и	1	1
27	как индивидуальное высказывание	1	1
28	с этой точки	1	1
29	то или иное	1	1
30	в процессе творчества	1	1
31	в открытой форме	1	1
32	все время ощущается	1	1
33	контекстами в которых	1	1
34	в узком смысле	10	1
35	для того чтобы	1	1
36	в особенности в	1	1
37	может быть не	1	1
38	если бы мы	1	1
39	мы все же	1	1
40	а также и	1	1
41	не входит в	1	1
42	и все явления	1	1
43	тем не менее	1	1
44	автора и его	1	1
45	а не как	2	1
46	в пределах того	4	1
47	прежде всего в	1	1
48	не должно быть	1	1
49	во всем своем	1	1
50	в данную эпоху	1	1
51	то же время	12	1
52	узком смысле слова	1	1
53	те или иные	3	1
54	включает в себя	1	1
55	не только на	2	1
56	иного конкретного произведения	1	1
57	но в то	4	1
58	выходит за пределы	3	1
59	в то же	12	1
60	и следовательно в	2	1
61	к тому что	2	1
62	о языке и	1	1
63	тех или иных	1	1
64	в последнем счете	1	1
65	как и в	1	1
66	или иного конкретного	2	1
