N	3gram	Propp_Russ_1	Formalny
1	в связи с	4	10
2	и т п	1	9
3	с точки зрения	3	7
4	в этом отношении	1	7
5	и в этом	1	5
6	с тем что	1	5
7	во всяком случае	1	5
8	и т д	9	5
9	и пр и	1	4
10	вместе с тем	6	4
11	как мы видели	1	4
12	из всего этого	1	3
13	на самом деле	1	3
14	может быть и	2	3
15	в большинстве случаев	2	3
16	так как они	2	2
17	в отличие от	1	2
18	и в дальнейшем	1	2
19	а в связи	1	2
20	но все же	2	2
21	с тем и	2	2
22	это приводит к	1	2
23	к тому что	4	2
24	в том что	15	2
25	как мы знаем	1	2
26	что иное как	2	1
27	приблизимся к пониманию	1	1
28	что в основе	1	1
29	по этому вопросу	1	1
30	иметь в виду	1	1
31	в виду что	1	1
32	в настоящее время	3	1
33	сюда же относятся	1	1
34	в этом случае	5	1
35	что именно эти	1	1
36	при этом не	1	1
37	в таком случае	1	1
38	и в других	4	1
39	можно говорить о	1	1
40	как мы увидим	5	1
41	во всех этих	1	1
42	в собственном смысле	1	1
43	входит в круг	1	1
44	но ни одна	1	1
45	что каждый из	1	1
46	на этот вопрос	1	1
47	в этом бою	1	1
48	в противном случае	1	1
49	к ней как	1	1
50	которое в свою	1	1
51	и связанные с	2	1
52	по происхождению своему	2	1
53	что в первый	1	1
54	мы не можем	3	1
55	т е в	1	1
56	и многие другие	2	1
57	можно думать что	1	1
58	в данном случае	1	1
59	каждый из этих	1	1
60	все же не	2	1
61	делается вывод что	1	1
62	в других случаях	2	1
63	и некоторые другие	2	1
64	но тем не	2	1
65	в свою очередь	2	1
66	значения между тем	1	1
67	ничего общего с	1	1
68	эти требования и	1	1
69	не по существу	1	1
70	главным образом из	1	1
71	совершенно очевидно что	1	1
72	по этому поводу	2	1
73	не что иное	2	1
74	тем не менее	3	1
75	как и в	1	1
76	что и в	1	1
