1	но и в	2	3
2	руки и ноги	2	3
3	с самого начала	2	3
4	с другой стороны	2	3
5	подобно тому как	3	3
6	это и есть	1	3
7	с одной стороны	3	2
8	не только в	4	2
9	до наших дней	1	2
10	о том что	2	2
11	красная потому что	1	1
12	проявляет себя как	1	1
13	смысле этого слова	1	1
14	а затем следует	1	1
15	в сущности это	1	1
16	в виду что	1	1
17	есть такие которые	1	1
18	в отличие от	1	1
19	уже знаем что	2	1
20	к нему в	1	1
21	но это не	1	1
22	в связи с	4	1
23	мы уже знаем	3	1
24	другой стороны в	1	1
25	есть на самом	1	1
26	до сих пор	6	1
27	как мы увидим	1	1
28	в мифе о	1	1
29	можем сказать что	1	1
30	в одной из	1	1
31	в ней и	1	1
32	и так сказать	1	1
33	все на свете	1	1
34	таким образом эта	1	1
35	мы можем сказать	1	1
36	об этом он	1	1
37	мы видели что	1	1
38	здесь мы видим	2	1
39	не может быть	2	1
40	перед нами как	1	1
41	мы видим что	5	1
42	к тому же	2	1
43	к этому времени	1	1
44	и др все	1	1
45	в том что	5	1
46	соответствии с этим	1	1
47	на самом деле	2	1
48	и на него	1	1
49	жизнью и смертью	1	1
50	так же и	3	1
51	сих пор в	1	1
52	со всех сторон	4	1
53	его таким образом	1	1
54	в это время	1	1
55	вот отрывок из	1	1
56	что здесь в	1	1
57	и то же	1	1
58	за то что	1	1
