N	3gram	Losev_Vlad_2	SlovoVZh
1	не может быть	1	7
2	можно сказать что	1	5
3	дело в том	3	4
4	в том что	9	4
5	тем не менее	6	3
6	бы то ни	1	3
7	может быть и	1	3
8	до сих пор	1	3
9	и не в	1	3
10	с точки зрения	3	2
11	но тем не	1	2
12	до известной степени	1	2
13	с этой стороны	1	2
14	в данном случае	2	2
15	в настоящее время	2	2
16	но все же	1	1
17	в чем мы	1	1
18	и к его	1	1
19	имеет дело с	1	1
20	для нас является	1	1
21	то время как	1	1
22	более или менее	3	1
23	во всяком случае	6	1
24	мы уже сказали	1	1
25	в самом деле	1	1
26	в этом смысле	1	1
27	с ним в	1	1
28	нам кажется что	2	1
29	как это делает	1	1
30	по себе не	1	1
31	и для него	1	1
32	в то время	6	1
33	находит в нем	1	1
34	сих пор не	1	1
35	только в результате	1	1
36	как уже сказано	1	1
37	равно как и	1	1
38	сам по себе	2	1
39	в свою очередь	2	1
40	о том что	3	1
41	только то что	1	1
42	ничего общего с	1	1
43	в этом отношении	1	1
44	с самого начала	1	1
45	то что я	1	1
46	и прежде всего	1	1
47	можно было бы	2	1
48	то же время	3	1
49	как мы уже	1	1
50	миру и к	1	1
51	по себе в	1	1
52	по крайней мере	4	1
53	в то же	3	1
54	и в частности	1	1
55	и в нем	1	1
56	является для нас	1	1
57	и в своем	1	1
58	к тому же	1	1
59	но в то	1	1
60	в высшей степени	1	1
61	в том же	2	1
62	прежде всего нужно	1	1
