N	3gram	Vinokur_Ku_3	SlovoVZh
1	по отношению к	2	11
2	не может быть	3	7
3	в том что	8	4
4	и не может	1	3
5	тем не менее	9	3
6	бы то ни	1	3
7	может быть и	1	3
8	этой точки зрения	1	3
9	до сих пор	8	3
10	имеет в виду	1	3
11	на самом деле	3	2
12	с другой стороны	3	2
13	то же самое	1	2
14	с точки зрения	16	2
15	в зависимости от	7	2
16	в данном случае	4	2
17	формы и содержания	2	2
18	с одной стороны	4	2
19	тех или иных	1	1
20	зависимости от того	3	1
21	и в поэзии	1	1
22	но все же	1	1
23	один и тот	2	1
24	и в этом	4	1
25	иной точки зрения	1	1
26	следует отметить что	1	1
27	как и слово	1	1
28	точки зрения как	1	1
29	ровно ничего не	1	1
30	сказать то что	1	1
31	не должна быть	1	1
32	строгой зависимости от	1	1
33	одним и тем	2	1
34	более или менее	2	1
35	во всяком случае	1	1
36	не должно быть	1	1
37	они как бы	1	1
38	в самом деле	11	1
39	здесь же мы	1	1
40	в этом смысле	1	1
41	бы не было	1	1
42	самом деле в	1	1
43	плоть и кровь	1	1
44	в то время	1	1
45	как уже сказано	1	1
46	сам по себе	3	1
47	ни в коем	1	1
48	но для этого	1	1
49	как на самом	1	1
50	то что мы	1	1
51	в свою очередь	1	1
52	но и в	1	1
53	и независимо от	1	1
54	от того в	1	1
55	о том что	3	1
56	только то что	2	1
57	лингвистической точки зрения	1	1
58	же важна здесь	1	1
59	тогда когда он	1	1
60	в конечном счете	1	1
61	совершенно ясно что	2	1
62	ни в какой	2	1
63	но это же	1	1
64	и прежде всего	1	1
65	можно было бы	10	1
66	если бы не	2	1
67	то же время	1	1
68	в плоть и	1	1
69	раз подчеркнуть что	1	1
70	мы имеем в	1	1
71	в противном случае	1	1
72	хотя и здесь	1	1
73	по крайней мере	1	1
74	в то же	1	1
75	для этого нам	1	1
76	точек зрения и	1	1
77	в коем случае	1	1
78	он имеет в	1	1
79	написанного или напечатанного	1	1
80	еще раз подчеркнуть	1	1
81	ясно что слово	1	1
82	сама по себе	2	1
83	так же как	1	1
84	в двух направлениях	2	1
85	в виду не	1	1
86	в строгой зависимости	1	1
87	еще не исчерпывает	1	1
88	и тем же	2	1
89	с другими формами	1	1
90	к тому же	2	1
91	мы увидим что	1	1
92	коем случае нельзя	1	1
93	и тот же	2	1
