N	3gram	Trubetskoy_1	Sotsiolo
1	по отношению к	1	2
2	не в том	1	2
3	в конце концов	3	2
4	в том что	3	2
5	а в том	1	1
6	с одной стороны	7	1
7	это и есть	1	1
8	главным образом в	3	1
9	чуть ли не	1	1
10	только то что	1	1
11	во всяком случае	6	1
12	сказать и о	1	1
13	в связи с	3	1
14	не может не	1	1
15	в настоящее время	1	1
16	то же самое	2	1
17	в этой области	1	1
18	а между тем	1	1
19	то же время	2	1
20	и в то	1	1
21	и в этом	2	1
22	в то же	2	1
23	о том как	1	1
24	по крайней мере	5	1
25	а с другой	5	1
