N	2gram	Propp_Morf_1	Myslijsy
1	потому что	3	52
2	и в	13	39
3	может быть	52	27
4	в том	6	26
5	только в	2	25
6	не может	14	22
7	что в	8	22
8	не только	4	21
9	так как	16	21
10	а не	11	21
11	но и	4	20
12	и не	12	18
13	язык есть	1	17
14	том что	4	16
15	так что	1	16
16	в этом	14	15
17	не в	3	15
18	если бы	2	14
19	по отношению	4	13
20	в себе	1	13
21	таким образом	21	13
22	так и	6	13
23	отношению к	4	13
24	было бы	3	12
25	точно так	1	11
26	мы не	8	10
27	как в	3	10
28	и что	2	10
29	а потому	1	10
30	то что	8	10
31	что не	1	10
32	не есть	1	10
33	но в	2	9
34	как и	3	9
35	могут быть	16	9
36	для нас	2	9
37	там же	1	9
38	тем что	4	9
39	но не	4	8
40	точки зрения	2	8
41	о происхождении	2	8
42	в одном	1	8
43	того что	3	8
44	со стороны	3	8
45	по его	1	7
46	же с	1	7
47	с этим	11	7
48	это не	6	7
49	в этих	13	7
50	должны быть	1	7
51	с другой	8	7
52	должно быть	1	7
53	и т	41	6
54	то же	7	6
55	независимо от	3	6
56	все же	7	6
57	и как	5	6
58	бы не	1	6
59	при этом	1	6
60	и по	2	6
61	между собою	2	6
62	и наоборот	4	6
63	не менее	5	6
64	того как	2	6
65	тем не	5	6
66	в каком	2	6
67	что и	7	6
68	еще не	3	6
69	как бы	3	6
70	в первом	3	5
71	то это	3	5
72	во всех	4	5
73	то в	3	5
74	с тем	2	5
75	несмотря на	4	5
76	не имеет	2	5
77	и его	1	5
78	что при	2	5
79	если же	5	5
80	между тем	5	5
81	во втором	3	5
82	в его	1	5
83	для всех	1	5
84	вовсе не	4	5
85	друг друга	3	5
86	так же	3	5
87	но это	6	5
88	и для	2	5
89	а в	7	5
90	другой стороны	4	5
91	в таком	1	5
92	вопрос о	7	4
93	есть нечто	3	4
94	с но	1	4
95	все остальные	1	4
96	увидим что	1	4
97	из этих	1	4
98	подобным образом	1	4
99	т д	39	4
100	в каждом	1	4
101	однако в	2	4
102	бы быть	1	4
103	в то	3	4
104	не по	2	4
105	можно бы	2	4
106	и притом	1	4
107	во всем	1	4
108	не могут	4	4
109	к тому	4	4
110	для него	1	4
111	и даже	1	4
112	прежде всего	9	4
113	там где	5	4
114	что мы	2	4
115	тому как	5	4
116	самого себя	2	4
117	быть не	1	4
118	от него	1	4
119	от того	3	4
120	не более	1	4
121	мы видим	13	4
122	противном случае	1	3
123	должна быть	1	3
124	и то	1	3
125	тем как	1	3
126	явлений и	1	3
127	более как	1	3
128	помнить что	1	3
129	в противном	1	3
130	хотя и	3	3
131	что это	1	3
132	он не	3	3
133	ни были	1	3
134	подобно тому	6	3
135	прежде чем	3	3
136	так например	3	3
137	то ни	3	3
138	и с	1	3
139	что например	1	3
140	и тем	2	3
141	в них	1	3
142	в этой	2	3
143	во внимание	1	3
144	понятия и	1	3
145	не так	1	3
146	и при	1	3
147	в своей	1	3
148	с точки	2	3
149	тому что	4	3
150	она не	2	3
151	для того	2	3
152	самого начала	1	3
153	на него	3	3
154	или же	6	3
155	оно не	2	3
156	с самого	1	3
157	когда в	1	3
158	к первому	1	3
159	том как	1	3
160	разница между	1	3
161	в другой	1	3
162	мы увидим	8	3
163	но как	2	3
164	с одной	1	3
165	если мы	5	3
166	только на	1	3
167	каким образом	1	3
168	одно из	1	3
169	и их	2	3
170	никто не	3	3
171	могло бы	1	3
172	эти явления	1	3
173	были бы	1	3
174	с другим	1	3
175	быть названо	3	3
176	связи с	10	3
177	все более	1	3
178	но оно	2	3
179	одной стороны	1	3
180	в состоянии	1	3
181	только для	1	3
182	она может	1	3
183	о котором	1	3
184	то не	1	3
185	и все	1	3
