N	2gram	Berdyaev_O_1	Narrotol
1	не только	11	31
2	но и	13	27
3	и не	13	23
4	может быть	11	15
5	в частности	1	14
6	как и	6	13
7	а не	11	13
8	а в	5	13
9	в этом	12	12
10	и в	19	11
11	и его	4	10
12	то что	5	9
13	представляет собой	1	8
14	не может	4	8
15	в том	5	8
16	уже не	1	8
17	со стороны	1	8
18	но в	2	7
19	том что	2	7
20	если бы	1	7
21	у него	22	7
22	и он	8	6
23	в самом	5	6
24	не в	11	6
25	в этой	5	6
26	в себе	3	6
27	в его	7	6
28	как бы	3	6
29	один из	1	6
30	жизни и	1	6
31	между двумя	1	5
32	и на	2	5
33	так и	2	5
34	в своей	2	5
35	потому что	9	5
36	действующих лиц	1	5
37	то в	1	4
38	еще не	3	4
39	с его	4	4
40	но не	1	4
41	как в	1	4
42	все же	2	4
43	хотя и	2	4
44	в нем	10	4
45	в мире	1	4
46	из них	1	4
47	по себе	2	4
48	в одном	1	4
49	одна из	1	4
50	не по	1	4
51	того чтобы	4	4
52	никогда не	9	4
53	в сознании	1	4
54	в ней	1	4
55	что у	2	4
56	о том	3	4
57	к нему	3	4
58	того что	3	4
59	для него	5	4
60	у нее	1	4
61	прежде всего	9	4
62	о чем	1	4
63	мира в	1	4
64	и состоит	1	4
65	также и	1	3
66	и то	2	3
67	самом деле	1	3
68	мы не	1	3
69	он сам	4	3
70	в центре	1	3
71	в своем	2	3
72	и как	1	3
73	к чему	1	3
74	он не	7	3
75	для того	3	3
76	и с	2	3
77	в глазах	1	3
78	это не	3	3
79	в жизни	1	3
80	и ее	3	3
81	в русской	3	3
82	как будто	1	3
83	этом отношении	1	3
84	у нас	1	3
85	начиная с	1	3
86	и о	2	3
87	о нем	1	3
88	его жизни	1	3
89	лишь в	7	3
90	что он	3	3
91	может служить	1	3
92	не было	9	3
93	как это	1	3
94	быть не	1	3
95	не существует	1	3
96	и все	10	3
97	жизни а	1	3
98	что в	4	3
99	и через	1	2
100	тем же	1	2
101	и для	2	2
102	в сущности	1	2
103	не вполне	1	2
104	жизни как	1	2
105	сознания в	1	2
106	та же	1	2
107	на то	1	2
108	героя из	1	2
109	ключ к	1	2
110	и вот	3	2
111	заключает в	1	2
112	человека в	11	2
113	это было	3	2
114	он и	1	2
115	и тогда	1	2
116	в этих	3	2
117	говорит с	1	2
118	она не	1	2
119	не имеет	2	2
120	дело в	1	2
121	ничего не	2	2
122	и после	1	2
123	они и	1	2
124	особенно в	1	2
125	с ним	3	2
126	это была	1	2
127	в форме	1	2
128	с ними	1	2
129	всяком случае	1	2
130	который в	1	2
