N	2gram	Medvedev_S_1	IolandNe
1	стр и	1	7
2	и не	1	2
3	в этом	5	2
4	что в	2	2
5	ничего не	1	2
6	же это	1	1
7	все это	7	1
8	автор не	1	1
9	и в	3	1
10	и о	1	1
11	бы в	1	1
12	более чем	3	1
13	как только	2	1
14	стало быть	1	1
15	с другой	1	1
16	а в	1	1
17	не дает	1	1
18	а с	1	1
19	придется не	1	1
20	слишком много	1	1
21	отношению к	2	1
22	так и	1	1
23	никогда не	1	1
24	только для	1	1
25	тем что	1	1
26	в целом	1	1
27	по отношению	2	1
28	очевидно что	2	1
29	в них	1	1
30	все эти	1	1
31	по существу	2	1
32	без этого	1	1
