N	3gram	Ircho_Kome_2	VeschiIm
1	не может быть	1	18
2	бы то ни	2	9
3	то ни было	2	9
4	в том что	5	6
5	в чем же	1	5
6	в свою очередь	1	5
7	тем не менее	1	5
8	с точки зрения	1	4
9	не только в	1	4
10	то же время	3	4
11	в то же	3	4
12	более или менее	1	3
13	в самом деле	1	3
14	и в то	1	3
15	можно было бы	2	3
16	вместе с тем	4	3
17	само по себе	1	3
18	а затем и	2	2
19	мы находим в	1	2
20	то что не	1	2
21	в первом случае	1	2
22	к тому что	2	2
23	она могла бы	1	2
24	так или иначе	3	2
25	в чисто физическом	1	1
26	имеется в виду	1	1
27	только потому что	2	1
28	как и во	1	1
29	в этом смысле	2	1
30	ни с кем	1	1
31	на первый план	1	1
32	как это было	1	1
33	до сих пор	2	1
34	и во всех	1	1
35	в той же	2	1
36	что он не	1	1
37	должен быть не	1	1
38	все же это	1	1
39	а вместо него	1	1
40	то время как	2	1
41	в самом начале	2	1
42	таким образом и	1	1
43	с одной стороны	2	1
44	да и эта	1	1
45	с другой стороны	1	1
46	речь идет о	2	1
47	то что у	1	1
48	и во всяком	1	1
49	ясно что это	1	1
50	во всяком случае	2	1
51	в то время	3	1
52	о том что	4	1
53	хотя бы в	1	1
54	вместо того чтобы	1	1
55	в двух отношениях	1	1
56	но все же	1	1
57	ни о чем	1	1
58	для того чтобы	4	1
59	при всем том	1	1
60	это было в	1	1
61	друг с другом	2	1
62	что и в	2	1
63	что из них	1	1
