N	2gram	Nazirov_Tv_1	UchenyiS
1	и в	21	14
2	а не	5	10
3	не только	7	10
4	прежде всего	4	8
5	и не	7	8
6	не может	4	7
7	вот почему	3	7
8	в этом	6	7
9	то что	8	7
10	может быть	5	6
11	в искусстве	1	6
12	то же	13	5
13	художественное произведение	1	5
14	в художественном	1	5
15	все это	10	5
16	хотя бы	5	5
17	перестает быть	1	5
18	художественного творчества	1	5
19	с другой	3	4
20	но и	3	4
21	что такое	1	4
22	в их	3	4
23	в конечном	4	4
24	в россии	3	4
25	конечном счете	4	4
26	в этой	5	4
27	то ни	1	3
28	вряд ли	2	3
29	это не	4	3
30	было бы	1	3
31	нашему мнению	5	3
32	как и	12	3
33	для этого	1	3
34	в частности	2	3
35	в своей	4	3
36	бы то	1	3
37	к сожалению	1	3
38	этой области	1	3
39	в то	15	3
40	все же	5	3
41	но в	7	3
42	формы в	1	3
43	же время	12	3
44	в области	1	3
45	у нас	1	3
46	другой стороны	1	3
47	по нашему	5	3
48	для него	6	3
49	ни было	1	3
50	что все	3	2
51	крайней мере	2	2
52	же не	1	2
53	одним из	4	2
54	и с	3	2
55	и через	1	2
56	до сих	1	2
57	а как	2	2
58	это было	1	2
59	самом деле	2	2
60	форму и	1	2
61	превращается в	1	2
62	о чем	1	2
63	на эту	4	2
64	не столько	2	2
65	том что	11	2
66	на первый	1	2
67	материал для	1	2
68	но даже	1	2
69	надо было	2	2
70	нам представляется	1	2
71	нас в	1	2
72	с его	11	2
73	но не	3	2
74	не все	1	2
75	в его	13	2
76	по крайней	2	2
77	что и	2	2
78	по себе	1	2
79	конце концов	1	2
80	сих пор	1	2
81	но это	5	2
82	в том	7	2
83	это уже	5	2
84	что он	6	2
85	в себе	2	2
86	искусства как	1	2
87	при таком	1	2
88	в самом	3	2
89	между тем	1	2
90	и у	2	2
91	только в	5	2
92	не в	2	2
93	для всех	1	2
94	все они	1	2
95	не есть	1	2
96	его и	1	2
97	бы и	1	2
98	всех этих	1	2
99	их и	1	2
100	не могут	1	2
101	могут быть	2	2
102	в конце	1	2
103	же самое	1	2
104	не случайно	4	2
105	как раз	1	2
106	тем что	1	2
107	что она	2	2
108	таким образом	5	2
109	даже и	1	2
110	и это	1	1
111	понимая под	1	1
112	литературы а	1	1
113	об этом	2	1
114	же как	1	1
115	искусство и	1	1
116	эта позиция	1	1
117	в этот	1	1
118	но по	1	1
119	человека и	4	1
120	то есть	12	1
121	в виду	2	1
122	первую очередь	1	1
123	данном случае	2	1
124	с самим	1	1
125	вверх ногами	1	1
126	было и	1	1
127	из самых	1	1
128	сам автор	1	1
129	что для	2	1
130	никогда не	3	1
131	так и	2	1
132	одной стороны	1	1
133	той же	3	1
134	котором говорил	1	1
135	достоевского и	3	1
136	в сфере	1	1
137	до конца	2	1
138	у других	1	1
139	не предмет	1	1
140	с тем	1	1
141	мы имеем	1	1
142	в не	1	1
143	развитие в	1	1
144	и даже	3	1
145	можно сказать	2	1
146	не вполне	1	1
147	о нем	1	1
148	этом плане	1	1
149	приводит к	2	1
150	о том	6	1
151	в ней	2	1
152	в котором	6	1
153	только для	1	1
154	свой опыт	1	1
155	и что	1	1
156	вспять к	1	1
157	он был	1	1
158	и содержание	1	1
159	все его	1	1
160	не самый	1	1
161	в данном	2	1
162	что же	1	1
163	не то	2	1
164	переходит в	2	1
165	того что	3	1
166	на его	3	1
167	это значит	1	1
168	что этот	1	1
169	если нет	1	1
170	язык в	1	1
171	него не	1	1
172	л толстой	1	1
173	мы снова	1	1
174	еще один	1	1
175	его как	2	1
176	отнюдь не	5	1
177	она не	1	1
178	еще раз	1	1
179	первый взгляд	1	1
180	в своем	4	1
181	специфическая форма	1	1
182	что с	1	1
183	что ему	1	1
184	и все	6	1
185	вне его	1	1
186	у кого	1	1
187	тот же	2	1
188	процессе художественного	1	1
189	и действительно	1	1
190	не существует	3	1
191	в точном	1	1
192	всего лишь	1	1
193	метода не	1	1
194	по мнению	3	1
195	в которой	3	1
196	о котором	2	1
197	больше чем	2	1
198	он успел	1	1
199	не было	1	1
200	находятся в	1	1
201	он в	1	1
202	с одной	1	1
203	в качестве	2	1
204	тем более	1	1
205	в известном	1	1
206	начала и	1	1
207	мировоззрения и	2	1
208	что по	1	1
209	уже не	3	1
210	далеко не	3	1
211	имеем в	1	1
212	то и	1	1
213	же в	1	1
214	и всей	1	1
215	в процессе	1	1
216	в виде	3	1
217	и искусства	1	1
218	тезис о	1	1
219	не обладает	1	1
220	в нем	3	1
221	связанные с	1	1
222	еще л	1	1
223	но если	3	1
224	он не	8	1
225	о которой	1	1
226	сказать что	2	1
227	только как	1	1
228	одно из	1	1
229	в первую	1	1
230	не значит	1	1
231	равно как	1	1
232	природе и	1	1
233	важным и	1	1
234	он и	1	1
235	что еще	1	1
236	религии и	1	1
237	в современном	2	1
238	до предела	1	1
239	что читатель	1	1
240	время не	2	1
241	но он	2	1
242	содержание в	1	1
243	у пушкина	2	1
244	но что	1	1
245	у него	7	1
246	является одним	2	1
247	толстого но	1	1
248	эдгар по	1	1
249	ее в	3	1
250	анализа в	1	1
251	и делает	1	1
252	и свое	1	1
253	это в	3	1
254	а это	1	1
255	искусстве это	1	1
256	о литературе	1	1
257	отказаться от	2	1
258	к этому	2	1
259	что в	12	1
260	в таком	1	1
261	резких и	1	1
