1	в том смысле что	2	3
2	не что иное как	1	3
3	в то время как	5	3
4	есть не что иное	1	2
5	это не значит что	1	2
6	если принять во внимание	2	2
7	только тогда когда оно	1	2
8	не содержит в себе	1	1
9	так же как и	1	1
10	точно так же как	1	1
11	но как раз в	1	1
12	и в другом случае	1	1
13	с самого начала что	2	1
14	заключается в том что	5	1
15	приводит к тому что	1	1
16	до сих пор мы	1	1
17	то время как в	1	1
18	принять во внимание что	1	1
19	в связи с этим	1	1
20	а потому что они	1	1
21	по самой своей природе	4	1
22	в том и в	1	1
23	том и в другом	1	1
24	по образу и подобию	1	1
