N	3gram	Vygotskiy__2	Mirosoze
1	не может быть	8	17
2	не было бы	1	5
3	вместе с тем	1	5
4	но и в	1	4
5	один из самых	1	4
6	потому что в	1	3
7	с тем что	3	3
8	заключает в себе	2	3
9	это значит что	2	3
10	и в самом	4	3
11	мы увидим что	1	3
12	по своему значению	1	2
13	он не может	2	2
14	до сих пор	5	2
15	и не может	2	2
16	что он не	2	2
17	но он не	1	2
18	он никогда не	1	2
19	в том смысле	1	2
20	то время как	2	2
21	в конце концов	3	2
22	как будто бы	1	2
23	не могут быть	1	2
24	а не только	1	2
25	в то время	3	2
26	никогда не может	3	2
27	ли может быть	1	2
28	для того чтобы	13	2
29	в высшей степени	1	2
30	он не только	1	2
31	бросается в глаза	1	1
32	что иное как	1	1
33	потому что он	1	1
34	а не к	1	1
35	в русской поэзии	1	1
36	имеем в виду	1	1
37	в самом деле	11	1
38	искусство никогда не	1	1
39	но не имеет	1	1
40	том случае если	4	1
41	в зависимости от	1	1
42	не может найти	1	1
43	в отличие от	1	1
44	и т п	8	1
45	было бы и	2	1
46	что в то	1	1
47	нему и много	1	1
48	и различие между	1	1
49	в том случае	4	1
50	жизни и в	1	1
51	что в основе	4	1
52	ни к какому	1	1
53	по сравнению с	2	1
54	и идет к	1	1
55	и ничего не	1	1
56	в смысле психологического	1	1
57	не в том	2	1
58	все более и	2	1
59	во всяком случае	2	1
60	одна и та	1	1
61	на этом основании	1	1
62	в отношении к	3	1
63	тем что в	1	1
64	и в том	2	1
65	от того что	1	1
66	том смысле что	1	1
67	нет ничего кроме	1	1
68	всего того что	1	1
69	и характер его	1	1
70	с того что	1	1
71	и никогда не	2	1
72	к нему и	1	1
73	что и в	3	1
74	нужно сказать что	1	1
75	оно не может	1	1
76	возможны только в	2	1
77	мы имеем в	1	1
78	о том что	4	1
79	более и более	2	1
80	не значит что	1	1
81	не что иное	1	1
82	быть отнесена к	1	1
83	можно было бы	4	1
84	и та же	1	1
85	в том что	17	1
86	выходит за пределы	1	1
87	он рассказывает о	1	1
88	есть вместе с	1	1
89	не так как	1	1
